,NASH_up,diff_w4_up,diff_w8_up,diff_w16_up,diff_w32_up,diff_w48_up
447,NA,NA,NA,Enpp5,Frem2,NA
448,NA,NA,NA,Entpd6,Frmd4a,NA
449,NA,NA,NA,Eogt,Frmd6,NA
450,NA,NA,NA,Epb41l4a,Frmd8,NA
451,NA,NA,NA,Ephb2,Fry,NA
452,NA,NA,NA,Ephx2,Frzb,NA
453,NA,NA,NA,Epn3,Fscn1,NA
454,NA,NA,NA,Eps8l1,Fsip1,NA
455,NA,NA,NA,Eqtn,Fst,NA
456,NA,NA,NA,Erbb2,Fstl1,NA
457,NA,NA,NA,Esam,Fus,NA
458,NA,NA,NA,Esm1,Fut1,NA
459,NA,NA,NA,Espl1,Fut4,NA
460,NA,NA,NA,Esyt1,Fut7,NA
461,NA,NA,NA,Ets2,Fut8,NA
462,NA,NA,NA,Etv4,Fv1,NA
463,NA,NA,NA,Etv6,Fxyd3,NA
464,NA,NA,NA,Evc2,Fxyd5,NA
465,NA,NA,NA,Exnef,Fzd2,NA
466,NA,NA,NA,Ext1,Fzd6,NA
467,NA,NA,NA,Extl2,Gabrp,NA
468,NA,NA,NA,Eya2,Galnt6,NA
469,NA,NA,NA,Ezr,Galnt7,NA
470,NA,NA,NA,F2r,Gan,NA
471,NA,NA,NA,Faap20,Gas5,NA
472,NA,NA,NA,Fabp2,Gas6,NA
473,NA,NA,NA,Fabp4,Gas7,NA
474,NA,NA,NA,Fabp5,Gas8,NA
475,NA,NA,NA,Fads3,Gbp5,NA
476,NA,NA,NA,Fam102b,Gcnt3,NA
477,NA,NA,NA,Fam105a,Gem,NA
478,NA,NA,NA,Fam110a,Gfpt2,NA
479,NA,NA,NA,Fam118a,Ggh,NA
480,NA,NA,NA,Fam129a,Ggn,NA
481,NA,NA,NA,Fam129b,Gimap4,NA
482,NA,NA,NA,Fam131b,Gimap9,NA
483,NA,NA,NA,Fam134b,Gipc2,NA
484,NA,NA,NA,Fam198b,Gja1,NA
485,NA,NA,NA,Fam19a4,Gjb2,NA
486,NA,NA,NA,Fam220a,Gjc2,NA
487,NA,NA,NA,Fam25a,Glb1l2,NA
488,NA,NA,NA,Fam3c,Glis2,NA
489,NA,NA,NA,Fam49a,Gnai1,NA
490,NA,NA,NA,Fam83h,Gorab,NA
491,NA,NA,NA,Fam89a,Gpam,NA
492,NA,NA,NA,Fanca,Gpat2,NA
493,NA,NA,NA,Fas,Gpbar1,NA
494,NA,NA,NA,Fasn,Gpc3,NA
495,NA,NA,NA,Fat1,Gpd2,NA
496,NA,NA,NA,Fblim1,Gpnmb,NA
497,NA,NA,NA,Fbln1,Gpr137b,NA
498,NA,NA,NA,Fbn1,Gpr183,NA
499,NA,NA,NA,Fbn2,Gpr37,NA
500,NA,NA,NA,Fbxl8,Gpr39,NA
501,NA,NA,NA,Fbxo32,Gprc5a,NA
502,NA,NA,NA,Fbxo6,Gprc5b,NA
503,NA,NA,NA,Fbxw17,Gpx2,NA
504,NA,NA,NA,Fcgr2a,Grhl2,NA
505,NA,NA,NA,Fchsd1,Gria3,NA
506,NA,NA,NA,Fcnb,Grik5,NA
507,NA,NA,NA,Fgd6,Grk5,NA
508,NA,NA,NA,Fgf1,Gsn,NA
509,NA,NA,NA,Fgf21,Gsta3,NA
510,NA,NA,NA,Fgf23,Gtf2f1,NA
511,NA,NA,NA,Fgr,Gtse1,NA
512,NA,NA,NA,Fhdc1,Gucy2c,NA
513,NA,NA,NA,Fhl2,H19,NA
514,NA,NA,NA,Fhl3,H2afy2,NA
515,NA,NA,NA,Fibin,Hadhb,NA
516,NA,NA,NA,Figf,Hap1,NA
517,NA,NA,NA,Fjx1,Has2,NA
518,NA,NA,NA,Fkbp10,Hdc,NA
519,NA,NA,NA,Fkbp5,Hdgfrp3,NA
520,NA,NA,NA,Fkbp7,Hebp2,NA
521,NA,NA,NA,Flna,Heph,NA
522,NA,NA,NA,Flnb,Heyl,NA
523,NA,NA,NA,Flnc,Hid1,NA
524,NA,NA,NA,Flrt2,Hivep2,NA
525,NA,NA,NA,Flvcr2,Hivep3,NA
526,NA,NA,NA,Fmnl1,Hk1,NA
527,NA,NA,NA,Fndc1,Hmcn1,NA
528,NA,NA,NA,Fopnl,Hpgd,NA
529,NA,NA,NA,Fosb,Hps3,NA
530,NA,NA,NA,Fosl1,Hr,NA
531,NA,NA,NA,Fosl2,Hs3st1,NA
532,NA,NA,NA,Foxm1,Hs6st2,NA
533,NA,NA,NA,Foxq1,Hspa12b,NA
534,NA,NA,NA,Foxs1,Hspa1a,NA
535,NA,NA,NA,Frmd4a,Htra3,NA
536,NA,NA,NA,Frmd6,Ica1,NA
537,NA,NA,NA,Frzb,Icam1,NA
538,NA,NA,NA,Fscn1,Ier5,NA
539,NA,NA,NA,Fsip1,Ier5l,NA
540,NA,NA,NA,Fst,Ifngr2,NA
541,NA,NA,NA,Fstl1,Ifnlr1,NA
542,NA,NA,NA,Fut7,Igf1r,NA
543,NA,NA,NA,Fxyd5,Igf2,NA
544,NA,NA,NA,Fxyd6,Igf2bp2,NA
545,NA,NA,NA,Fyn,Igf2r,NA
546,NA,NA,NA,Fzd2,Igsf1,NA
547,NA,NA,NA,Fzd6,Igsf3,NA
548,NA,NA,NA,G0s2,Igsf9,NA
549,NA,NA,NA,Gab2,Ikbke,NA
550,NA,NA,NA,Gadd45a,Ikzf2,NA
551,NA,NA,NA,Gale,Il13ra2,NA
552,NA,NA,NA,Galnt18,Il17re,NA
553,NA,NA,NA,Galnt6,Il1r1,NA
554,NA,NA,NA,Galr3,Il1rl1,NA
555,NA,NA,NA,Gapdh,Il22ra1,NA
556,NA,NA,NA,Gar1,Il23a,NA
557,NA,NA,NA,Gas7,Il2ra,NA
558,NA,NA,NA,Gatsl2,Il2rg,NA
559,NA,NA,NA,Gbp5,Ildr1,NA
560,NA,NA,NA,Gca,Impdh1,NA
561,NA,NA,NA,Gck,Inhbe,NA
562,NA,NA,NA,Gda,Inpp1,NA
563,NA,NA,NA,Gdf15,Inpp4b,NA
564,NA,NA,NA,Gem,Iqgap1,NA
565,NA,NA,NA,Gfap,Irak1bp1,NA
566,NA,NA,NA,Gfod1,Irf1,NA
567,NA,NA,NA,Gfod2,Irg1,NA
568,NA,NA,NA,Gfpt2,Itga4,NA
569,NA,NA,NA,Ggt1,Itga6,NA
570,NA,NA,NA,Ggta1,Itga8,NA
571,NA,NA,NA,Gins2,Itgam,NA
572,NA,NA,NA,Gins3,Itgb1,NA
573,NA,NA,NA,Gipc1,Itgb4,NA
574,NA,NA,NA,Git1,Itgb6,NA
575,NA,NA,NA,Gja1,Itgb7,NA
576,NA,NA,NA,Gja5,Itgb8,NA
577,NA,NA,NA,Gjc1,Itgbl1,NA
578,NA,NA,NA,Gjc2,Itpr3,NA
579,NA,NA,NA,Glb1l2,Itpripl2,NA
580,NA,NA,NA,Gls,Izumo1,NA
581,NA,NA,NA,Gltp,Jak3,NA
582,NA,NA,NA,Gmeb1,Jam2,NA
583,NA,NA,NA,Gna13,Jph4,NA
584,NA,NA,NA,Gnai1,Kank2,NA
585,NA,NA,NA,Gnai2,Kcnb1,NA
586,NA,NA,NA,Gnat3,Kcnip4,NA
587,NA,NA,NA,Gnb1,Kcnj8,NA
588,NA,NA,NA,Gnpda1,Kcnk1,NA
589,NA,NA,NA,Gpa33,Kcnn4,NA
590,NA,NA,NA,Gpc1,Kcnq1,NA
591,NA,NA,NA,Gpc3,Kcnq3,NA
592,NA,NA,NA,Gpnmb,Kcns3,NA
593,NA,NA,NA,Gpr137b,Kcnv2,NA
594,NA,NA,NA,Gpr153,Kdelr3,NA
595,NA,NA,NA,Gpr176,Kif12,NA
596,NA,NA,NA,Gpr183,Kif26a,NA
597,NA,NA,NA,Gpr37,Kif3c,NA
598,NA,NA,NA,Gpr39,Kif5a,NA
599,NA,NA,NA,Gpr4,Kif5c,NA
600,NA,NA,NA,Gpr87,Kifc1,NA
601,NA,NA,NA,Gprc5a,Kifc3,NA
602,NA,NA,NA,Gpsm1,Kirrel,NA
603,NA,NA,NA,Gpx2,Klf4,NA
604,NA,NA,NA,Gpx3,Klf5,NA
605,NA,NA,NA,Grhl2,Klf6,NA
606,NA,NA,NA,Gria3,Klf7,NA
607,NA,NA,NA,Grk5,Klhdc8a,NA
608,NA,NA,NA,Gss,Krt18,NA
609,NA,NA,NA,Gsta3,Krt19,NA
610,NA,NA,NA,Gstcd,Krt20,NA
611,NA,NA,NA,Gstm2,Krt23,NA
612,NA,NA,NA,Gstm3,Krt8,NA
613,NA,NA,NA,Gstp1,Lad1,NA
614,NA,NA,NA,Gtse1,Lama4,NA
615,NA,NA,NA,Gucy2c,Lama5,NA
616,NA,NA,NA,Gyg1,Lamb2,NA
617,NA,NA,NA,Gypc,Lamb3,NA
618,NA,NA,NA,H19,Lamc2,NA
619,NA,NA,NA,H2afy2,Lbh,NA
620,NA,NA,NA,Hacd4,Lbp,NA
621,NA,NA,NA,Hbegf,Lca5,NA
622,NA,NA,NA,Hcn3,Lck,NA
623,NA,NA,NA,Hdgfrp3,Lcn2,NA
624,NA,NA,NA,Heatr1,Lcp1,NA
625,NA,NA,NA,Heatr6,Ldb2,NA
626,NA,NA,NA,Hebp2,Ldha,NA
627,NA,NA,NA,Heph,Lefty2,NA
628,NA,NA,NA,Heyl,Lepr,NA
629,NA,NA,NA,Hic1,Lgals1,NA
630,NA,NA,NA,Hip1,Lgals2,NA
631,NA,NA,NA,Hip1r,Lgals3,NA
632,NA,NA,NA,Hist1h1a,Lgi4,NA
633,NA,NA,NA,Hist1h1b,Lilrb4,NA
634,NA,NA,NA,Hist1h2ail1,Limk1,NA
635,NA,NA,NA,Hist1h2ak,Limk2,NA
636,NA,NA,NA,Hist1h2bd,Liph,NA
637,NA,NA,NA,Hist1h2bk,Lmna,NA
638,NA,NA,NA,Hist1h2bo,Lmnb2,NA
639,NA,NA,NA,Hist1h4m,Lmod1,NA
640,NA,NA,NA,Hivep2,Lnc215,NA
641,NA,NA,NA,Hivep3,LOC100361444,NA
642,NA,NA,NA,Hmga1,LOC100365112,NA
643,NA,NA,NA,Hmgcr,LOC100910558,NA
644,NA,NA,NA,Hn1,LOC100912312,NA
645,NA,NA,NA,Homer3,LOC302022,NA
646,NA,NA,NA,Hpcal1,LOC308990,NA
647,NA,NA,NA,Hps3,LOC361016,NA
648,NA,NA,NA,Hrasls5,LOC367975,NA
649,NA,NA,NA,Hrh1,LOC498222,NA
650,NA,NA,NA,Hrk,LOC498836,NA
651,NA,NA,NA,Hs6st2,LOC499781,NA
652,NA,NA,NA,Hsdl2,LOC654482,NA
653,NA,NA,NA,Hspa12b,LOC680227,NA
654,NA,NA,NA,Hspa1a,LOC680663,NA
655,NA,NA,NA,Hspa1b,LOC681383,NA
656,NA,NA,NA,Hspa4l,LOC688452,NA
657,NA,NA,NA,Hspb9,LOC689766,NA
658,NA,NA,NA,Htra3,LOC689986,NA
659,NA,NA,NA,Hyal2,LOC690617,NA
660,NA,NA,NA,Ica1,Loxl1,NA
661,NA,NA,NA,Icam1,Loxl4,NA
662,NA,NA,NA,Id1,Lpl,NA
663,NA,NA,NA,Idh2,Lrrc1,NA
664,NA,NA,NA,Ier2,Lrrc49,NA
665,NA,NA,NA,Ier5,Lrrc52,NA
666,NA,NA,NA,Ier5l,Lrrc75b,NA
667,NA,NA,NA,Ifi27l2b,Lrrc8e,NA
668,NA,NA,NA,Ifit2,Lrrcc1,NA
669,NA,NA,NA,Ifit3,Lrrfip1,NA
670,NA,NA,NA,Ifitm2,Lrrk2,NA
671,NA,NA,NA,Ifngr2,Lsp1,NA
672,NA,NA,NA,Ifnlr1,Ltb,NA
673,NA,NA,NA,Ift122,Ltbp1,NA
674,NA,NA,NA,Ift22,Ltbp2,NA
675,NA,NA,NA,Igf2bp2,Ltbp3,NA
676,NA,NA,NA,Igf2r,Ltbp4,NA
677,NA,NA,NA,Igfbp1,Lypd1,NA
678,NA,NA,NA,Igsf11,Lyz2,NA
679,NA,NA,NA,Igsf3,Lzts2,NA
680,NA,NA,NA,Igsf8,Maff,NA
681,NA,NA,NA,Ikbkb,Mafk,NA
682,NA,NA,NA,Ikbke,Maged2,NA
683,NA,NA,NA,Ikzf2,Magee1,NA
684,NA,NA,NA,Il10rb,Magi3,NA
685,NA,NA,NA,Il17re,Mal,NA
686,NA,NA,NA,Il1r2,Mall,NA
687,NA,NA,NA,Il1rl1,Maml3,NA
688,NA,NA,NA,Il1rn,Map1a,NA
689,NA,NA,NA,Il22ra1,Map1b,NA
690,NA,NA,NA,Il23a,Map2,NA
691,NA,NA,NA,Il2rg,Map4k2,NA
692,NA,NA,NA,Il34,Map4k4,NA
693,NA,NA,NA,Impa2,Map6,NA
694,NA,NA,NA,Impdh1,Map9,NA
695,NA,NA,NA,Incenp,Mapk4,NA
696,NA,NA,NA,Inhbb,Mapt,NA
697,NA,NA,NA,Inhbe,Mar-03,NA
698,NA,NA,NA,Inpp1,Marcks,NA
699,NA,NA,NA,Insig1,Mat2a,NA
700,NA,NA,NA,Insig2,Matk,NA
701,NA,NA,NA,Iqgap1,Mcam,NA
702,NA,NA,NA,Iqgap3,Mcemp1,NA
703,NA,NA,NA,Irak2,Mcm2,NA
704,NA,NA,NA,Irak3,Mcpt1l1,NA
705,NA,NA,NA,Irf1,Mdga1,NA
706,NA,NA,NA,Irg1,Mecom,NA
707,NA,NA,NA,Irx2,Megf6,NA
708,NA,NA,NA,Isg15,Meox1,NA
709,NA,NA,NA,Itga4,Metrnl,NA
710,NA,NA,NA,Itga5,Mfap3l,NA
711,NA,NA,NA,Itga6,Mfsd10,NA
712,NA,NA,NA,Itga8,Mfsd12,NA
713,NA,NA,NA,Itgam,Mfsd9,NA
714,NA,NA,NA,Itgb1,Mgat3,NA
715,NA,NA,NA,Itgb2,MGC105649,NA
716,NA,NA,NA,Itgb6,Micb,NA
717,NA,NA,NA,Itgb8,Mir155hg,NA
718,NA,NA,NA,Itpka,Mir199a2,NA
719,NA,NA,NA,Itpkc,Misp,NA
720,NA,NA,NA,Itpripl2,Mlph,NA
721,NA,NA,NA,Jag1,Mmd,NA
722,NA,NA,NA,Jak3,Mmp12,NA
723,NA,NA,NA,Jam2,Mmp13,NA
724,NA,NA,NA,Jph4,Mmp28,NA
725,NA,NA,NA,Jun,Mmp3,NA
726,NA,NA,NA,Junb,Mmp7,NA
727,NA,NA,NA,Jund,Mmp8,NA
728,NA,NA,NA,Kank3,Mogat2,NA
729,NA,NA,NA,Katnal1,Mphosph6,NA
730,NA,NA,NA,Kcnj8,Mpp4,NA
731,NA,NA,NA,Kcnj9,Mpp7,NA
732,NA,NA,NA,Kcnn2,Mrgprf,NA
733,NA,NA,NA,Kcnn4,Mrpl49,NA
734,NA,NA,NA,Kctd13,Mrvi1,NA
735,NA,NA,NA,Kctd15,Ms4a8,NA
736,NA,NA,NA,Kdelr3,Msantd1,NA
737,NA,NA,NA,Kif11,Msantd3,NA
738,NA,NA,NA,Kif12,Msl3l2,NA
739,NA,NA,NA,Kif1c,Msn,NA
740,NA,NA,NA,Kif22,Mst1r,NA
741,NA,NA,NA,Kif23,Mthfd1l,NA
742,NA,NA,NA,Kif26b,Mthfd2,NA
743,NA,NA,NA,Kif2c,Mthfd2l,NA
744,NA,NA,NA,Kif3a,Mtmr11,NA
745,NA,NA,NA,Kif3c,Mturn,NA
746,NA,NA,NA,Kifc1,Muc1,NA
747,NA,NA,NA,Kifc3,Mustn1,NA
748,NA,NA,NA,Kirrel,Mvb12b,NA
749,NA,NA,NA,Klf10,Mvp,NA
750,NA,NA,NA,Klf11,Mxra8,NA
751,NA,NA,NA,Klf4,Myadm,NA
752,NA,NA,NA,Klf6,Mybl1,NA
753,NA,NA,NA,Klhdc8a,Mybl2,NA
754,NA,NA,NA,Klhl5,Mybph,NA
755,NA,NA,NA,Klhl8,Mycl,NA
756,NA,NA,NA,Klra17,Myh10,NA
757,NA,NA,NA,Kntc1,Myh11,NA
758,NA,NA,NA,Kpna3,Myh14,NA
759,NA,NA,NA,Krt18,Myh7b,NA
760,NA,NA,NA,Krt20,Myh9,NA
761,NA,NA,NA,Krt23,Myh9l1,NA
762,NA,NA,NA,Krt4,Myl12a,NA
763,NA,NA,NA,Krt75,Myl9,NA
764,NA,NA,NA,Krt8,Myo1c,NA
765,NA,NA,NA,Lama5,Myo1f,NA
766,NA,NA,NA,Lamb3,Myo1g,NA
767,NA,NA,NA,Lamc1,Myo5a,NA
768,NA,NA,NA,Lamc2,Myo7b,NA
769,NA,NA,NA,Laptm5,Myocd,NA
770,NA,NA,NA,Lbh,Myof,NA
771,NA,NA,NA,Lbp,Myrip,NA
772,NA,NA,NA,Lcn2,N4bp3,NA
773,NA,NA,NA,Lcp1,Nagk,NA
774,NA,NA,NA,Leap2,Nap1l3,NA
775,NA,NA,NA,Lgals1,Nav2,NA
776,NA,NA,NA,Lgals3,Nbl1,NA
777,NA,NA,NA,Lgals3bp,Ncdn,NA
778,NA,NA,NA,Lgals9,Nceh1,NA
779,NA,NA,NA,Lgalsl,Ncf2,NA
780,NA,NA,NA,Lgmn,Nck2,NA
781,NA,NA,NA,Lhfp,Ncs1,NA
782,NA,NA,NA,Lhfpl2,Ndc1,NA
783,NA,NA,NA,Lif,Ndrg1,NA
784,NA,NA,NA,Lilrb4,Nedd9,NA
785,NA,NA,NA,Lilrc2,Nek6,NA
786,NA,NA,NA,Limch1,Nes,NA
787,NA,NA,NA,Limd1,Neurl3,NA
788,NA,NA,NA,Limk1,Nexn,NA
789,NA,NA,NA,Limk2,Nfatc2,NA
790,NA,NA,NA,Liph,Nfkb1,NA
791,NA,NA,NA,Litaf,Nfkb2,NA
792,NA,NA,NA,Lman1l,Nfkbie,NA
793,NA,NA,NA,Lmcd1,Nhs,NA
794,NA,NA,NA,Lmna,Niacr1,NA
795,NA,NA,NA,Lnx2,Nin,NA
796,NA,NA,NA,LOC100294508,Nipal2,NA
797,NA,NA,NA,LOC100361092,Nkd1,NA
798,NA,NA,NA,LOC100361444,Nlgn3,NA
799,NA,NA,NA,LOC100363193,Nme4,NA
800,NA,NA,NA,LOC100909539,Nmt2,NA
801,NA,NA,NA,LOC100909675,Nol3,NA
802,NA,NA,NA,LOC100911068,Nop56,NA
803,NA,NA,NA,LOC100912041,Nop58,NA
804,NA,NA,NA,LOC100912312,Nos2,NA
805,NA,NA,NA,LOC297756,Notch3,NA
806,NA,NA,NA,LOC308990,Nov,NA
807,NA,NA,NA,LOC361016,Npb,NA
808,NA,NA,NA,LOC498276,Npdc1,NA
809,NA,NA,NA,LOC498836,Nr2c2ap,NA
810,NA,NA,NA,LOC499781,Nrcam,NA
811,NA,NA,NA,LOC502176,Nrg1,NA
812,NA,NA,NA,LOC680663,Nrp2,NA
813,NA,NA,NA,LOC681325,Nsg2,NA
814,NA,NA,NA,LOC683722,Nuak1,NA
815,NA,NA,NA,LOC684871,Nudt7,NA
816,NA,NA,NA,LOC689065,Ogn,NA
817,NA,NA,NA,LOC690617,Olfm4,NA
818,NA,NA,NA,LOC691083,Olfml2a,NA
819,NA,NA,NA,LOC691995,Olfml2b,NA
820,NA,NA,NA,Lonrf3,Olr1,NA
821,NA,NA,NA,Loxl1,Orai2,NA
822,NA,NA,NA,Loxl2,Oraov1,NA
823,NA,NA,NA,Lpl,Orm1,NA
824,NA,NA,NA,Lrrc32,Osbpl6,NA
825,NA,NA,NA,Lrrfip1,Osgepl1,NA
826,NA,NA,NA,Lrrk2,Osmr,NA
827,NA,NA,NA,Lrrn4cl,Osr1,NA
828,NA,NA,NA,Lsm11,Otub2,NA
829,NA,NA,NA,Ltb,P2rx1,NA
830,NA,NA,NA,Ltbp1,P2rx5,NA
831,NA,NA,NA,Ltbp2,P2ry2,NA
832,NA,NA,NA,Ltbp3,Pacsin1,NA
833,NA,NA,NA,Ltbp4,Padi2,NA
834,NA,NA,NA,Lum,Pak1,NA
835,NA,NA,NA,Lurap1l,Pak1ip1,NA
836,NA,NA,NA,Ly49si1,Palm,NA
837,NA,NA,NA,Lypd1,Palm2,NA
838,NA,NA,NA,Lyrm1,Pamr1,NA
839,NA,NA,NA,Lysmd2,Papss1,NA
840,NA,NA,NA,Lyz2,Paqr6,NA
841,NA,NA,NA,Lzts2,Paqr8,NA
842,NA,NA,NA,Mad2l2,Parm1,NA
843,NA,NA,NA,Maff,Pbdc1,NA
844,NA,NA,NA,Mafk,Pcbp3,NA
845,NA,NA,NA,Magee1,Pcdh17,NA
846,NA,NA,NA,Magi3,Pcdhb12,NA
847,NA,NA,NA,Magohb,Pcdhb5,NA
848,NA,NA,NA,Mal,Pck2,NA
849,NA,NA,NA,Manba,PCOLCE2,NA
850,NA,NA,NA,Map1a,Pdcd1,NA
851,NA,NA,NA,Map1b,Pdcl3,NA
852,NA,NA,NA,Map1s,Pde4a,NA
853,NA,NA,NA,Map2k1,Pde5a,NA
854,NA,NA,NA,Map3k6,Pde6c,NA
855,NA,NA,NA,Map4k4,Pdgfa,NA
856,NA,NA,NA,Map6,Pdgfb,NA
857,NA,NA,NA,Map9,Pdgfd,NA
858,NA,NA,NA,Mapk13,Pdgfrb,NA
859,NA,NA,NA,Mapk4,Pdk3,NA
860,NA,NA,NA,Mapk7,Pdlim4,NA
861,NA,NA,NA,Mar-03,Pdlim7,NA
862,NA,NA,NA,Marcks,Peg12,NA
863,NA,NA,NA,Marcksl1,Peg3,NA
864,NA,NA,NA,Marveld2,Pex11a,NA
865,NA,NA,NA,Mat2a,Pfkp,NA
866,NA,NA,NA,Matk,Pfn2,NA
867,NA,NA,NA,Mbd2,Phactr2,NA
868,NA,NA,NA,Mbp,Phgdh,NA
869,NA,NA,NA,Mcam,Phlda3,NA
870,NA,NA,NA,Mcemp1,Phldb1,NA
871,NA,NA,NA,Mcm2,Pi16,NA
872,NA,NA,NA,Mcm5,Pik3c2b,NA
873,NA,NA,NA,Mcoln2,Pik3r5,NA
874,NA,NA,NA,Mcoln3,Pkd2,NA
875,NA,NA,NA,Mdfic,Pkia,NA
876,NA,NA,NA,Med12l,Pkm,NA
877,NA,NA,NA,Med9,Pkp2,NA
878,NA,NA,NA,Megf9,Pla1a,NA
879,NA,NA,NA,Meis3,Pla2g1b,NA
880,NA,NA,NA,Melk,Pla2g2d,NA
881,NA,NA,NA,Mesdc1,Pla2g7,NA
882,NA,NA,NA,Mesp2,Plagl1,NA
883,NA,NA,NA,Mest,Plat,NA
884,NA,NA,NA,Metrnl,Plaur,NA
885,NA,NA,NA,Mfap2,Plcd1,NA
886,NA,NA,NA,Mfap4,Plch1,NA
887,NA,NA,NA,Mfge8,Plekha1,NA
888,NA,NA,NA,Mfhas1,Plekha4,NA
889,NA,NA,NA,Mfsd10,Plekhs1,NA
890,NA,NA,NA,Mfsd12,Plet1,NA
891,NA,NA,NA,Mgarp,Plin2,NA
892,NA,NA,NA,Mgat5,Plod2,NA
893,NA,NA,NA,MGC105649,Plp2,NA
894,NA,NA,NA,Mgp,Plscr1,NA
895,NA,NA,NA,Mgrn1,Plscr4,NA
896,NA,NA,NA,Mical1,Plxna3,NA
897,NA,NA,NA,Mical2,Pmepa1,NA
898,NA,NA,NA,Micalcl,Pmp22,NA
899,NA,NA,NA,Mid2,Pnliprp2,NA
900,NA,NA,NA,Mir21,Podxl,NA
901,NA,NA,NA,Mir322,Pof1b,NA
902,NA,NA,NA,Mis12,Pola2,NA
903,NA,NA,NA,Mitd1,Polb,NA
904,NA,NA,NA,Mitf,Polr3g,NA
905,NA,NA,NA,Mki67,Popdc2,NA
906,NA,NA,NA,Mmp12,Pou2af1,NA
907,NA,NA,NA,Mmp13,Ppil1,NA
908,NA,NA,NA,Mmp2,Ppip5k1,NA
909,NA,NA,NA,Mmp23,Ppl,NA
910,NA,NA,NA,Mmp24,Ppp1r14b,NA
911,NA,NA,NA,Mmp3,Ppp1r1b,NA
912,NA,NA,NA,Mmp8,Ppp1r36,NA
913,NA,NA,NA,Mmp9,Ppp2ca,NA
914,NA,NA,NA,Mnda,Ppp2r1b,NA
915,NA,NA,NA,Mob3a,Ppp2r2b,NA
916,NA,NA,NA,Mpi,Pqlc3,NA
917,NA,NA,NA,Mpp7,Pragmin,NA
918,NA,NA,NA,Mras,Prkab2,NA
919,NA,NA,NA,Mrgprx2,Prkar1b,NA
920,NA,NA,NA,Msantd3,Prkca,NA
921,NA,NA,NA,Msc,Prlr,NA
922,NA,NA,NA,Msn,Prmt1,NA
923,NA,NA,NA,Mterfd3,Prmt2,NA
924,NA,NA,NA,Mthfd1l,Prnp,NA
925,NA,NA,NA,Mthfd2,Prom1,NA
926,NA,NA,NA,Mtmr11,Prrx1,NA
927,NA,NA,NA,Musk,Prss22,NA
928,NA,NA,NA,Mvb12b,Prss32,NA
929,NA,NA,NA,Mvp,Prss8,NA
930,NA,NA,NA,Mx2,Psapl1,NA
931,NA,NA,NA,Mxd3,Psat1,NA
932,NA,NA,NA,Mxra8,Psen2,NA
933,NA,NA,NA,Myadm,Psmb10,NA
934,NA,NA,NA,Mybbp1a,Pspc1,NA
935,NA,NA,NA,Mybl1,Ptger4,NA
936,NA,NA,NA,Mybpc1,Ptgir,NA
937,NA,NA,NA,Mybph,Ptgs2,NA
938,NA,NA,NA,Myc,Ptk2b,NA
939,NA,NA,NA,Mycl,Ptk7,NA
940,NA,NA,NA,Myct1,Ptma,NA
941,NA,NA,NA,Myef2,Ptpn14,NA
942,NA,NA,NA,Myh1,Ptpre,NA
943,NA,NA,NA,Myh10,Ptprn,NA
944,NA,NA,NA,Myh9,Ptpru,NA
945,NA,NA,NA,Myh9l1,Ptprz1,NA
946,NA,NA,NA,Myl12a,Ptrf,NA
947,NA,NA,NA,Myl4,PVR,NA
948,NA,NA,NA,Myo1c,Rab19,NA
949,NA,NA,NA,Myo1f,Rab25,NA
950,NA,NA,NA,Myo1g,Rab27b,NA
951,NA,NA,NA,Myo5a,Rab30,NA
952,NA,NA,NA,Myo7b,Rab31,NA
953,NA,NA,NA,Myof,Rab32,NA
954,NA,NA,NA,Myom1,Rab3d,NA
955,NA,NA,NA,Mypn,Rab7b,NA
956,NA,NA,NA,N4bp1,Rad51,NA
957,NA,NA,NA,N4bp3,Ralyl,NA
958,NA,NA,NA,Nacc1,Rap1gap,NA
959,NA,NA,NA,Nagk,Rapgef3,NA
960,NA,NA,NA,Nap1l3,Rasa2,NA
961,NA,NA,NA,Nav2,Rasef,NA
962,NA,NA,NA,Ncdn,Rasgrf2,NA
963,NA,NA,NA,Nceh1,Rasgrp4,NA
964,NA,NA,NA,Ncf1,Rasl10b,NA
965,NA,NA,NA,Ncf2,Rasl11b,NA
966,NA,NA,NA,Ncs1,Rasl12,NA
967,NA,NA,NA,Ndrg1,Rassf8,NA
968,NA,NA,NA,Ndufaf4,Rbm3,NA
969,NA,NA,NA,Nek2,Rbm43,NA
970,NA,NA,NA,Nek6,Rbp2,NA
971,NA,NA,NA,Nenf,Rbpj,NA
972,NA,NA,NA,Nes,Rbpjl,NA
973,NA,NA,NA,Neurl3,Rcn1,NA
974,NA,NA,NA,Nfkb1,Rcn2,NA
975,NA,NA,NA,Nfkb2,Rcn3,NA
976,NA,NA,NA,Nfkbia,Rec8,NA
977,NA,NA,NA,Nfkbie,Reck,NA
978,NA,NA,NA,Niacr1,Recql4,NA
979,NA,NA,NA,Nin,Reep5,NA
980,NA,NA,NA,Nipal2,Relt,NA
981,NA,NA,NA,Nle1,Rem2,NA
982,NA,NA,NA,Nme1,Rftn1,NA
983,NA,NA,NA,Nmt2,Rfx5,NA
984,NA,NA,NA,Nol10,RGD1304624,NA
985,NA,NA,NA,Nol3,RGD1304694,NA
986,NA,NA,NA,Nolc1,RGD1304810,NA
987,NA,NA,NA,Nop14,RGD1305928,NA
