,NASH_up,diff_w4_up,diff_w8_up,diff_w16_up,diff_w32_up,diff_w48_up
46,Igsf9,Entpd8,Cidec,Adpgk,Aifm2,Ear11
47,Inhbe,Ephb6,Ckap2,Aebp1,Aig1,Efna1
48,Ip6k3,Esr1,Clcn6,Afap1,Ajuba,Elovl6
49,Itgax,Ethe1,Coro2a,Afap1l2,Akap2,Ern1
50,Kat2a,Etnk2,Cry1,Afmid,Akna,Espl1
51,Kcnj3,Evc2,Cryl1,Ago2,Akr1b10,Ets2
52,Kntc1,Extl1,Cryz,Agpat3,Aldh18a1,Eva1a
53,Lcp1,Fam8a1,Csmd1,Agpat4,Aldh1a1,Fabp4
54,Lpl,Fgfr3,Cubn,Agpat9,Aldh1a3,Farp2
55,Lrrc31,G0s2,Cxcl9,Agtpbp1,Aldh1a7,Fas
56,Mamdc4,Gcat,Cyp1a1,Ahnak,Aldh3b1,Fasn
57,Mcm2,Gchfr,Cyp26b1,Aida,Aldoa,G6pd
58,Mcm5,Gck,Cyp2b2,Aifm2,Aloxe3,Gale
59,Me1,Gda,Cyp2c22,Ajuba,Alyref,Gan
60,Mep1b,Gfod2,Cyp2c6v1,Akap12,Ampd3,Gapdh
61,Ncam2,Ghr,Dact2,Akap2,Amy2a3,Gatsl2
62,Npnt,Gja5,Dapp1,Akr1b8,Angpt1,Gna12
63,Olfm2,Gnat3,Dbi,Akt3,Ankef1,Gpam
64,Oxt,Gnmt,Derl3,Aldh18a1,Ankrd39,Gpx2
65,Pcsk5,Gpam,Dhdds,Aldh1a1,Anks6,Grk5
66,Pla2g7,Gpd1,Dpt,Aldh1a7,Ano7,Gsta3
67,Plaur,Gpr137b,Efna1,Aldoa,Anp32b,H2afy2
68,Plin1,Gpt,Ehhadh,Aloxe3,Antxr1,Hcn3
69,Prdm1,Gstm2,Elovl6,Alpl,Anxa1,Hebp2
70,Prkaa2,Gypc,Entpd5,Amer1,Anxa2,Heph
71,Prkce,Herc3,Ephx1,Amotl2,Anxa5,Hfe2
72,Ptger4,Hist1h2bh,Ethe1,Ampd3,Anxa7,Hip1r
73,Rgs1,Hist1h4b,Evc2,Amz1,Anxa8,Hjurp
74,Rgs2,Homer2,Fam49a,Angpt1,Aoc1,Hp
75,Scube1,Hrk,Fasn,Angptl4,Aoc3,Hps3
76,Sgcb,Hsd17b6,Fgf21,Ankef1,Apaf1,Hspa4l
77,Slc29a4,Hsf4,G0s2,Ankrd33b,Apba2,Ikbke
78,Spp1,Il36b,Gale,Ankrd37,Apbb1,Il17rb
79,Sqle,Il4r,Galr3,Ankrd39,Aplnr,Insig1
80,Srd5a2,Inhbe,Gapdh,Ankrd6,App,Irf1
81,Stab2,Itga5,Gbe1,Anks6,Appl2,Irs3
82,Stmn2,Iyd,Gck,Ano7,Aqp4,Itga5
83,Stxbp1,Josd2,Gda,Antxr1,Aqp5,Itih4
84,Sulf2,Jph4,Gdf15,Anxa1,Aqp7,Itpk1
85,Thy1,Kank1,Gdnf,Anxa2,Arf2,Jph4
86,Tmem154,Kank2,Gja5,Anxa4,Arhgap11a,Kank2
87,Tmem45b,Kcnn2,Gnat3,Anxa5,Arhgap22,Kcnn2
88,Tmem63a,Kdsr,Gng10,Anxa7,Arhgap28,Lbp
89,Tmprss9,Khk,Gpam,Anxa8,Arhgdia,Lcn2
90,Trhde,Kifc3,Gpr137b,Aoah,Arhgef25,Lnx2
91,Ugt2a1,Lag3,Gpx1,Aoc1,Arhgef28,LOC100361444
92,Vamp1,Lamb3,Gsta1,Apaf1,Arhgef9,LOC680254
93,Vcan,Leap2,Gsta3,Apbb1,Arid3a,LOC691083
94,Wnt11,Limk2,Gstk1,Apbb1ip,Arid5a,Lrp5
95,Zdhhc2,Lingo4,Gstm1,Apln,Arl10,Map7d1
96,NA,LOC100361444,Gstt1,Aplnr,Arl4c,Mapk4
97,NA,LOC367975,H2afy2,App,Arl5c,Mapk9
98,NA,LOC502176,Hcn3,Appl2,Armc6,Mbp
99,NA,LOC688335,Herc3,Aqp4,Arrb1,Med12l
100,NA,LOC691083,Hfe2,Aqp7,Art4,Mical2
101,NA,Lonrf3,Hibch,Arap2,Artn,Mid1ip1
102,NA,Lrp5,Hist1h2bh,Arf2,Asns,Mir3577
103,NA,Lrrc20,Hist1h4b,Arfgap3,Aspn,Mmp8
104,NA,Lrtm2,Hnf4g,Arg2,Atf3,Mycl
105,NA,Ltbp4,Hs6st2,Arhgap10,Atf4,Naprt1
106,NA,Mab21l3,Hsd17b6,Arhgap11a,Atf7ip2,Ncr3
107,NA,Manea,Hspa4l,Arhgap22,Atp10a,Nme1
108,NA,Mast3,Ifi27l2b,Arhgap28,Atp1a3,Nrg1
109,NA,Mbp,Ikbke,Arhgdia,Atp1b2,Nuak1
110,NA,Mettl7b,Il36b,Arhgef19,Atp2b4,Nxn
