HO_up	HO_down	NAFLD_up	NAFLD_down	NASH_up	NASH_down	HF12_up	HF12_down	HF18_up	HF18_down	STZ12_up	STZ12_down	STZ18_up	STZ18_down	MCD4_up	MCD4_down	MCD8_up	MCD8_down	Pten_up	Pten_down	HF30_up	HF30_down	WTD_up	WTD_down
														Cidec	Macrod1	Tspan8	Tmprss6						
														Atp5s	Slc41a2	Odc1	Sirt3						
														Tbl2	Pcx	Ccdc23	Magix						
														Scamp2	Srd5a1	Pdgfa	Masp2						
														Prrc1	Slc25a45	Ppa1	Shroom1						
														Cygb	AI317395	Uaca	Fpgs						
														Usp2	Aspdh	Atp1b1	Gm7609						
														Prkacb	Zfp809	Plekha1	1110057K04Rik						
														Por	Gltpd2	Rab2a	Pnpla7						
														Nubp1	Aspg	Idh3a	Pcbp1						
														Cotl1	Sdr9c7	Bhlhb9	Oaf						
														Pgs1	Spsb4	Rab3d	Gale						
														Scarf2	F11	Etf1	Spata2l						
														Trmt61a	Slc25a16	Bcap29	Taf15						
														Hgsnat	Gm4956	Egr1	Mup3						
														Cyp7a1	Eci1	Krt20	Cpn2						
														Fto	Slc25a30	Nceh1	Fahd2a						
														Ndufaf4	Cela1	Hist1h4i	Fahd1						
														Ccdc86	Thtpa	Acot4	Hao1						
														Lrp10	Abcc6	Cidec	Insc						
														Ubap2	Rtp3	Cygb	Chpt1						
														Ptplad1	Kank1	Aqp4	Rbks						
														Slc5a6	Hagh	Bex4	Rbpms						
														Per2	Ppm1k	Mcm2	Gm4952						
														Fkbp11	Cyp8b1	Tmprss7	Bmp1						
														Tmem86a	Acy3	Mvp	Proc						
														Rhbdf1	Slc22a7	Blvrb	Upb1						
														Slc25a28	Cyp2f2	Impad1	Ugt3a2						
														Vnn3	Glo1	Timp3	2810007J24Rik						
														Aqp4	Nudt7	Psma4	H2afy						
														Atox1	C4b	Emp3	Plekhb1						
														Rnpepl1	Serpina3k	Pnpla2	Serping1						
														Mvp	Gck	Sowahb	Serpina11						
														Mmp15	Rnf5	Cd1d1	Bco2						
														Blvrb	Slc17a2	Plekho2	Mup1						
														Cyp4a14	Vmo1	Atp6v1d	Rbpms2						
														Abcc3	Adck5	Slc7a11	Apol9b						
														Pnpla2	Prodh2	Tmem237	Cebpa						
														Zyx	Cyp2d40	Art4	C8g						
														Psap	Hhex	Plin4	Saa4						
														Fgf21	Lcat	Igsf5	Acsl1						
														Ppargc1b	Ugt3a1	Tcf21	Gucd1						
														Grina	Adh4	Matr3	Bdh1						
														Ciart	Gstp1	Raet1b	Cyp4f15						
														Pex11a	Nxpe2	Areg	C8b						
														Mrps34	Lmf1	Tceal5	Rrbp1						
														Tmem184b	Tspan33	Rpl35	Sdr42e1						
														Osgin1	Cpn1	Igdcc4	Rbm4						
														1810055G02Rik	Clec2d	Csrp1	Masp1						
														Fam102a	Cyp4v3	Atf3	H2-Ke6						
														Plin4	Inhbc	Mertk	Ddah1						
														Slc6a9	Igfals	Ano10	Dexi						
														Dbp	Ccbl1	Hapln4	Dhrs11						
														Gpc1	Alas2	Selplg	Dio1						
															C6	Ccdc47	Acsm5						
															Pbld2	Acot3	Ergic3						
															Slc27a2	Tmem43	Cmtm6						
															Trp53inp2	Scara3	Aes						
															Elovl3	Hnrnpab	Egfr						
															Fitm1	Clec4d	Ptms						
															Gpd1	Bex2	Txndc15						
															Wfdc2	Ttc39a	Rdh7						
															Keg1	Tmsb10	Aars						
															Creld1	Ppic	Lrfn3						
															Retsat	Siva1	Aplp2						
															Slc17a8	Nubp1	Smagp						
															Serpina12	5430435G22Rik	Selo						
															Susd4	Fbn1	Cyp2d10						
															Mgll	Rad54b	Ggact						
															Nox4	Plrg1	Igf1						
															Acot1	Pgs1	F12						
															Serpina4-ps1	Pf4	Ldhd						
															Csad	Ccdc86	Pcbd2						
															Paqr7	Vnn3	Foxn3						
															Cyp2d9	Hk3	Pitpnb						
															Serpina1e	Lox	Ttc39c						
															Aox3	Egr2	Fn3k						
															Cyp7b1	Rhox5	Mrpl2						
															Cyp4a12b	Hist1h4k	N4bp2l1						
															Aatk	Pkia	Macrod1						
															Mup21	Zyx	Pcyt2						
															Nrep	Leprot	Hgfac						
															Phlda1	2700094K13Rik	Slc41a2						
															Cyp4a12a	Cyth3	Pcx						
															Hsd3b5	Rilpl2	Srd5a1						
																Pdxp	Naprt						
																Psmd8	Tff3						
																Hmgn2	Slc25a45						
																Snx10	Helz2						
																Csn3	AI317395						
																Tpd52	Aspdh						
																Ednra	Snrpa						
																Plgrkt	Them7						
																Lgals3	Tmem25						
																Coa6	Tap2						
																Pdcd10	Slc25a23						
																Ctgf	Dhx58						
																Mpp1	Gltpd2						
																Slamf9	Aspg						
																Ubd	Sdr9c7						
																Spink3	Ccpg1						
																Bola2	Impdh2						
																Ier3	Csrp3						
																Rragc	Mrpl34						
																Mfsd7c	Pex6						
																Ipo5	Spsb4						
																Bet1l	F11						
																Atp5s	Ndufa10						
																Stard8	Fetub						
																Tcf4	Bcl6						
																Atpif1	Hdac11						
																Pgd	Pdk2						
																Get4	Pnkd						
																Lsm5	Gm4956						
																Pdk4	Eci1						
																Dynll1	Serpinf1						
																Hist1h1c	Slc25a30						
																Wwp1	Thtpa						
																Cstb	Npr2						
																Coro1a	Abcc6						
																Pip4k2a	Brap						
																Csrp2	Ccs						
																Maged2	Rtp3						
																Ehd4	Hagh						
																Rpl38	Ppm1k						
																Emp1	Grhpr						
																Timp2	Cyp8b1						
																Hist1h4n	Acy3						
																Sec13	Jmjd8						
																Ncf4	Dnajb2						
																S100a11	Cyp2f2						
																Pdlim4	Cox18						
																Psap	Glo1						
																Tlr2	Gckr						
																Emb	Nudt7						
																Pja2	Faah						
																Tuba8	Spon2						
																Mcm5	Stip1						
																Iqgap1	Gfm2						
																Acbd3	C4b						
																Stt3b	Serpina3k						
																Sgtb	Fam214a						
																Fam98a	Slc25a1						
																Sepn1	Serpina3n						
																Vat1	Gck						
																Sftpd	Rnf5						
																Nhlrc2	St3gal3						
																Lmo2	Fkbp4						
																Cers5	Slc17a2						
																Aurkaip1	Gamt						
																Slmo2	Ociad2						
																Hist1h2ap	Odf3b						
																Capg	Hspb1						
																Apobec1	Vmo1						
																Nt5e	Adck5						
																Fam134b	Vegfb						
																Vcam1	Prodh2						
																Cxcl1	Cyp2d40						
																Uqcr10	Ccdc84						
																Tax1bp1	Cyp4f13						
																Mmp2	Lcat						
																P2ry14	Ugt3a1						
																Bicc1	Adh4						
																Lrp12	Rbm42						
																Mis18a	Parva						
																BC048546	Gabarapl1						
																H2-Eb1	Slc35e3						
																Ugcg	Akr7a5						
																Cox6a2	Gstp1						
																Fam171b	Nxpe2						
																Fen1	Lmf1						
																Gja1	Nsmf						
																Tmem65	Hpn						
																Slc48a1	Tspan33						
																Zfand2a	Scnn1a						
																Usp2	Ergic1						
																Abcg5	Echdc2						
																Wbp5	Arsg						
																Hsd17b7	Cpn1						
																Laptm5	Abhd14b						
																Pla2g15	Clec2d						
																Nop58	Scly						
																Adam23	Cyp4v3						
																Sgms1	Inhbc						
																Pde6c	Tubg1						
																Ripk4	Igfals						
																Slc6a8	Ccbl1						
																Immt	Alas2						
																B930041F14Rik	C6						
																Ly6d	Pbld2						
																Timm17a	Slc27a2						
																Fmo3	2310036O22Rik						
																Col4a1	Pskh1						
																Tmem176a	Trp53inp2						
																Rab31	Suds3						
																Gns	Cdhr5						
																Tbcd	Lims2						
																Ciart	Irf2						
																Clec4n	Elovl3						
																Klf6	Fitm1						
																Loxl1	Mocs1						
																H2-DMb1	H6pd						
																Serpinb6a	Gpd1						
																Tgfbi	Gaa						
																Gm9294	Wfdc2						
																Golm1	Josd2						
																Ndufs6	Keg1						
																Serinc1	Slc25a42						
																Akr1c19	Creld1						
																Plekha2	Retsat						
																Ccnd2	Slc17a8						
																Reln	Serpina12						
																Pptc7	Susd4						
																Styx	Mgll						
																Ptplad1	Hmgcs2						
																Krt8	Hyal1						
																Ermp1	Syvn1						
																1110008P14Rik	Nox4						
																Rps27l	Acot1						
																Tfrc	Serpina4-ps1						
																Rbp1	Csad						
																Enpp2	Hspb6						
																P2ry6	Cyp2d9						
																Cyba	Serpina1e						
																Mfge8	Aox3						
																Dcn	Eif4ebp2						
																Slc40a1	Cyp7b1						
																Slc2a1	Cyp4a12b						
																Nuak2	Aatk						
																Impact	Mup21						
																Cxcl16	Lrg1						
																Olfml3	Cfd						
																Hgsnat	Cyp4a12a						
																Tmem86a	Hsd3b5						
																Cd52							
																Fcgr4							
																Alox5ap							
																Cd63							
																Tmsb4x							
																Nfkbiz							
																Rasa1							
																Lamtor4							
																Arhgap30							
																Nptn							
																Per2							
																Strbp							
																Lpl							
																Cyp7a1							
																Gpx7							
																Lpxn							
																Sirpa							
																Ckb							
																Gpnmb							
																D16Ertd472e							
																Gas6							
																Ercc3							
																Wsb2							
																Ets2							
																Slc15a3							
																Ube2e2							
																Axl							
																Olig1							
																Gadd45a							
																Palmd							
																Gipc2							
																Was							
																Gpx3							
																Wfdc3							
																Lgmn							
																Timp1							
																Ccl4							
																Fkbp11							
																Nat8							
																Cytip							
																F2r							
																Igfbp2							
																Gldn							
																Cd14							
																Mmp12							
																Lsm3							
																Ndufaf4							
																Fcer1g							
																Cotl1							
																Fitm2							
																Slpi							
																Adam32							
																Cyp2b13							
																Rab8b							
																Clec7a							
																Trem2							
																Gsta1							
																Deb1							
																Sh3bgrl3							
																Alas1							
																Prkacb							
																Serpina3g							
																Dram1							
																Cfp							
																H2-M2							
																Ear2							
