HO_up	HO_down	NAFLD_up	NAFLD_down	NASH_up	NASH_down	HF12_up	HF12_down	HF18_up	HF18_down	STZ12_up	STZ12_down	STZ18_up	STZ18_down	MCD4_up	MCD4_down	MCD8_up	MCD8_down	Pten_up	Pten_down	HF30_up	HF30_down	WTD_up	WTD_down
		CCDC82		PDE11A	LPA	Sh3bp2	Gstm6			Fam102a	Slc6a12	Decr1	Fam102a	Lgmn	Me1	Lyz2	Aadac	Ctse	H2-Bl	Fmo5	BC029214	Pex11a	Mup5
		MAMDC4		GPR52	GNMT	Cdc42bpb	Plac8			Inhbe	Mup5	Paqr7	Inhbe	Mrpl46	Aadac	Upp2	Akr1c6	Atp6v1d	Fam213b	Lonp2	Eci3	Tmem184b	Bdh2
		VAMP1		IDO2	APOF	Lgals4	Aadac			Acaa1a	Mup20	Ephx1	Acaa1a	Slc51b	Dusp1	Prdx3	Gls2	Plin4	H2-T10	Uap1l1	F10	1810055G02Rik	BC029214
		LINC00174		GALNT18	RAMP1	Npepl1	Gls2			Slc6a9	Mup4	Fam102a	Slc6a9	Txnip	Cpb2	Ly86	Fgb	Pnpla7	Serpina11	Cd151	Sdsl	Col4a2	Nme3
		IP6K3		SUMO4	COX7B	Atxn2	Rgn			Gpc1		Plin4	Gpc1	Tceal8	Rgn	Txnip	Cpb2	Gale	Cyp1a2	Lgals1	Cyp2d13	Gpc1	Rdm1
		ALPK2		PLA2G7	CYP2C19	Fitm2	Etnppl					Inhbe		Ets2	Cldn1	Idh2	Rgn	Chpt1	Zpr1	Tmem120a	Mlxipl	Hr	Smim1
		FGF21		ADAM20	ADTRP	Psap	Ppp1r3b					Acaa1a		Krt8	Wfdc21	Tceal8	Cldn1	Gm4952	Coq10b	Thbs2	Wsb1	Anxa2	Cyp4f14
		ZNF385D		ITGAX	LRG1	H6pd	Dpy30					Dbp		Fcer1g	Etnppl	Tmem97	Wfdc21	9130409I23Rik	C2	Spp1	Il11ra1	Bhlhb9	Ap4s1
		TRHDE		CDC45	SNAI2	Grina	Acss2					Gpc1		Fam134b	Ppp1r3b	Nupr1	Etnppl	Lrfn3	Bud13	Pigp	Inhba	Cidec	Cyp2g1
		OXT		SULF2	AMDHD1	Anpep	Sptssa							Tmem97	Elovl2	Ccdc80	Ppp1r3b	Eif2ak2	Pcsk9	Slc5a6	Smim1	Mvp	Ang
		PRKCE		LOC100131541	ACKR2	Rnf10	Dcn							Mt2	Scd1	Adh7	Elovl2	Fkbp1a	Ivd	Atp6v1e1	Etnk2	Plin4	Aldoc
		PRAMEF10		GAS6-AS1	HAL	Fbxo21	Qprt							Psmd8	Mbl2	Tyrobp	Scd1	Hdhd3	Serpina3k	Gpx4	Lmntd2	Cd74	Zap70
		TMEM45B		HBEGF	SNORD116-6	Igfbp4	Uox							Nupr1	Acss2	Gsta2	Mbl2	Palld	Ccl9	Tmem126a	F7	Cdkn1a	F7
		RGS1		IGHV3-48	SNORD116-1	Wfdc2	Mdh1							Hmgn2	Qprt	Bhlhe40	Acss2	Fgf21	Igfbp2	Pdia3	Ccnt1	Bdh1	Dgcr6
		SRD5A2		CD83	CNGA1	Abcb4	Kynu							Snx10	Ddc	Fpr2	Qprt	Cyp8b1	Fbxo21	Fam102a	Brf1	Rhbdf1	Tefm
		OLFM2		HMCN1	CFHR4	Slc25a42	H2-K2							Sult1a1	Uox	Mrpl20	Ddc	Cidea	Susd4	Dbp	Mvd	Pdk4	2810007J24Rik
		ENO3		MCM5	CFHR5	Aqp9	Psmc1							Hamp	Mdh1	Sdpr	Uox	Paqr9		Akr1a1	Exoc3l	Ddah1	Cyp1a2
		MEP1B		CH25H	SNORD115-32	Pex11a	H2-Q8							Tfrc	Kynu	Casp6	Gm5069	Gck		H2-DMa	Fam207a	Elovl5	C8b
		ATHL1		PTGER4	SNORD116-23	Cpt2	Arl4d							Adh7	H2-K2	Mrc1	Mdh1	Fntb		Gpc1	Shroom1	Gal3st1	Sult5a1
		LOC100131756		LCP1	SNORD116-24	Creld1	Sc5d							Lgals3	Gm2893	App	Kynu	Clstn3		Fam180a	Raf1	S100a11	Egfr
		LINC00885		ARRDC4		Retsat	Hist2h3b							Tgfbi	Plxna1	Aig1	H2-K2	Arsg		Dpt	Fpgs	Psap	Metrn
		HYDIN		KCNJ3		Decr1	Rpl24							Cd14	H2-Q8	Htatip2	Plxna1	Crygn		Aldh1a1	Alkbh7	Fads2	Hdhd3
		TMEM154		FPR3		Hsd17b4	Sumo2							Ctgf	Atp5a1	Nudt18	H2-Q8	Alad		Tmem98	Spata2l	Pla2g6	Fmo3
		FNDC5		PLAUR		Mgll	Pdhb							Rpl9	Sc5d	Gstm5	Arl4d	Fam73b		H19	Bmp1	Laptm5	Cela1
		PEG10		FLJ36840		Hmgcs2	Degs1							Rbp1	Anp32a	Vldlr	Sc5d	Fitm1		Anxa2	Ppard	Ly6d	Vmo1
		NCAM2		STXBP1		Rangap1	Sdhb							Clec4n	Fbp1	Alcam	Acly	Ormdl3		Gdf10	Dnmt3b	Col4a1	Serpina1e
		GRID1		PRDM1		Acaa1b	Ebp							Prss8	Cpq	Pigx	Anp32a	Wfdc2		Pepd	Stat2	Bach2	Cyp7b1
		CYP7A1		WNT11		Tmem184b	Eif4ebp1							Cxcl16	Acaa2	Aqp1	Fbp1	Mgll		Micu2	Slc6a12	Eci1	
				HSD17B7		Acot1	Iah1							Eif6	Asl	Rps4x	Acaa2	Csad		Tspan8	Crip2	Atp9a	
				SND1-IT1		Alas1	Med28							Gm9294	Cat	C1qb	H2-Q10	Inhbe		Stbd1	Ccdc130	Grhpr	
				DTL		Paqr7	Rnase4							Igfbp2	Fam213a	Id1	Asl	Aatk		Pdgfa	Pcyt2	Fgf21	
