,W4_WT3,W4_WT2,W4_WT1,W8_WT3,W8_WT2,W8_WT1,W16_WT3,W16_WT2,W16_WT1,W32_WT1,W32_WT2,W32_WT3,W48_WT1,W48_WT2,W48_WT3,W4_KO3,W4_KO2,W4_KO1,W8_KO3,W8_KO2,W8_KO1,W16_KO3,W16_KO2,W16_KO1,W32_KO2,W32_KO3,W48_KO1,W48_KO2,W48_KO3
Sgcb,-0.709564414347674,-0.327216550259975,-0.532459703609193,-0.99709988913783,-0.456268861796445,-1.12309779550744,-0.0613154690705055,-0.148379509901665,-0.7433639314611,-0.463788586254328,-1.23248400841117,-1.79109452229285,-0.058921553050359,-0.604068202732931,-0.298194012786428,1.35852369310777,0.729016561331907,1.1594562353001,-1.01249590002369,-0.0617104063821017,-0.536153504027806,1.78666398542256,-0.107509560827357,1.79029767093517,1.73530542581844,1.80663474358955,0.671001015214154,0.596943055940357,-0.368656004779138
Car12,0.858979680935033,0.828117587326596,-0.591615055205316,-0.375665193968559,-0.459465498971962,-0.594353273397712,-1.11019937118932,-1.39555272562748,-0.256662957783757,-0.929645743170329,-0.936943244577745,0.175819591567704,-0.904142600360855,-0.931221554306571,-1.39555272562748,1.49268295410863,1.71731277383372,1.84709272469056,0.118265877520775,1.2964471695504,0.981109283253785,-0.368782004091644,-1.39555272562748,-0.239322591626495,1.57913570410285,0.458452137665901,0.414151824514017,-0.489275484978264,0.606385441441003
H2afy2,-0.847976948276995,-0.408628156284433,-0.192811400044501,-0.501103459818547,-0.558125409054109,-1.45464146826924,-0.952070463925567,-1.26858477197388,-0.568710173985629,-0.15535712213532,-0.943044826870528,-1.22555688259022,-0.92409676429958,-1.07271990255622,-0.53607724702061,-0.0646950346842875,0.36253369767197,0.108656690086139,0.992386289027467,-0.0839064140419333,1.25665659766435,0.727219860875072,1.50773647763659,-0.423571197701551,1.36945558680876,1.18137105558944,0.9301949130563,1.85133145449266,1.89413502062438
Stxbp1,-0.497720663078651,-0.549223603151208,-1.08033335674551,-0.668293638678711,-0.648785130920738,-1.65874164079006,-0.318066054008038,-0.721252350034762,-0.242141578754856,-0.274146601275657,-0.42963112844271,0.502911239265354,-0.561826671626185,-1.06421777277769,-1.01791838097529,-0.962776221994689,-0.394401855412845,0.127505367507677,-0.638820960266456,1.87082267459547,0.0920993495104937,1.20311138407381,0.501103717170251,1.55792465209918,1.66493871672752,2.3124758686237,0.145342290310694,1.17037448181453,0.579687867235367
Abca2,-0.833790031764583,-0.928927812195878,-0.498680712898768,-0.243252048534135,-0.259970276956718,-0.432181353920939,-0.572850865314398,-0.912232813291918,-1.1511543593832,0.446368591746547,0.218968234612318,-0.882148876718962,0.319367564404053,-0.416450040604285,0.0929158897290375,-0.225558380232044,-0.248806805203911,-0.140435965108707,-1.03736066186655,-0.55525830158282,-0.181957978620123,0.214250514946869,0.592607769209514,1.82819108068776,3.53607483341934,1.96667555604074,0.241904824701401,-0.394270614432708,0.457963039133072
Apaf1,-0.204548229259551,0.562952528125771,-0.892438675646769,-0.514146486373524,-0.424329178524596,-0.0397391172390731,0.00438707165416475,-0.387383054223906,-0.515968582311936,-1.12242417069619,-0.740796418490751,-0.963164374151362,0.436765187756079,-0.679825680288711,-0.21927094166953,-0.753678113520574,-0.491879229701001,-0.423385170503723,-0.536874839245045,-0.694476363525939,-1.18610979247464,1.53387750813046,0.59574848677469,3.42974423656202,1.24957769514693,1.6051331791245,0.363177376217394,0.758336976814021,0.250738171540753
Clstn3,-1.3058505751921,-0.717807136827185,-2.13060950230342,-0.018047189200386,0.956190190893806,0.511170217796541,0.253216569530361,0.191525770688891,-0.88349910651461,-0.463522836352319,-0.823610707478851,-0.0144769573246448,-0.395891325141299,-2.13060950230342,-0.574496479816985,0.696012385522799,0.223910347202023,-0.387199713727361,1.81044808007745,0.665167330616181,0.750181401081101,1.55763864614893,1.92126148647383,-0.0477496622570476,0.439025674518992,0.877283572271956,-0.72603989890937,0.45723477570489,-0.690855855178746
Dpysl2,-0.0225333949449112,-0.153989967213172,-0.933824905384047,-0.868725580905669,-0.871143836573194,-0.973806396551822,-1.02225578274089,-1.14946718182732,-0.285593991080457,-0.704079360225931,0.110823188444905,0.426927092506088,0.216280434534334,-0.1604100574585,-0.106549896074963,-0.270189929487337,-0.973601593403655,-0.62604745094886,0.129911685004199,-1.26106714381449,-0.170822903373045,2.01055920154017,-0.149635396006281,1.1430300082634,2.82545729392862,1.54877010685365,0.81706911460344,1.39406343839664,0.080853203939095
Fabp4,-0.897755113383682,-0.2209094169637,0.221554038812031,-0.495628143119473,-0.923845657098818,-0.469288910222289,-0.805921022871732,-1.16550772388236,-1.24595021437834,-0.664074077166472,-0.25986832450665,-0.0605946463270704,-1.02374484084522,-1.36355915482507,-0.478657907525002,0.186725938555239,-0.260146257616751,-0.0247520620271137,-0.0770170357677703,-0.223217707898113,0.154844051009379,2.20739084662914,1.10652746895051,2.06492252839735,1.81331068990818,1.98530833359893,0.889088470036425,0.0574712712327776,-0.0267054207043307
Fam129b,-0.6235138185646,-0.354152002162932,-0.941544626234498,-0.464502121874168,-0.591766065817083,-0.894847928900705,-0.188164861386936,-0.538188748854004,-0.754424870715466,-0.256846100076197,-0.205641457582367,-0.401091844438739,-0.642311320671364,-0.915563480732573,-0.635283486111117,0.324157115637085,0.183992288454627,0.472563417422597,-0.255167627085285,-0.411269866694233,0.037529839814342,2.63880642968847,0.479950726374077,2.3604177138286,1.58455384933263,2.36811706886055,-0.0228646495919924,-0.583798222071606,-0.769145349847105
