,W4_WT3,W4_WT2,W4_WT1,W8_WT3,W8_WT2,W8_WT1,W16_WT3,W16_WT2,W16_WT1,W32_WT1,W32_WT2,W32_WT3,W48_WT1,W48_WT2,W48_WT3,W4_KO3,W4_KO2,W4_KO1,W8_KO3,W8_KO2,W8_KO1,W16_KO3,W16_KO2,W16_KO1,W32_KO2,W32_KO3,W48_KO1,W48_KO2,W48_KO3
Cd302,-0.793112234673399,-0.507462172978233,-0.808773142693565,0.950122888327557,0.66276251153771,0.468246816840572,0.372282907828899,0.805907865440655,1.41159137149049,0.220900317773526,0.732483760973666,1.04780502562433,0.98898722665377,0.668351219112324,0.667399223481481,-0.552434966714703,-1.86709282484283,-0.158446024292206,-0.9010288387558,0.962199882082769,0.0535657180700527,-1.86229042616896,-0.523946483394717,-1.23930370610677,-1.79632681928222,-1.52772552643644,0.888299767495062,0.957872179375924,0.679164484231043
Cpn1,0.403935159023241,0.755884399926984,1.31136747414734,0.968570061847338,1.23604335912804,0.863234624109788,0.902188851637195,1.35456900130338,1.10633709591029,0.481949456742277,0.65396446511932,0.065986279160917,-0.618928804214334,-0.576090777261821,-0.613113095790559,0.937777482147303,-0.325558781711877,-0.580768952986177,0.558915639716849,-0.190937302299452,0.0401357230926047,-1.01854654495133,-0.196060958828986,-2.56049855731025,-0.0781095744917749,-1.93423138904507,-1.64499354517227,-0.428730359005286,-0.874290429943665
Hal,0.565851208994158,0.0947143799978381,-0.380897376651496,1.05960074206405,0.965420535164936,0.615279252870344,1.09353623926962,0.906214423250194,0.713496119788558,1.15305641507712,0.0294117807009411,0.0586233912494462,-0.155509046100346,-0.180698699954524,0.699393456790819,-0.0635025491855427,0.0341288473061246,0.237313445188371,-0.350283551509136,1.07943597339401,0.507525946109452,-2.73131066978138,-1.38993606140769,-1.82208007694704,-1.81990630679845,-1.68678928387885,0.165582447054736,0.32743981845588,0.27488919948788
Hsd17b11,-0.0299262333484655,0.205058591944783,0.183292030186059,0.195643428344803,0.69648640820411,0.157167488370973,0.330124106561649,0.435435070432712,0.218172111380096,0.248846558349275,-0.183682022474404,-0.226858070162341,-0.833623162249347,-0.119837732606098,0.166714188186804,1.64507930280399,0.857342555807873,1.24661290918604,0.86048563689405,1.96918328507586,1.0328720016267,-0.692975722518973,-0.563379503970199,-2.93082697927661,-1.51729874846247,-1.68455033726652,-0.485767778406365,-0.642327009004967,-0.537462373609092
Met,0.194017568804867,0.570608732822344,0.71600336868874,0.831877545775993,0.892345436981813,0.874633757290556,0.681271905939489,1.0887834147191,1.57104988135077,1.82541264527253,1.16796427645945,0.690257341908763,0.165879649839693,-1.22308767236685,0.113989014733006,-0.0777385479722443,-0.199427488185838,-1.3707622578305,-0.860007409124,-0.680703673782308,-0.83625931495052,-2.17803820114746,-0.317115470111171,-2.12442363416831,-0.861846865185739,-0.145666711473789,-0.24241921384508,-0.112521167857101,-0.154076912586275
Micu2,-1.08364809461448,-0.317922133816183,-1.22609623636531,-0.727948870082419,-0.730703180846174,-1.09105154607004,1.49881599560276,1.63113829345908,0.997363243364701,2.00034353204124,-0.350946095117905,-0.568309503748451,0.631954773498792,-0.745909114375261,-1.03475637483384,-0.862163402470739,-1.44291839606476,-1.01244095426613,-0.0520863230430423,0.288831321537689,-0.0365845757539578,-0.22526876090969,-0.420291697839658,0.319650789481366,2.03386908251422,0.505287936684856,0.954958526754573,0.058576248810275,1.00825551646848
Opn3,-0.605152141885615,-2.14584184434436,-0.601865432085371,1.04099722763964,0.732210712703261,0.88219301490613,0.524713388575672,0.875270737036163,1.55715318657751,-1.91539684937321,0.707246835577856,-0.144319856649424,-0.705598392978442,0.509410765114562,0.0351087208857932,1.02788664772021,0.675449861236438,0.543514768499316,0.137663234527506,1.02170908417274,0.95558827299048,-0.638061107293966,0.579439940299552,-1.57695530526688,-1.4634185350588,-1.40967892419242,0.378716839558769,-0.70116428690061,-0.276820561992494
Polr2h,1.11879189700096,0.441653167283117,1.05605417199262,0.328138720632791,-0.314343353159085,-1.07922888826543,0.608819664821668,-0.24211579851159,0.453883303776877,-0.410722501078866,0.123318704799879,0.326788946147367,1.68098055768141,0.517967933176926,0.290036533736431,1.01094262112918,0.942617539809493,0.773693974012886,0.425219665266466,-1.83037919547651,-1.05917519537034,-2.62056652909072,-0.894350860291905,-1.42286195896085,-0.420775997154065,-1.03628267816756,1.35346129885657,-0.157343713903838,0.0357779693061953
Pon3,-0.291568497342192,-0.0834320324339259,0.245620991355133,-0.153804979200673,0.919809620780983,0.920733283843457,1.26953122734561,0.534078078413674,-0.138563428155127,0.228836094136492,0.899564696236771,0.817680008117981,0.421006408613956,1.51442530342241,1.13127207532211,0.683580634318095,-0.461653077431687,0.896639745737422,-0.709364698031102,0.304434823560378,0.374171834627031,-2.2140234302607,-1.09323373720014,-2.42327437197242,-0.831435790595817,-1.8523635105052,-0.528453367284582,0.177147630684688,-0.557361536102635
Psmc6,0.0456200329809417,-0.504854734102377,0.348215198358697,0.893281957990745,1.74997428079278,0.647392710346947,1.54131057515833,1.59807820983073,1.22039867989537,-0.0206574110313092,-0.848719810229887,0.175979269456578,-0.258305417048219,0.789514969995634,1.03467997998238,0.491254025167526,-0.628146416994572,-0.484353771154267,-0.675374364030687,1.05098533947589,-1.03363352801764,-1.93928424447806,-1.61982015250067,-1.25897220941144,-0.778716378879206,-1.52390834020075,-0.0694286442513306,0.0865641686491191,-0.0290739757512329
Pxmp2,-0.488345541784385,0.366390751755416,-0.667567015726873,0.955638503963859,0.278938007203868,0.349555227498724,0.543576677499153,0.123820930237038,1.42207359941174,0.630251426543733,0.215250748114565,0.479617973450486,-0.58270454474874,0.387546004173987,0.183183112081428,1.43976509091379,-0.169944929037385,1.41233380601313,0.207995332304723,1.23357942780923,0.290358989080276,-1.08312471528032,-0.0389344174308455,-3.21900610788973,-1.06586231781295,-1.70515790558844,-1.0010330664028,-0.456662468238776,-0.041532578113953
