genename advanced1 advanced2 advanced3 advanced4 regular1 regular2 regular3 regular4
0610009B22Rik 7.16498207659829 7.02683029889355 7.02862278770063 7.12106026964488 7.27820246719923 7.12667797357222 7.1398465815203 6.75353533367632
0610009L18Rik 3.3392784414772 3.43870653762021 3.6107031692993 3.56349391200133 3.52783805339823 3.58281011407346 3.52896471853141 3.63042947562257
0610009O20Rik 7.48893316840824 7.53501875225611 7.54631056655581 7.37331833866252 7.15684613823096 7.22045054583982 7.18413056107866 7.00230383488947
0610010F05Rik 5.02659483487828 4.88263436064718 4.96434502637802 5.0053380886526 5.23288045540592 5.40475784485123 5.20844385690053 4.92319353342718
0610010K14Rik 6.59161484356178 6.74397924868804 6.5713483454597 6.75565475273652 6.84140511018457 6.46078923185421 6.71043360251374 6.75793725378051
0610012G03Rik 8.08396657373337 7.8991730052334 7.97582880391361 7.94126829385936 7.74909695151595 8.00957848531871 7.94506476585694 7.87243850842338
0610025J13Rik 2.97306360909074 2.89372257263981 2.82043514423016 2.88253811982399 3.2503366260035 3.02936901787883 3.12796246529903 2.98352552237291
0610030E20Rik 6.82072292930393 6.72541293121456 6.88617432615695 6.65581840598566 6.82886434363168 6.71670175473346 6.7306338480746 6.98830931673925
0610037L13Rik 7.31551234899253 7.15539136757977 7.15804246324071 7.03002754047603 7.18668792436906 7.04689997002256 7.16667415477701 7.28402753903118
0610038B21Rik 2.50691511952361 2.65889572311833 2.56027489752431 2.63905690586155 2.77645629848471 2.68894644436176 2.81226447326359 2.88865431776395
0610039K10Rik 2.59173228780135 2.87365342302234 2.82463188252351 2.79674789778102 2.789479910169 2.72202886702248 2.54048868387794 2.43626160968871
0610040J01Rik 7.14747511067168 7.06486645987882 6.86052638575224 7.01913775175237 7.15320599908877 7.13651779954853 7.01117282048634 6.96823606705346
1110002E22Rik 2.74896389848833 2.44838082702424 2.28236614862028 2.9470491612646 2.80010387208415 2.60654156728765 2.63368997234978 2.59005775811271
1110002L01Rik 3.65054235770408 3.2519943698373 3.46593735301937 3.13486888713604 3.18690079342824 3.85056492659685 3.12059723038303 3.25126575125154
1110004E09Rik 7.31223286801071 7.07875183909277 7.10465773152376 6.97112568194677 7.3907835639724 7.41433614932307 7.37266427990037 7.10782392214824
1110004F10Rik 8.17118133066371 8.15649291857907 8.09244194787002 8.04174947870215 8.2421990761856 8.29559192418175 8.3384097526713 8.00157434780153
1110006O24Rik 4.06481781778369 4.34149292698749 4.19354958333261 4.39030580604097 4.08340202539361 4.29281187680682 4.55686489943109 4.0944709703385
1110008F13Rik 9.26164818311513 9.05206489429719 9.35505435943637 9.27740377831388 9.1843105699203 9.39255066677146 9.26226383533474 9.1461679854057
1110008L16Rik 7.28693591549202 7.11860649814497 7.2061892431366 6.90614745219903 7.44796147984079 7.33250617838121 7.28695398081171 7.09678052058729
1110008P14Rik 5.52560459104308 5.79134234157974 5.65191910740389 5.67817136848091 5.7308085192066 5.56526293567315 5.74867170492939 5.41916753976365
1110012L19Rik 4.92005222687589 4.79481969099244 4.80800488430798 4.65039000485635 4.5769801690534 4.84723531975091 4.94695851377192 4.4707726580982
1110017D15Rik 2.58823153394988 2.65955650913383 2.59488413157493 2.65060350509968 2.61742905512981 2.4844217427195 2.76501481239711 2.75769897569255
1110028F11Rik 3.90737543964977 3.38012177890335 3.22297458343062 2.84535824356954 3.33323448587782 3.81911520105851 3.6402798241823 4.81431081541185
1110032A03Rik 9.02554508202244 8.99584955174384 8.85882787174001 8.8315404930058 8.98997768676852 8.81398034504256 8.79749866730569 8.70318041244542
1110032F04Rik 2.19526712713169 2.19885405297694 2.20500963674353 2.20668777621191 2.45027398257132 2.25642228220559 2.25806881677398 2.17743527496417
1110034G24Rik 4.19010377314586 4.08493732062051 4.00595096577868 4.02399183930682 3.97513208035048 4.04068713070153 3.98082180963374 3.91622970401352
1110038F14Rik 5.37122522133168 5.28619731712483 5.2775241679898 5.33090950311391 5.30179749412022 5.34038537607065 5.30782195502824 5.56084792381523
1110051M20Rik 3.27849398540552 3.34897690154673 3.06389272846871 3.5317882764979 3.86638166221236 3.56157088142864 3.59293818480385 3.73284647203532
1110057P08Rik 2.52509662805819 2.69054923604451 2.61275169936948 2.45546078582439 2.58339811570117 2.5160155630331 2.6296286298246 2.22128822241556
1110059E24Rik 6.56074126729376 6.52748304781372 6.01203285350539 6.40404947999218 6.49652330702857 6.58898036812836 6.55424673585983 6.42834349511573
1110059G10Rik 6.07234703613368 5.68876201975457 5.41861092037168 5.76797151284491 6.04053619964192 5.79951237176529 5.5137965081718 5.60647755973621
1110065P20Rik 6.63318069364853 6.62776105790722 6.55427741427705 6.6826514103726 6.70285410978681 6.64054824285523 6.72965121005881 6.38314815257768
1190002N15Rik 8.55375734854258 8.40798996944968 8.04747782131302 8.13659511866149 7.82661806681167 7.71142785373022 7.41855428065034 7.36362144843782
1190005I06Rik 5.13258779015866 5.24449713654153 4.74165619018566 5.00706361175654 4.80928946403982 4.98036578639241 5.01172671381165 5.05377570237513
1190007I07Rik 6.76484514954999 6.48852220576677 6.78469930342676 6.87277116624697 7.04172002717239 7.0461167412294 7.16802726943421 6.67365441929566
1300017J02Rik 11.1123009356177 10.8897599727476 10.8223001136422 10.9133284258454 11.1719007023742 11.1770508014588 11.1305879656048 11.0217745252888
1500002C15Rik 3.90943216608127 3.67983488483145 3.56113429233714 4.19310593319778 3.83915851404301 4.17758713111868 3.8276561978202 3.69582570039198
1500002F19Rik 2.04600121845833 2.15967851281776 2.08676741440351 1.89051180226694 1.98306861947133 2.08666094482256 2.16554050035569 2.23553914381357
1500009C09Rik 3.04681590829914 2.97964599360137 3.0139198400772 3.19548684451142 3.22826972338143 2.9811536345921 3.16748406694462 2.96706002812886
1500011B03Rik 3.28825274860109 3.32217138247968 3.31832385264109 3.51327718122888 3.46780699878784 2.8743868519214 3.20398464876809 3.35455186073178
1500011K16Rik 4.85627468942496 5.11124652758105 4.80739075349853 4.91714213986043 5.1448756386173 4.93404691228413 4.90801680664862 5.09104251145285
1500015L24Rik 2.0892474057424 2.17770771122433 1.95464821370217 2.12120374285472 2.0787756522797 2.12980665091162 2.193082622366 2.2972944493761
1500015O10Rik 2.65700929333908 2.53499921590716 2.59180980670379 2.64443419705886 2.71259833849012 2.58237927415801 2.65679599752179 2.72043860828937
1500035N22Rik 2.63936851353857 2.5077220357546 2.82964988471845 2.58846501667388 3.01018648336286 2.77058287502598 2.96732325412952 2.87691315921207
1520401A03Rik 3.48169962616489 3.48062422253216 3.12349699537695 3.57179489311128 3.41471646330129 3.3072853537701 3.34079478345247 3.61841698789541
1600002K03Rik 4.84595105074979 4.64200942178626 4.56996358040636 4.64551611430134 4.7960446752365 4.7228389960204 4.88152967015149 4.82066324286467
1600012H06Rik 7.64865418470452 7.65303659198852 7.54806280947638 7.44936837935172 7.19515582903888 6.87157285643653 7.12237613715557 6.68722039680553
1600014C10Rik 7.75558432586691 7.81479874534542 7.56691527785421 7.64207850971937 7.6420313737066 7.72288369122225 7.70937328523572 7.56517033953742
1600014C23Rik 2.42349830568586 2.11213092507187 2.01763770258658 1.95878046140299 2.51787234340363 2.32891934073502 2.40029818389691 2.36210438327509
1600015I10Rik 2.66984464547128 2.74229491567595 2.58561065390186 2.84345081980641 2.69682719354444 2.44504771165494 2.81575799382955 2.75417521750774
1600029I14Rik 2.18789152142235 2.29135497967787 2.51938342044472 2.19032332481312 2.43563427283088 2.25453290366365 2.26532834056979 2.47100382286
1600029O15Rik 3.38213366141266 3.39690849215587 3.05314043614494 3.23570927734313 3.46049470743388 2.93463854609419 3.07446188870198 3.54645233762877
1700001C02Rik 2.57710688437897 2.62518585459766 2.60669846468723 2.62224012009273 2.76714261356345 2.81249453226904 2.62904917281983 2.57490703367279
1700001C19Rik 7.98004511683654 7.60551765682252 7.60716113413519 7.6384710351852 7.94132437851414 7.77700057569003 8.03856755366169 7.65697414944752
1700001G17Rik 3.58272013702176 3.63326766476059 3.52291444240172 3.61549943934439 3.65050667501787 3.69756799744095 3.63754367170437 3.67399046675342
1700001J03Rik 2.36484822083232 2.43195977430845 2.2199458938845 2.43714976042885 2.27344322765598 2.44838690645411 2.50720282536888 2.32675302532325
1700001J11Rik 2.41119465005729 2.17323732399741 2.26942135451681 2.06981426867677 2.55321623672859 2.51724393856901 2.65454522804908 2.79665186306097
1700001K19Rik 2.55764073638792 2.36077998933115 2.23978687721978 2.32629649178667 2.58263985675242 2.32151291750845 2.42185972814139 2.293441536914
1700001K23Rik 2.4783628910578 2.31552526255226 2.3031690192805 2.4225093441999 2.33927422402806 2.37746621063431 2.63378526601368 2.39463187701024
1700001L05Rik 5.21855148111977 4.38437246683571 4.93082512531589 5.07481056222299 5.18409270053636 5.12860732690311 4.80090078637109 5.24021142089969
1700001L19Rik 2.35317991960507 2.47636089707622 2.21604351308172 2.38581608334711 2.46688052387828 2.38680053318828 2.465070635422 2.44987999291832
1700001O22Rik 2.16148264480003 2.4094554803596 2.19584220902592 2.26887008206785 2.45249983626452 2.13013111275604 2.67277028867412 2.29884418170712
1700001P01Rik 2.11837012976066 2.02147374441383 2.18008982187909 1.86359403284614 2.10269472180378 2.1013799716745 1.97361384059196 2.22382096960041
1700003E16Rik 2.50980113269507 2.58313969172743 2.3211402479689 2.24547645041618 2.35106340583607 2.3419811141579 2.26238811587481 2.16262676187082
1700003F12Rik 3.04495435118501 2.8646255432553 3.05756966529799 3.11652730044649 3.26365899231895 3.19080969819893 3.0473701943464 3.21982815090038
1700003H04Rik 2.17316884617678 2.07859960384136 2.05855044770588 1.99195202441508 2.12269925526913 2.17122160973263 2.12855529422143 2.06118317609769
1700006A11Rik 2.11263602088375 2.01993001572201 2.03203972221699 1.98613713892881 2.13745405126132 2.19443265388467 2.15258878372688 1.95929273260685
