diff_w4_up,diff_w4_down,diff_w8_up,diff_w8_down,diff_w16_up,diff_w16_down,diff_w32_up,diff_w32_down,diff_w48_up,diff_w48_down
Fgfr3,Nup98,Cubn,Fzd5,Agpat9,Akr1c2,Aldh1a3,Akr1e2,Farp2,Gadd45g
G0s2,Pla2g2d,Cxcl9,Gadd45g,Agtpbp1,Akr7a2,Aldh1a7,Akr7a2,Fas,Got1
Gcat,Plcxd2,Cyp1a1,Gas5,Ahnak,Alad,Aldh3b1,Akr7a3,Fasn,Gpr146
Gchfr,Plekhb1,Cyp26b1,Gch1,Aida,Alas1,Aldoa,Alb,G6pd,Gyltl1b
Gck,Pnpla7,Cyp2b2,Gfra1,Aifm2,Aldh3a2,Aloxe3,Aldh2,Gale,Hacl1
Gda,Ppargc1a,Cyp2c22,Gne,Ajuba,Aldh9a1,Alyref,Aldh4a1,Gan,Hao1
Gfod2,Prelid2,Cyp2c6v1,Got1,Akap12,Alkbh7,Ampd3,Aldh7a1,Gapdh,Hao2
Ghr,Prps1,Dact2,Gpr146,Akap2,Als2cr12,Amy2a3,Aldh9a1,Gatsl2,Hdac2
Gja5,Ptpn9,Dapp1,Hacl1,Akr1b8,Amacr,Angpt1,Alkbh7,Gna12,Hsd17b2
Gnat3,Qrsl1,Dbi,Hao2,Akt3,Amdhd1,Ankef1,Als2,Gpam,Ifit1
Gnmt,Qsox1,Derl3,Hsd17b2,Aldh18a1,Amigo1,Ankrd39,Amacr,Gpx2,Inmt
Gpam,Rab30,Dhdds,Igf1,Aldh1a1,Ammecr1l,Anks6,Amdhd1,Grk5,Ivns1abp
Gpd1,Rarres1,Dpt,Igfals,Aldh1a7,Anapc11,Ano7,Amigo1,Gsta3,Kazn
Gpr137b,RGD1309362,Efna1,Kcnh1,Aldoa,Ang,Anp32b,Ammecr1l,H2afy2,Kcnh1
Gpt,RGD1562284,Ehhadh,Kdm6b,Aloxe3,Ankrd46,Antxr1,Ampd2,Hcn3,Klf9
Gstm2,Rhpn2,Elovl6,Klf9,Alpl,Ankrd55,Anxa1,Amy1a,Hebp2,Ldhb
Gypc,Rpl23,Entpd5,Klkb1,Amer1,Anks4b,Anxa2,Ang,Heph,Lgr4
Herc3,Sat2,Ephx1,Lect2,Amotl2,Anxa3,Anxa5,Angptl3,Hfe2,Lgsn
Hist1h2bh,Slc1a3,Ethe1,Lgr4,Ampd3,Aox3,Anxa7,Ankrd55,Hip1r,Lhx6
Hist1h4b,Slc25a15,Evc2,Lhx6,Amz1,Apba2,Anxa8,Anxa3,Hjurp,Lmod2
Homer2,Slc30a3,Fam49a,Lin7a,Angpt1,Apcs,Aoc1,Aox1,Hp,LOC100360095
Hrk,Socs2,Fasn,LOC259244,Angptl4,Aph1b,Aoc3,Aox3,Hps3,LOC102552805
Hsd17b6,Sult1c3,Fgf21,LOC299282,Ankef1,Aplp1,Apaf1,Apcs,Hspa4l,LOC257642
Hsf4,Tlr2,G0s2,LOC680200,Ankrd33b,Apoa5,Apba2,Apoa5,Ikbke,LOC259244
Il36b,Tmem144,Gale,Lox,Ankrd37,Apoc1,Apbb1,Apoc1,Il17rb,LOC298111
Il4r,Tnfrsf9,Galr3,Loxl4,Ankrd39,Apoc2,Aplnr,Apoh,Insig1,LOC299282
Inhbe,Tpst1,Gapdh,Lpar2,Ankrd6,Apoc3,App,Apold1,Irf1,Lyc2
Itga5,Uap1l1,Gbe1,Lppr1,Anks6,Apoc4,Appl2,Apom,Irs3,Map1b
Iyd,Wsb1,Gck,Ltc4s,Ano7,Apof,Aqp4,Apon,Itga5,Mboat1
Josd2,Xirp2,Gda,Lurap1,Antxr1,Apoh,Aqp5,Aqp9,Itih4,Mcm10
Jph4,Xrcc2,Gdf15,Med4,Anxa1,Apon,Aqp7,Arg1,Itpk1,Mmd2
Kank1,Zfp202,Gdnf,Mir290,Anxa2,Aqp9,Arf2,Arl5b,Jph4,Mphosph9
Kank2,Zfp593,Gja5,Mir291a,Anxa4,Arhgap8,Arhgap11a,Art2b,Kank2,Mup4
Kcnn2,Zfp955a,Gnat3,Mir292,Anxa5,Arntl2,Arhgap22,Asb16,Kcnn2,Mup5
Kdsr,NA,Gng10,Mir3589,Anxa7,Asb2,Arhgap28,Asl,Lbp,Nat8
Khk,NA,Gpam,Mmd2,Anxa8,Ascl1,Arhgdia,Aspa,Lcn2,Ncam2
Kifc3,NA,Gpr137b,Mup4,Aoah,Asgr1,Arhgef25,Aspg,Lnx2,Neurl2
Lag3,NA,Gpx1,Mup5,Aoc1,Asgr2,Arhgef28,Ass1,LOC100361444,Nfyb
Lamb3,NA,Gsta1,Nat8,Apaf1,Asl,Arhgef9,Atg9a,LOC680254,Nme3
Leap2,NA,Gsta3,Nhlrc1,Apbb1,Aspdh,Arid3a,Atp13a5,LOC691083,Noct
Limk2,NA,Gstk1,Nme6,Apbb1ip,Aspg,Arid5a,Atp2c1,Lrp5,Nr1i2
Lingo4,NA,Gstm1,Nox4,Apln,Ass1,Arl10,Atp5e,Map7d1,Nr1i3
LOC100361444,NA,Gstt1,Nsmf,Aplnr,Astn2,Arl4c,Atrn,Mapk4,Nrep
LOC367975,NA,H2afy2,Nup98,App,Atg9a,Arl5c,Auh,Mapk9,Nxt2
LOC502176,NA,Hcn3,Nxt2,Appl2,Atp2c1,Armc6,Avpr1a,Mbp,Omd
LOC688335,NA,Herc3,Oaf,Aqp4,Atp6ap1l,Arrb1,Azgp1,Med12l,Paqr7
