diff_w4_up,diff_w4_down,diff_w8_up,diff_w8_down,diff_w16_up,diff_w16_down,diff_w32_up,diff_w32_down,diff_w48_up,diff_w48_down
NA,NA,NA,NA,Cebpd,Dhtkd1,Cnn1,Ebp,NA,NA
NA,NA,NA,NA,Cenpi,Dio1,Cnp,Echdc3,NA,NA
NA,NA,NA,NA,Cenpn,Dmtn,Cntnap1,Echs1,NA,NA
NA,NA,NA,NA,Cep55,Dnaja1,Col15a1,Eci3,NA,NA
NA,NA,NA,NA,Cep76,Dnajc18,Col16a1,Ecm1,NA,NA
NA,NA,NA,NA,Cerk,Dnajc28,Col4a1,Edem1,NA,NA
NA,NA,NA,NA,Ces2c,Dpm1,Col5a1,Ednra,NA,NA
NA,NA,NA,NA,Ces4a,Dpy19l3,Col5a2,Efna5,NA,NA
NA,NA,NA,NA,Cfap52,Dpyd,Col5a3,Egfr,NA,NA
NA,NA,NA,NA,Cfl1,Dpys,Col8a1,Ehd3,NA,NA
NA,NA,NA,NA,Cftr,Dusp14,Colec12,Eif2s3y,NA,NA
NA,NA,NA,NA,Cgref1,Dynlt3,Coprs,Eif4ebp3,NA,NA
NA,NA,NA,NA,Ch25h,Ebp,Coro1a,Elmod3,NA,NA
NA,NA,NA,NA,Chac1,Eci3,Coro1c,Emid1,NA,NA
NA,NA,NA,NA,Chchd4,Edar,Coro2a,Emr4,NA,NA
NA,NA,NA,NA,Chi3l1,Ednra,Coro6,Endog,NA,NA
NA,NA,NA,NA,Chka,Eef2k,Cotl1,Enpep,NA,NA
NA,NA,NA,NA,Chrna2,Efcab3,Cpa1,Enpp1,NA,NA
NA,NA,NA,NA,Chrnb1,Efna5,Cpa2,Enpp2,NA,NA
NA,NA,NA,NA,Chst1,Egf,Cpa6,Enpp3,NA,NA
NA,NA,NA,NA,Chst12,Egfr,Cpb1,Epha3,NA,NA
NA,NA,NA,NA,Chst14,Eif4ebp2,Cpe,Eqtn,NA,NA
NA,NA,NA,NA,Cidea,Elovl2,Cpne2,Eri2,NA,NA
NA,NA,NA,NA,Cidec,Emcn,Cpne7,Erlin1,NA,NA
NA,NA,NA,NA,Ckap2,Eml5,Cr2,Errfi1,NA,NA
NA,NA,NA,NA,Ckap4,Enpep,Creb3l4,Esd,NA,NA
NA,NA,NA,NA,Clca4l,Enpp1,Creb5,Esrrg,NA,NA
NA,NA,NA,NA,Clcf1,Enpp2,Crip1,Exosc5,NA,NA
NA,NA,NA,NA,Clcn6,Epb41l1,Crispld2,F11,NA,NA
NA,NA,NA,NA,Cldn4,Epb41l4b,Crlf1,F13b,NA,NA
NA,NA,NA,NA,Cldn6,Epm2aip1,Crocc,F2,NA,NA
NA,NA,NA,NA,Clec11a,Erbb3,Cryab,F9,NA,NA
NA,NA,NA,NA,Clec2l,Erlin1,Csf1,Faah,NA,NA
NA,NA,NA,NA,Clec4e,Esd,Csf3r,Fabp7,NA,NA
NA,NA,NA,NA,Clec5a,Etnk2,Csnk1e,Fah,NA,NA
NA,NA,NA,NA,Clec7a,Extl1,Cspg4,Fam126b,NA,NA
NA,NA,NA,NA,Clic1,F10,Csrnp2,Fam213a,NA,NA
NA,NA,NA,NA,Clip1,F11,Cst3,Fam217a,NA,NA
NA,NA,NA,NA,Clip2,Faah,Ctps1,Fam46a,NA,NA
NA,NA,NA,NA,Clpx,Fabp1,Ctrc,Fam55b,NA,NA
NA,NA,NA,NA,Clspn,Fabp7,Ctrl,Fam98c,NA,NA
NA,NA,NA,NA,Clstn3,Fads6,Cttnbp2,Fastkd3,NA,NA
NA,NA,NA,NA,Clu,Fah,Cubn,Fbxo31,NA,NA
NA,NA,NA,NA,Cmpk2,Fahd1,Cuzd1,Fcna,NA,NA
NA,NA,NA,NA,Cnksr1,Fam117b,Cx3cl1,Fdft1,NA,NA
NA,NA,NA,NA,Cnksr3,Fam126b,Cx3cr1,Fetub,NA,NA
NA,NA,NA,NA,Cnp,Fam162a,Cxcl1,Fgd2,NA,NA
NA,NA,NA,NA,Cntnap1,Fam20c,Cxcl10,Fh,NA,NA
NA,NA,NA,NA,Col11a1,Fam55b,Cxcl16,Fkbp8,NA,NA
NA,NA,NA,NA,Col15a1,Fbp1,Cxcl6,Fmo3,NA,NA
NA,NA,NA,NA,Col16a1,Fbxo21,Cxcl9,Fmo4,NA,NA
NA,NA,NA,NA,Col1a1,Fcer2,Cxcr2,Fmo5,NA,NA
NA,NA,NA,NA,Col1a2,Fcmr,Cyfip2,Foxa1,NA,NA
NA,NA,NA,NA,Col3a1,Fcna,Cygb,Foxo1,NA,NA
NA,NA,NA,NA,Col4a1,Fech,Cyp17a1,Foxo3,NA,NA
NA,NA,NA,NA,Col5a1,Fetub,Cyp26a1,Fras1,NA,NA
NA,NA,NA,NA,Col5a2,Fh,Cyp2c12,Ftcd,NA,NA
NA,NA,NA,NA,Col5a3,Flcn,Cyp2c24,Fzd1,NA,NA
NA,NA,NA,NA,Col6a2,Flrt1,Cyp2j10,G6pc,NA,NA
NA,NA,NA,NA,Col8a1,Flt3,Cyp3a62,Gadd45g,NA,NA
NA,NA,NA,NA,Colec12,Fmo1,Cys1,Ganc,NA,NA
NA,NA,NA,NA,Coro1a,Fmo3,Cyyr1,Gc,NA,NA
NA,NA,NA,NA,Coro1c,Fn1,Dact3,Gcat,NA,NA
NA,NA,NA,NA,Coro2a,Fn3k,Dag1,Gcdh,NA,NA
NA,NA,NA,NA,Coro6,Fnip2,Dbn1,Gch1,NA,NA
NA,NA,NA,NA,Cotl1,Folh1,Dcakd,Gchfr,NA,NA
NA,NA,NA,NA,Cpa6,Fpgs,Dcbld2,Gcnt2,NA,NA
NA,NA,NA,NA,Cpne2,Fyb,Dcdc2,Gcsh,NA,NA
NA,NA,NA,NA,Cpt1b,Fzd5,Dclk1,Gdpd1,NA,NA
NA,NA,NA,NA,Cpxm1,Fzd8,Dclk3,Gemin6,NA,NA
NA,NA,NA,NA,Cpxm2,G6pc,Dcn,Gfra1,NA,NA
NA,NA,NA,NA,Cpz,Gaa,Ddah2,Ghdc,NA,NA
NA,NA,NA,NA,Creb3,Gab1,Ddit3,Gimd1,NA,NA
NA,NA,NA,NA,Creb5,Galm,Ddit4l2,Gjb1,NA,NA
NA,NA,NA,NA,Crlf1,Galnt11,Degs2,Gls2,NA,NA
NA,NA,NA,NA,Crot,Galnt9,Dennd2c,Gltpd2,NA,NA
NA,NA,NA,NA,Crtap,Gcat,Depdc5,Glyat,NA,NA
NA,NA,NA,NA,Cryab,Gcdh,Des,Glyatl1,NA,NA
NA,NA,NA,NA,Csf1,Gch1,Dhdds,Glyatl2,NA,NA
NA,NA,NA,NA,Csf2rb,Gclm,Dkk3,Gnmt,NA,NA
NA,NA,NA,NA,Csmd1,Gcsh,Dkk4,Got1,NA,NA
NA,NA,NA,NA,Csn3,Gde1,Dmbt1,Gpld1,NA,NA
NA,NA,NA,NA,Csnk1e,Gjb1,Dmrta1,Gpr146,NA,NA
NA,NA,NA,NA,Cstf2,Gls2,Dnajb7,Gpr19,NA,NA
NA,NA,NA,NA,Ctf1,Gltpd2,Dnajc27,Gpr31,NA,NA
NA,NA,NA,NA,Ctgf,Glyat,Dnm1,Gpr68,NA,NA
NA,NA,NA,NA,Cthrc1,Glyatl1,Dock6,Gpt,NA,NA
NA,NA,NA,NA,Ctps1,Glyatl2,Dok2,Grhpr,NA,NA
NA,NA,NA,NA,Ctsk,Glyctk,Dpep1,Gria2,NA,NA
NA,NA,NA,NA,Cttn,Gne,Dph1,Gstm1,NA,NA
NA,NA,NA,NA,Cttnbp2nl,Gnpnat1,Dph6,Gstm2,NA,NA
NA,NA,NA,NA,Cubn,Got1,Dpysl2,Gstm7,NA,NA
NA,NA,NA,NA,Cx3cl1,Gpc4,Dscc1,Gstt2,NA,NA
NA,NA,NA,NA,Cx3cr1,Gpld1,Dtx3,Gstz1,NA,NA
NA,NA,NA,NA,Cxadr,Gpm6a,Duox2,Gucd1,NA,NA
NA,NA,NA,NA,Cxcl1,Gpr146,Dupd1,Gzma,NA,NA
NA,NA,NA,NA,Cxcl10,Gpr155,Dusp18,H6pd,NA,NA
NA,NA,NA,NA,Cxcl14,Gpr31,Dusp2,Habp2,NA,NA
NA,NA,NA,NA,Cxcl16,Gpr81,Dync2li1,Hacl1,NA,NA
NA,NA,NA,NA,Cxcl2,Gprc5c,Dynlt1,Hagh,NA,NA
NA,NA,NA,NA,Cxcl6,Gpt,Dzip1l,Hal,NA,NA
NA,NA,NA,NA,Cxcr2,Gramd1c,Ear11,Hao1,NA,NA
NA,NA,NA,NA,Cxcr4,Grb7,Ebf1,Hao2,NA,NA
NA,NA,NA,NA,Cyfip2,Grhpr,Ece2,Hba2,NA,NA
NA,NA,NA,NA,Cygb,Gsta2,Eci1,Hells,NA,NA
NA,NA,NA,NA,Cyp17a1,Gstm6,Edn1,Hes6,NA,NA
NA,NA,NA,NA,Cyp1b1,Gstt3,Ednrb,Hfe,NA,NA
NA,NA,NA,NA,Cyp26a1,Gstz1,Efcc1,Hhip,NA,NA
NA,NA,NA,NA,Cyp26b1,Gucy1b2,Efemp2,Hibadh,NA,NA
NA,NA,NA,NA,Cyp2b1,Gys2,Efhc2,Hist1h1d,NA,NA
NA,NA,NA,NA,Cyp2b2,Gzma,Efhd1,Hoga1,NA,NA
NA,NA,NA,NA,Cyp2c22,Habp2,Efna4,Hook1,NA,NA
NA,NA,NA,NA,Cyp2c24,Hacl1,Egln3,Hpd,NA,NA
NA,NA,NA,NA,Cyp2j10,Hagh,Egr2,Hpgds,NA,NA
NA,NA,NA,NA,Cyp2s1,Hal,Egr3,Hpn,NA,NA
NA,NA,NA,NA,Cyp4f17,Hao1,Ehd2,Hrc,NA,NA
NA,NA,NA,NA,Cyp4f5,Hao2,Ehd4,Hrg,NA,NA
NA,NA,NA,NA,Cyr61,Hdhd3,Ehf,Hrsp12,NA,NA
NA,NA,NA,NA,Dact2,Hells,Eif1ax,Hs3st3a1,NA,NA
NA,NA,NA,NA,Dag1,Hes6,Eif2s3x,Hs3st3b1,NA,NA
NA,NA,NA,NA,Dagla,Hexdc,Elf3,Hs3st6,NA,NA
NA,NA,NA,NA,Dapk1,Hgd,Eln,Hsd17b10,NA,NA
NA,NA,NA,NA,Dbn1,Hhip,Elovl6,Hsd17b11,NA,NA
NA,NA,NA,NA,Dcakd,Hint2,Elovl7,Hsd17b12,NA,NA
NA,NA,NA,NA,Dcbld2,Hist1h1d,Emp1,Hsd17b13,NA,NA
NA,NA,NA,NA,Dclk1,Hist2h2ab,Emp2,Hsd3b5,NA,NA
NA,NA,NA,NA,Dcn,Hmox2,Emp3,Hsd3b6,NA,NA
NA,NA,NA,NA,Dcun1d3,Hpd,Enpp4,Hspb11,NA,NA
NA,NA,NA,NA,Ddhd1,Hpgds,Enpp5,Hyal2,NA,NA
NA,NA,NA,NA,Ddit3,Hpn,Epcam,Ifi27,NA,NA
NA,NA,NA,NA,Ddit4,Hps4,Epha4,Igf1,NA,NA
NA,NA,NA,NA,Ddit4l2,Hrc,Ephb2,Igfals,NA,NA
NA,NA,NA,NA,Ddr2,Hrsp12,Ephb3,Igfbp1,NA,NA
NA,NA,NA,NA,Ddx21,Hs3st3b1,Epn3,Il10,NA,NA
NA,NA,NA,NA,Dennd2c,Hs3st6,Eps8l1,Il1a,NA,NA
NA,NA,NA,NA,Dennd2d,Hsd17b10,Erbb2,Il1b,NA,NA
NA,NA,NA,NA,Depdc1b,Hsd17b11,Erp27,Il1rap,NA,NA
NA,NA,NA,NA,Des,Hsd17b14,Espl1,Il6r,NA,NA
NA,NA,NA,NA,Dhdds,Hsd17b2,Esrp1,Il6st,NA,NA
NA,NA,NA,NA,Dhx33,Hspb6,Ets2,Ing1,NA,NA
NA,NA,NA,NA,Diaph3,Htra1,Evc2,Inmt,NA,NA
NA,NA,NA,NA,Dio3,Hyal1,Evpl,Insig1,NA,NA
NA,NA,NA,NA,Disp1,Hykk,Ezr,Ip6k2,NA,NA
NA,NA,NA,NA,Dixdc1,Icam5,F2r,Irf2bpl,NA,NA
NA,NA,NA,NA,Dkk3,Id4,F2rl1,Irs1,NA,NA
NA,NA,NA,NA,Dlgap5,Idh1,F3,Irs2,NA,NA
NA,NA,NA,NA,Dmbt1,Iffo1,Fabp2,Irx5,NA,NA
NA,NA,NA,NA,Dmrtc2,Igf1,Fabp4,Itch,NA,NA
NA,NA,NA,NA,Dnajc5b,Igfals,Fads3,Itgb1bp2,NA,NA
NA,NA,NA,NA,Dnmt3b,Igfbp2,Fam101b,Itih1,NA,NA
NA,NA,NA,NA,Dos,Igfbp4,Fam107a,Itpr2,NA,NA
NA,NA,NA,NA,Dph1,Igsf5,Fam109b,Ivd,NA,NA
NA,NA,NA,NA,Dph5,Ihh,Fam118a,Ivns1abp,NA,NA
NA,NA,NA,NA,Dpp7,Il12b,Fam129a,Iyd,NA,NA
NA,NA,NA,NA,Dpysl2,Il1rap,Fam129b,Jakmip2,NA,NA
NA,NA,NA,NA,Dpysl3,Il31ra,Fam129c,Jph3,NA,NA
NA,NA,NA,NA,Dram1,Il33,Fam131b,Kcna2,NA,NA
NA,NA,NA,NA,Dtx4,Il6r,Fam198b,Kcnh1,NA,NA
NA,NA,NA,NA,Dupd1,Inmt,Fam26f,Kcnj16,NA,NA
NA,NA,NA,NA,Dus4l,Inpp5b,Fam3c,Kcnk3,NA,NA
NA,NA,NA,NA,Dusp1,Iqub,Fam83f,Khk,NA,NA
NA,NA,NA,NA,Dusp10,Irs1,Fam84a,Klf15,NA,NA
NA,NA,NA,NA,Dusp16,Irx1,Fam89a,Klf9,NA,NA
NA,NA,NA,NA,Dusp2,Itga7,Fas,Klhl7,NA,NA
NA,NA,NA,NA,Dusp22,Itpr2,Fat1,Klkb1,NA,NA
NA,NA,NA,NA,Dusp3,Ivd,Fblim1,Klri1,NA,NA
NA,NA,NA,NA,Dusp7,Jade1,Fbln1,Kmo,NA,NA
NA,NA,NA,NA,Dusp8,Kcna2,Fbln5,Lace1,NA,NA
NA,NA,NA,NA,Dynlt1,Kcnd3,Fbn1,Ldhd,NA,NA
NA,NA,NA,NA,Dzip1l,Kcnh1,Fbxo6,Lgr4,NA,NA
NA,NA,NA,NA,Ear11,Kcnj5,Fbxw17,Lgsn,NA,NA
NA,NA,NA,NA,Ebi3,Kcnk2,Fcgbp,Lhx6,NA,NA
NA,NA,NA,NA,Ect2,Kcnk3,Fchsd1,Lilra5,NA,NA
NA,NA,NA,NA,Edn1,Kctd6,Fcmr,Lin7a,NA,NA
NA,NA,NA,NA,Ednrb,Kdr,Fcnb,Lipc,NA,NA
NA,NA,NA,NA,Efcab1,Klf12,Fermt1,LOC100125368,NA,NA
NA,NA,NA,NA,Efemp2,Klf15,Fgd6,LOC100360095,NA,NA
NA,NA,NA,NA,Efs,Klf9,Fgf21,LOC100362690,NA,NA
NA,NA,NA,NA,Egln3,Klhl24,Fgf23,LOC100365773,NA,NA
NA,NA,NA,NA,Egr1,Klkb1,Fgfr2,LOC102723236,NA,NA
NA,NA,NA,NA,Egr2,Klrd1,Fhdc1,LOC259244,NA,NA
NA,NA,NA,NA,Ehd2,Klrg1,Fhl1,LOC287167,NA,NA
NA,NA,NA,NA,Ehd4,Klri1,Fhl2,LOC298111,NA,NA
NA,NA,NA,NA,Eif2b2,Kmo,Fhl3,LOC299282,NA,NA
NA,NA,NA,NA,Eif2b3,Lace1,Figf,LOC497899,NA,NA
NA,NA,NA,NA,Eif4ebp1,Lactb2,Filip1,LOC499602,NA,NA
NA,NA,NA,NA,Elavl2,Lair1,Fjx1,LOC500124,NA,NA
NA,NA,NA,NA,Elf3,Lamc3,Fkbp10,LOC500300,NA,NA
NA,NA,NA,NA,Eln,Lamp2,Fkbp11,LOC680200,NA,NA
NA,NA,NA,NA,Elovl6,Lax1,Flna,LOC685157,NA,NA
NA,NA,NA,NA,Emb,Lcat,Flnb,LOC685406,NA,NA
NA,NA,NA,NA,Emp1,Lcn12,Flnc,LOC689064,NA,NA
NA,NA,NA,NA,Emp3,Ldb1,Fmnl1,LOC691153,NA,NA
NA,NA,NA,NA,Enc1,Ldhd,Fndc8,Lpar2,NA,NA
NA,NA,NA,NA,Eno2,Ldlr,Fntb,Lpin1,NA,NA
NA,NA,NA,NA,Enpp4,Lect2,Fosl1,Lppr1,NA,NA
NA,NA,NA,NA,Enpp5,Lepr,Frem2,Lrat,NA,NA
NA,NA,NA,NA,Entpd6,Lgals8,Frmd4a,Lrg1,NA,NA
NA,NA,NA,NA,Eogt,Lgr4,Frmd6,Lrp3,NA,NA
NA,NA,NA,NA,Epb41l4a,Lgsn,Frmd8,Lrp6,NA,NA
NA,NA,NA,NA,Ephb2,Lhx6,Fry,Lrrc40,NA,NA
NA,NA,NA,NA,Ephx2,Lilra5,Frzb,Lrrc58,NA,NA
NA,NA,NA,NA,Epn3,Lin7a,Fscn1,Lrrc8c,NA,NA
NA,NA,NA,NA,Eps8l1,Lipa,Fsip1,Lyve1,NA,NA
NA,NA,NA,NA,Eqtn,Lipc,Fst,Mafb,NA,NA
NA,NA,NA,NA,Erbb2,LOC100158225,Fstl1,Malsu1,NA,NA
NA,NA,NA,NA,Esam,LOC100360095,Fus,Maob,NA,NA
NA,NA,NA,NA,Esm1,LOC100362690,Fut1,Map10,NA,NA
NA,NA,NA,NA,Espl1,LOC100365773,Fut4,Mapk10,NA,NA
NA,NA,NA,NA,Esyt1,LOC102552805,Fut7,Mapk8ip1,NA,NA
NA,NA,NA,NA,Ets2,LOC252890,Fut8,Marc1,NA,NA
NA,NA,NA,NA,Etv4,LOC259244,Fv1,Marc2,NA,NA
NA,NA,NA,NA,Etv6,LOC298111,Fxyd3,March6,NA,NA
NA,NA,NA,NA,Evc2,LOC299282,Fxyd5,Marco,NA,NA
NA,NA,NA,NA,Exnef,LOC497899,Fzd2,Marveld3,NA,NA
NA,NA,NA,NA,Ext1,LOC499602,Fzd6,Mat1a,NA,NA
NA,NA,NA,NA,Extl2,LOC680200,Gabrp,Mcart1,NA,NA
NA,NA,NA,NA,Eya2,LOC683897,Galnt6,Mccc1,NA,NA
NA,NA,NA,NA,Ezr,LOC689574,Galnt7,Mccc2,NA,NA
NA,NA,NA,NA,F2r,Lpar2,Gan,Mcee,NA,NA
NA,NA,NA,NA,Faap20,Lpar6,Gas5,Med31,NA,NA
NA,NA,NA,NA,Fabp2,Lppr1,Gas6,Megf9,NA,NA
NA,NA,NA,NA,Fabp4,Lrp3,Gas7,Meiob,NA,NA
NA,NA,NA,NA,Fabp5,Lrp4,Gas8,Mettl20,NA,NA
NA,NA,NA,NA,Fads3,Lrp6,Gbp5,Mettl23,NA,NA
NA,NA,NA,NA,Fam102b,Lrrc28,Gcnt3,Mettl7a,NA,NA
NA,NA,NA,NA,Fam105a,Lrrc56,Gem,Mettl7b,NA,NA
NA,NA,NA,NA,Fam110a,Lrrc8b,Gfpt2,Mfsd6,NA,NA
NA,NA,NA,NA,Fam118a,Lrrn3,Ggh,Mfsd8,NA,NA
NA,NA,NA,NA,Fam129a,Ltn1,Ggn,Mgst2,NA,NA
NA,NA,NA,NA,Fam129b,Lzts3,Gimap4,Mir290,NA,NA
NA,NA,NA,NA,Fam131b,Man1a1,Gimap9,Mir291a,NA,NA
NA,NA,NA,NA,Fam134b,Maob,Gipc2,Mir291b,NA,NA
NA,NA,NA,NA,Fam198b,Map10,Gja1,Mir292,NA,NA
NA,NA,NA,NA,Fam19a4,Mapk10,Gjb2,Mir293,NA,NA
NA,NA,NA,NA,Fam220a,Marc1,Gjc2,Mir294,NA,NA
NA,NA,NA,NA,Fam25a,Marc2,Glb1l2,Mir3556b,NA,NA
NA,NA,NA,NA,Fam3c,March6,Glis2,Mir568,NA,NA
NA,NA,NA,NA,Fam49a,Mat1a,Gnai1,Mkrn1,NA,NA
NA,NA,NA,NA,Fam83h,Mcc,Gorab,Mllt3,NA,NA
NA,NA,NA,NA,Fam89a,Med4,Gpam,Mmd2,NA,NA
NA,NA,NA,NA,Fanca,Meiob,Gpat2,Mmp16,NA,NA
NA,NA,NA,NA,Fas,Meox2,Gpbar1,Mpnd,NA,NA
NA,NA,NA,NA,Fasn,Met,Gpc3,Mpped1,NA,NA
NA,NA,NA,NA,Fat1,Mfsd8,Gpd2,Mpst,NA,NA
NA,NA,NA,NA,Fblim1,MGC93861,Gpnmb,Mrc1,NA,NA
NA,NA,NA,NA,Fbln1,Micu2,Gpr137b,Mrpl14,NA,NA
NA,NA,NA,NA,Fbn1,Mir27b,Gpr183,Mrps21,NA,NA
NA,NA,NA,NA,Fbn2,Mir290,Gpr37,Ms4a6bl,NA,NA
NA,NA,NA,NA,Fbxl8,Mir291a,Gpr39,Msrb1,NA,NA
NA,NA,NA,NA,Fbxo32,Mir291b,Gprc5a,Mst1,NA,NA
NA,NA,NA,NA,Fbxo6,Mir292,Gprc5b,Mthfd1,NA,NA
NA,NA,NA,NA,Fbxw17,Mir293,Gpx2,Mtss1,NA,NA
NA,NA,NA,NA,Fcgr2a,Mir294,Grhl2,Mug1,NA,NA
NA,NA,NA,NA,Fchsd1,Mir3074,Gria3,Mug2,NA,NA
NA,NA,NA,NA,Fcnb,Mir3589,Grik5,Mup4,NA,NA
NA,NA,NA,NA,Fgd6,Mir802,Grk5,Mup5,NA,NA
NA,NA,NA,NA,Fgf1,Mllt3,Gsn,Mvk,NA,NA
NA,NA,NA,NA,Fgf21,Mlxipl,Gsta3,N4bp2l1,NA,NA
NA,NA,NA,NA,Fgf23,Mmaa,Gtf2f1,Naa60,NA,NA
NA,NA,NA,NA,Fgr,Mmd2,Gtse1,Nadk2,NA,NA
NA,NA,NA,NA,Fhdc1,Mme,Gucy2c,Naga,NA,NA
NA,NA,NA,NA,Fhl2,Mospd3,H19,Ncam2,NA,NA
NA,NA,NA,NA,Fhl3,Mpc1,H2afy2,Ncoa4,NA,NA
NA,NA,NA,NA,Fibin,Mpc2,Hadhb,Ndrg2,NA,NA
NA,NA,NA,NA,Figf,Mpdz,Hap1,Ndrg3,NA,NA
NA,NA,NA,NA,Fjx1,Mphosph8,Has2,Ndufa1,NA,NA
NA,NA,NA,NA,Fkbp10,Mrpl14,Hdc,Ndufa2,NA,NA
NA,NA,NA,NA,Fkbp5,Mrpl18,Hdgfrp3,Ndufa4,NA,NA
NA,NA,NA,NA,Fkbp7,Msrb1,Hebp2,Ndufa6,NA,NA
NA,NA,NA,NA,Flna,Mtfp1,Heph,Ndufb11,NA,NA
NA,NA,NA,NA,Flnb,Mug1,Heyl,Negr1,NA,NA
NA,NA,NA,NA,Flnc,Mup4,Hid1,Neu2,NA,NA
NA,NA,NA,NA,Flrt2,Mup5,Hivep2,Neurl2,NA,NA
NA,NA,NA,NA,Flvcr2,Myeov2,Hivep3,Nfil3,NA,NA
NA,NA,NA,NA,Fmnl1,Myh11,Hk1,Ngef,NA,NA
NA,NA,NA,NA,Fndc1,Mylk3,Hmcn1,Ninj2,NA,NA
NA,NA,NA,NA,Fopnl,Mzf1,Hpgd,Nipsnap1,NA,NA
NA,NA,NA,NA,Fosb,N4bp2l1,Hps3,Nit2,NA,NA
NA,NA,NA,NA,Fosl1,Naa60,Hr,Nlrp12,NA,NA
NA,NA,NA,NA,Fosl2,Nadk2,Hs3st1,Nme3,NA,NA
NA,NA,NA,NA,Foxm1,Naga,Hs6st2,Nmral1,NA,NA
NA,NA,NA,NA,Foxq1,Nags,Hspa12b,Nnmt,NA,NA
NA,NA,NA,NA,Foxs1,Naprt1,Hspa1a,Noct,NA,NA
NA,NA,NA,NA,Frmd4a,Narf,Htra3,Notum,NA,NA
NA,NA,NA,NA,Frmd6,Nat6,Ica1,Nox4,NA,NA
NA,NA,NA,NA,Frzb,Nat8,Icam1,Nprl2,NA,NA
NA,NA,NA,NA,Fscn1,Nav3,Ier5,Nqo2,NA,NA
NA,NA,NA,NA,Fsip1,Nbr1,Ier5l,Nr1i2,NA,NA
NA,NA,NA,NA,Fst,Ncam2,Ifngr2,Nr5a2,NA,NA
NA,NA,NA,NA,Fstl1,Ncoa2,Ifnlr1,Nrbf2,NA,NA
NA,NA,NA,NA,Fut7,Ndrg2,Igf1r,Nrep,NA,NA
NA,NA,NA,NA,Fxyd5,Ndst1,Igf2,Nrtn,NA,NA
NA,NA,NA,NA,Fxyd6,Ndufa10l1,Igf2bp2,Nrxn3,NA,NA
NA,NA,NA,NA,Fyn,Ndufa6,Igf2r,Ntm,NA,NA
NA,NA,NA,NA,Fzd2,Negr1,Igsf1,Ntpcr,NA,NA
NA,NA,NA,NA,Fzd6,Neu1,Igsf3,Ntrk1,NA,NA
NA,NA,NA,NA,G0s2,Neurl2,Igsf9,Ntsr1,NA,NA
NA,NA,NA,NA,Gab2,Nfib,Ikbke,Nuak2,NA,NA
NA,NA,NA,NA,Gadd45a,Nfyb,Ikzf2,Nudt4,NA,NA
NA,NA,NA,NA,Gale,Nhlrc1,Il13ra2,Nxt2,NA,NA
NA,NA,NA,NA,Galnt18,Nipsnap1,Il17re,Obp3,NA,NA
NA,NA,NA,NA,Galnt6,Nit1,Il1r1,Ogfod3,NA,NA
NA,NA,NA,NA,Galr3,Nit2,Il1rl1,Olr1058,NA,NA
NA,NA,NA,NA,Gapdh,Nlrp12,Il22ra1,Olr35,NA,NA
NA,NA,NA,NA,Gar1,Nme3,Il23a,Omd,NA,NA
NA,NA,NA,NA,Gas7,Nnmt,Il2ra,Otc,NA,NA
NA,NA,NA,NA,Gatsl2,Nox4,Il2rg,Oxnad1,NA,NA
NA,NA,NA,NA,Gbp5,Npepo,Ildr1,P2ry13,NA,NA
NA,NA,NA,NA,Gca,Nqo2,Impdh1,P2ry14,NA,NA
NA,NA,NA,NA,Gck,Nr1d1,Inhbe,Pah,NA,NA
NA,NA,NA,NA,Gda,Nr1d2,Inpp1,Papd7,NA,NA
NA,NA,NA,NA,Gdf15,Nr2f2,Inpp4b,Pbld1,NA,NA
NA,NA,NA,NA,Gem,Nr3c1,Iqgap1,Pcca,NA,NA
NA,NA,NA,NA,Gfap,Nrcam,Irak1bp1,Pcdhac2,NA,NA
NA,NA,NA,NA,Gfod1,Nrep,Irf1,Pcdhga1,NA,NA
NA,NA,NA,NA,Gfod2,Nrn1,Irg1,Pck1,NA,NA
NA,NA,NA,NA,Gfpt2,Nrtn,Itga4,Pcsk1,NA,NA
NA,NA,NA,NA,Ggt1,Nrxn3,Itga6,Pddc1,NA,NA
NA,NA,NA,NA,Ggta1,Ntn3,Itga8,Pde11a,NA,NA
NA,NA,NA,NA,Gins2,Ntng1,Itgam,Pde3b,NA,NA
NA,NA,NA,NA,Gins3,Ntrk1,Itgb1,Pde4c,NA,NA
NA,NA,NA,NA,Gipc1,Ntsr1,Itgb4,Pdia5,NA,NA
NA,NA,NA,NA,Git1,Nudt12,Itgb6,Pdk2,NA,NA
NA,NA,NA,NA,Gja1,Nudt16,Itgb7,Peli3,NA,NA
NA,NA,NA,NA,Gja5,Nup98,Itgb8,Pemt,NA,NA
NA,NA,NA,NA,Gjc1,Nupr1l,Itgbl1,Pex26,NA,NA
NA,NA,NA,NA,Gjc2,Nxnl2,Itpr3,Pfkfb1,NA,NA
NA,NA,NA,NA,Glb1l2,Nxt2,Itpripl2,Pgrmc1,NA,NA
NA,NA,NA,NA,Gls,Oaf,Izumo1,Phf19,NA,NA
NA,NA,NA,NA,Gltp,Oard1,Jak3,Phlpp2,NA,NA
NA,NA,NA,NA,Gmeb1,Obp3,Jam2,Phtf1,NA,NA
NA,NA,NA,NA,Gna13,Olr1584,Jph4,Phtf2,NA,NA
NA,NA,NA,NA,Gnai1,Olr1585,Kank2,Phyhd1,NA,NA
NA,NA,NA,NA,Gnai2,Olr35,Kcnb1,Pigc,NA,NA
