V1
TNF
PRKAB
IL6
SOCS3
RELA
NR1C1
ACDC
PRKAA
LEP
ADIPOR
CASP8
BID
CYC
CASP3
CASP7
BAX
TNFRSF6
EIF2AK3
EIF2S1
BCL2L11
ATF4
DDIT3
CYP2E1
TGFB1
TNF
IL8
TNFSF6
ERN1
TRAF2
MAPK8
JUN
JNK
IKBKB
NFKB1
IL1A
IL6
TNF
MAP3K5
CDC42
RAC1
MAP3K11
TNF
JNK
ITCH
TNFSF6
COX3
NDUFV1
SDHA
UQCRFS1
XBP1
LEPR
NR1H3
RXRA
INS
INSR
RXRA
INSR
CEBPA
IL6R
TNFRSF1A
PRKAG
IL1B
COX1
COX2
COX4
COX5A
COX5B
COX6A
COX6B
COX6C
COX7A
COX7B
COX7C
COX8
NDUFV2
NDUFV3
NDUFA1
NDUFA2
NDUFA3
NDUFA4
NDUFA5
NDUFA6
NDUFA7
NDUFA8
NDUFA9
NDUFA10
NDUFAB1
NDUFA11
NDUFA12
NDUFA13
NDUFB1
NDUFB2
NDUFB3
NDUFB4
NDUFB5
NDUFB6
NDUFB7
NDUFB8
NDUFB9
NDUFB10
NDUFB11
NDUFS1
NDUFS2
NDUFS3
NDUFS4
NDUFS5
NDUFS6
NDUFS7
NDUFS8
NDUFC1
NDUFC2
SDHB
SDHC
SDHD
CYTB
CYC1
QCR1
QCR2
QCR6
QCR7
QCR8
QCR9
QCR10
