"","FPKM.L_32ko1","FPKM.L_32ko4","FPKM.L_32ko5","FPKM.L_32wt1","FPKM.L_32wt4","FPKM.L_32wt5","FPKM.L_48ko1","FPKM.L_48ko2","FPKM.L_48ko3","FPKM.L_48wt1","FPKM.L_48wt3","FPKM.L_48wt4"
"A1bg",0,18.453028,0.03734,0.0374,0.022054,0.146808,0.118531,0.912106,0.161532,0.502952,0.127622,0.014943
"A1cf",154.796265,105.307991,94.237503,88.445786,124.052216,120.563744,100.08683,92.94194,84.090912,100.324348,98.627869,77.044487
"A1i3",1672.084106,616.200989,590.695923,1907.239502,2920.104736,2434.283447,1224.790283,1273.69397,1447.144165,1805.003174,2563.843262,2454.457275
"A2m",0.794752,7.1006545,10.355598,4.3153365,2.489157,0.448425,6.048451,2.7561635,1.153698,0.413374,0.2352935,0.451527
"A3galt2",0.342788,1.521274,3.562884,0.323523,0.310516,0.379427,0.216937,0.421323,0.544559,0.451295,0.146378,0.22722
"A4galt",0,0,0.057434,0,0,0,0,0,0,0,0,0
"AA926063",0.528032,0.650807,0.218286,0.840885,0.85956,0.962894,1.480865,1.775888,1.501459,2.636557,1.114261,1.737089
"Aaas",2.391055,2.955537,3.598696,2.337678,3.126731,2.677007,2.916387,2.467579,2.298004,2.411185,2.419554,3.056525
"Aacs",0.314641,1.52335,1.241295,0.507444,0.433613,1.147105,1.000403,1.717554,2.01403,0.929186,0.946791,0.432458
"Aadac",52.197639,47.341434,40.496025,24.160151,35.272842,40.721199,45.215309,49.102871,34.534367,32.21447,32.939915,37.850304
"Aadacl2",0,0,0,0,0,0.00789,0,0,0,0,0,0
"Aadacl3",0,0,0,0,0,0,0,0,0,0,0,0
"Aadat",135.366608,81.025063,67.963593,79.736076,95.780022,132.414124,108.744354,124.187309,99.064552,124.282578,124.11071,119.196228
"Aaed1",7.555816,7.918374,10.311348,11.871411,9.327722,9.678577,11.695255,11.557849,8.811093,9.86222,8.325891,9.542917
"Aagab",4.625723,6.406956,7.60179,5.362308,5.598566,5.056298,6.280851,5.782352,5.875259,5.083123,5.76212,6.295691
"Aak1",1.886564,1.794951,1.873268,1.477331,1.594838,1.814532,1.450839,1.420588,1.448161,1.369433,1.592083,1.618796
"Aamdc",6.55183,4.633613,3.961745,4.809342,7.474509,6.655713,5.542855,5.549265,4.72675,5.20354,5.892124,5.4011
"Aamp",35.649895,37.585796,41.068684,32.754906,37.558899,33.449375,30.774513,31.641609,29.381815,32.741001,32.172581,37.575344
"Aanat",0.030051,0.025965,0.074577,0.056553,0.050295,0,0.056459,0.012527,0.052944,0.029091,0,0.025295
"Aar2",4.054352,5.530103,5.363659,4.418285,5.074617,4.936791,4.499608,4.001418,3.94982,4.905397,4.824324,4.473335
"Aard",0,0,0,0.12695,0.119935,0.028554,0,0,0,0,0,0.026615
"Aars",51.403248,63.354992,80.1315,62.758743,42.069229,40.291172,60.771511,55.220921,59.897972,58.763977,47.22897,63.242134
"Aars2",2.018126,3.315589,3.447429,3.283372,3.082448,2.654673,2.454985,2.488527,2.52703,2.294043,2.423023,2.871293
"Aarsd1",3.142212,4.510031,4.560612,3.147738,4.255717,3.732332,3.29582,3.402678,3.636314,3.608642,4.320888,3.838679
"Aasdhppt",32.931248,28.508038,28.10144,26.212387,29.435228,27.733004,26.54936,27.029907,25.059277,27.914928,29.480021,29.377285
"Aass",83.204613,49.906406,39.021252,66.045609,73.811584,84.860275,73.846481,91.508041,83.643173,62.872345,52.175659,89.727974
"Aatf",5.951371,7.03398,7.870913,4.722034,5.370739,5.416405,5.306609,5.590674,4.688944,5.400989,5.559679,8.264429
"Aatk",0.348582,0.484667,0.560763,0.237238,0.572602,0.435429,0.43876,0.274323,0.421166,0.537168,0.40249,0.308377
"Abat",71.705559,68.259674,51.790722,59.556023,65.430824,61.798721,65.621582,62.103756,65.01757,59.828781,73.511734,70.921165
"Abca1",28.4993,36.107174,29.048763,29.472769,38.21981,33.498463,31.248901,30.535168,32.484089,31.485907,35.857887,33.185081
"Abca13",0.002578,0.014098,0.008098,0.007783,0.004945,0.021974,0.007994,0.031349,0.033087,0.006503,0.00667,0.004389
"Abca15",0,0,0,0,0,0,0,0,0,0,0,0
"Abca17",0.068345,0.031139,0.047657,0.038417,0.103695,0.108428,0.040141,0.083723,0.105534,0.054925,0.051046,0.103859
"Abca2",4.321786,26.026974,15.964505,6.508102,7.224712,4.793961,6.880085,5.330881,6.992189,6.914773,5.523726,6.816434
"Abca4",0.280437,0.390741,0.546647,0.107415,0.196416,0.138544,0.135152,0.183531,0.211809,0.080879,0.212085,0.290889
"Abca5",1.827391,2.096479,2.38849,1.071991,1.320618,1.276995,1.117056,0.944266,0.778732,1.190503,0.995675,1.108314
"Abca7",0.308431,0.607318,0.610641,0.351281,0.519018,0.443421,0.427841,0.492018,0.683991,0.430101,0.437964,0.295767
"Abca8a",25.932884,41.258644,28.993683,25.055397,37.639446,38.234367,48.630878,43.603855,39.557419,39.617054,29.259714,74.330276
"Abcb10",6.231751,4.994986,4.838369,4.83589,6.109035,5.518639,4.140195,3.600821,4.289427,4.681525,5.658318,4.27156
"Abcb11",141.665527,105.09417,124.835815,166.722198,125.498024,122.989502,172.840607,177.527969,146.853882,172.722748,127.927353,102.742081
"Abcb1a",4.536973,12.590376,17.023087,4.947915,4.039055,4.436697,3.669085,5.237934,1.742728,2.145616,4.80033,7.559933
"Abcb1b",3.121879,102.132904,107.756844,4.185176,5.029519,3.273128,26.810781,62.846844,5.394116,18.39131,27.521053,73.171814
"Abcb4",34.857246,46.217152,46.026615,57.986553,14.489308,22.300095,20.439873,25.793673,18.006943,21.927397,20.227831,32.807224
"Abcb6",11.463431,10.907506,11.594711,12.702059,13.083267,12.336941,9.837833,8.416646,8.320814,12.035236,10.242596,10.03254
"Abcb7",23.621593,13.417336,13.343175,13.110566,17.507616,17.119955,13.871341,13.899359,14.234106,14.477561,15.047356,16.006931
"Abcb8",4.841266,7.330152,8.397067,4.40075,6.266285,5.361156,4.709656,6.006577,4.972646,5.486138,6.294976,5.772447
"Abcb9",0.116319,0.170098,0.201414,0.092541,0.20758,0.286747,0.011924,0.149494,0.368638,0.108712,0.08562,0.030396
"Abcc1",0.812844,2.297637,3.078364,0.656571,0.70399,0.709554,0.93222,0.976128,0.87851,0.875192,0.646832,0.89151
"Abcc10",1.243513,1.859268,1.813657,1.297636,1.808883,1.744599,1.639168,1.393229,1.45829,1.500857,2.08949,1.8742
"Abcc12",0,0,0.01297,0.006619,0,0.007835,0,0,0.004738,0,0,0
"Abcc2",67.964554,102.904594,60.111286,104.664948,118.415321,100.806679,102.885765,114.387871,87.94355,190.699081,155.339828,134.546768
"Abcc3",1.095948,10.856668,8.19375,0.678336,1.16947,1.450479,1.94951,3.196406,2.029531,0.982311,0.948345,1.881439
"Abcc4",2.456022,3.121013,4.331031,1.939305,2.295716,2.049947,2.486573,2.46084,2.58583,2.164274,1.904122,1.920145
"Abcc5",1.459263,1.906894,2.14697,0.739957,1.510458,1.342784,1.457543,1.248625,1.600637,1.392042,1.085754,1.251939
"Abcc6",40.74168,44.176846,34.186676,33.869854,38.902752,38.356945,35.52771,38.894844,37.109467,44.693542,44.008461,44.752422
"Abcc8",0.724595,1.554658,0.952663,0.506246,0.790374,0.567535,1.210176,1.440829,1.187361,0.848646,0.600847,0.46904
"Abcc9",3.984096,5.849641,8.457248,1.791281,3.366863,3.312361,3.053245,2.195402,2.152651,2.756206,2.874863,2.528192
"Abcd1",10.324914,12.437964,9.931788,10.221932,13.577077,10.894183,12.200039,12.127784,13.846695,11.300753,11.663019,13.373464
"Abcd2",0.303976,0.711538,0.29066,0.08044,0.183454,0.135494,0.180983,0.11801,0.050422,0.111276,0.117188,0.035711
"Abcd3",187.589081,122.096779,107.062271,82.285667,83.913979,112.333679,78.502121,80.740288,81.457863,79.658607,87.450111,79.988464
"Abcd4",1.157593,2.003657,1.577597,0.968749,1.502212,1.391899,1.739574,1.620688,1.486737,1.369034,1.035432,1.570823
"Abce1",28.277403,25.608027,33.341496,21.910608,23.443087,23.699659,19.545813,20.956009,19.464499,20.667627,22.544662,25.003677
"Abcf1",17.081253,17.634071,22.355623,14.194354,13.452257,13.680293,14.001099,14.380109,13.765757,14.251225,13.360765,14.126184
"Abcf2",13.091807,13.540553,16.555222,11.387506,11.34884,12.035843,12.519334,10.060194,11.419681,12.453636,12.583138,12.94494
"Abcf3",11.780024,12.352451,14.457403,11.460836,14.938433,13.352117,12.090986,12.763974,11.158277,13.495187,15.198066,15.183367
"Abcg1",3.014892,4.158272,4.300935,3.056817,5.100953,3.939905,3.465784,3.327392,4.086251,3.599363,2.862839,4.242616
"Abcg2",1.231954,15.768481,15.009228,3.46986,3.680343,2.166051,1.578161,2.077604,2.158293,1.429104,1.680201,2.238414
"Abcg3",19.784317,12.61843,16.140198,21.227407,16.494764,19.074448,23.844166,30.070807,26.85042,19.990295,18.395781,15.573225
"Abcg3l1",2.085743,1.654,1.804017,1.318109,1.667947,1.433038,1.572148,2.689674,1.964109,1.484343,1.207535,1.747311
"Abcg3l2",0.017555,0.934757,0.0067,0.006484,0.045286,0.011971,0.005074,0.051184,0.023838,0.008752,0.009634,0.010286
"Abcg3l3",2.360163,6.398616,3.994169,0.749464,1.304973,1.727937,2.891327,2.597663,3.101839,1.524369,1.152071,2.788307
"Abcg3l4",0.395704,2.498657,0.391644,0.291229,0.248755,0.354557,0.426416,0.410337,0.381183,0.393636,0.281091,1.973894
"Abcg4",0.01052,0.021501,0.187609,0.016749,0,0.009437,0.007269,0.0265,0.01899,0.020131,0,0
"Abcg5",7.158871,1.227036,0.99877,5.407341,4.950484,3.302108,0.343506,0.286089,0.196919,1.127153,4.066159,9.001716
"Abcg8",0.498873,0.127819,0.103873,0.416231,0.29326,0.247105,0.023147,0.052859,0.03782,0.177147,0.301772,0.56922
"Abhd1",30.994831,29.441483,31.910547,21.328699,13.836318,18.641876,16.534689,17.474781,21.304625,17.08987,18.165724,19.505554
"Abhd10",0.6607205,1.562326,0.9287775,0.3975175,0.7627305,0.8380025,0.6606695,0.627133,0.321632,0.7534135,0.6846545,0.6114185
"Abhd11",4.505753,4.594994,6.061253,3.307331,5.482132,5.319014,3.519633,3.958977,4.410071,4.592951,5.677417,6.306417
"Abhd12",11.424917,11.759184,11.661222,9.858662,10.730378,9.254041,9.85813,9.622457,9.362468,9.149313,9.305121,8.5305
"Abhd12b",0.091598,0.017583,0,0.055222,0.058942,0.048774,0,0,0.025333,0.04606,0,0
"Abhd13",9.784508,10.638059,7.965669,7.200124,10.932754,9.444559,7.786012,7.278506,7.356676,7.448525,9.47943,8.403383
"Abhd14a",2.29651,2.559678,1.646767,2.783795,3.17016,2.595749,2.311117,1.860227,1.707519,3.27676,3.831299,3.320052
"Abhd14b",126.810425,88.388962,85.127571,123.890236,115.756172,120.93898,90.396446,92.210106,91.552856,104.748528,113.022797,140.667465
"Abhd15",14.923588,7.548895,5.734554,6.186063,8.46377,7.307295,7.721151,4.430215,4.643531,3.812477,8.2119,8.281141
"Abhd16a",7.156496,15.379731,10.879974,10.808854,8.889427,9.04752,7.478044,8.782107,6.260612,8.668871,8.006364,10.168966
"Abhd16b",0.041723,0,0.033271,0,0.034643,0.037428,0.042429,0,0.032244,0.020094,0,0.027082
"Abhd17a",24.364996,35.131844,31.502457,32.806747,35.832794,32.949234,26.938931,24.917599,27.875561,31.83395,30.929733,30.122257
"Abhd17b",10.839462,10.515855,11.503799,5.379877,8.265564,11.514627,12.976113,14.009357,11.878257,13.352288,8.034441,9.9145
"Abhd17c",16.9559,25.554071,23.953676,20.399126,17.957901,16.168018,20.576736,18.680607,17.851761,14.880548,16.291218,18.236141
"Abhd2",122.646133,246.613129,145.30719,94.251366,63.34185,84.461983,76.429977,69.419762,107.132454,145.569275,117.168472,195.82399
"Abhd3",0.123422,0.335757,0.224742,0.115369,0.039014,0.096799,0.124742,0.06451,0.209724,0.156168,0.158291,4.921004
"Abhd4",13.672285,20.915012,18.88658,14.466412,14.301541,12.266087,16.074844,18.023771,15.440763,17.404654,12.953087,14.312338
"Abhd5",17.298611,14.809387,17.016317,15.608817,17.979679,18.308233,16.447926,17.766903,16.774605,31.58007,15.467961,15.917228
"Abhd6",27.450558,28.398703,30.056421,10.10448,13.862411,20.835579,19.919048,14.145534,18.825922,13.243165,15.990978,10.93323
"Abhd8",0.448075,0.817231,0.701795,0.987531,0.555431,0.44781,0.711113,0.570344,0.630589,0.687649,0.568771,0.491213
"Abi1",10.806452,12.90725,13.794602,9.0069,11.171463,11.102221,11.001605,9.952436,9.788378,10.220538,10.312914,13.213146
"Abi2",1.184032,2.003882,2.81501,1.138223,1.37664,1.372682,1.230991,1.145205,1.350322,1.205374,1.091977,1.246652
"Abi3",3.345895,3.659484,3.718636,3.106326,5.022985,5.091312,4.156781,3.821071,4.975728,4.556494,3.269305,4.675292
"Abl1",1.50614,1.676173,4.054719,0.936306,1.604146,0.860483,3.749047,2.870284,2.967466,4.451951,3.089226,3.054457
"Abl2",2.125266,2.394567,3.017539,1.665951,2.036665,1.924051,1.635361,1.537407,1.520193,1.415782,1.326706,1.6708
"Ablim2",0.237331009314456,0.45481,0.382111,0.216866,0.219961,0.181319,0.302516,0.239764,0.245293,0.152561,0.167983,0.317673
"Ablim3",6.407505,8.289117,4.281465,4.549731,10.242371,7.810026,1.316653,2.660089,1.149059,5.989326,6.397387,3.501191
"Abo",0.279588,0.46766,0.543141,0.276914,0.283243,0.117353,0.288445,0.21894,0.335629,0.353751,0.231708,0.366177
"Abo2",0,0,0,0,0,0,0,0,0,0,0,0
"Abr",2.562543,3.260352,3.989154,1.509226,2.086696,1.989125,2.713562,2.203684,2.396789,2.187806,1.851567,1.853838
"Abra",0,0,0.073928,0.02471,0.160033,0.09518,0,0.076709,0,0,0,0.137096
"Abracl",14.722483,19.572752,21.192993,11.538179,14.346425,12.868011,14.830731,12.336085,12.185854,10.067695,11.163058,15.066111
"Abt1",4.644107,6.265311,6.474977,5.615022,4.771454,5.699597,5.599461,5.294999,4.580558,5.776968,6.40135,6.351819
"Abtb1",6.757475,10.110978,9.398474,9.945094,9.547933,8.815355,10.50104,8.797467,8.020874,10.055881,9.149933,7.560164
"Abtb2",7.063252,7.416058,6.001753,8.902015,12.543133,11.244525,7.130102,11.233352,8.571593,9.256804,6.739189,7.87385
"Ac1576",2.799081,1.685177,1.487824,2.070707,2.703027,3.07322,2.143656,1.950244,2.064101,2.290321,2.340874,2.510407
"Acaa1a",124.163963,161.484436,153.426254,137.642853,142.232178,129.299301,113.462524,95.290451,108.859474,111.16494,114.985252,124.476295
"Acaa1b",29.274538,47.372078,61.687695,13.987451,16.951294,18.01269,28.63084,17.013683,21.344658,18.991507,8.574279,10.773176
"Acaa2",479.548553,548.893494,618.611023,344.050079,318.345947,354.758057,203.794022,247.215408,230.41748,285.730255,371.99292,453.29068
"Acaca",33.017651,46.063324,43.676811,13.594157,25.859011,33.540123,85.620193,65.581223,72.027596,55.982132,43.590919,9.900894
"Acacb",5.386968,13.056372,4.074955,6.364749,35.660378,37.95274,23.511429,25.156023,28.415754,23.084723,26.14669,10.955133
"Acad10",10.309062,14.187259,11.037854,20.138187,12.325378,14.048957,8.4651,8.124771,8.135431,10.508316,10.572331,10.467367
"Acad11",164.205765,121.495056,128.035446,91.824669,74.318726,77.849655,61.433479,71.132706,73.231277,67.353127,67.758202,77.140068
"Acad9",19.379213,21.200487,19.560598,15.998033,18.175156,18.688046,19.591974,22.297148,18.153,20.933243,21.200247,19.072744
"Acadl",351.444427,374.002655,340.64978,233.346771,164.363693,196.275787,193.565582,192.054306,197.285446,197.186966,181.803558,239.078918
"Acadm",380.114136,269.333984,288.387238,291.675903,316.227295,320.706116,209.205612,203.607422,206.294708,256.982361,345.724487,380.341003
"Acads",61.256363,61.557121,63.235649,70.026405,57.909798,57.405746,54.255413,52.198162,56.701008,59.721485,54.31377,52.568459
"Acadsb",49.672127,34.871159,34.083908,59.428623,50.911621,49.942242,39.66864,42.167767,36.049904,43.792709,50.704731,60.225784
"Acadvl",154.890381,154.001953,161.066025,115.753494,106.70063,103.60424,98.911201,100.740242,102.890709,108.464165,107.293449,117.721581
"Acan",0,0.029405,0.009112,0,0,0.005031,0.0058,0,0,0,0.004601,0
"Acap1",0.749885,0.786057,1.011775,0.263049,0.476921,0.466552,0.516144,0.362213,0.705266,0.624869,0.873224,0.483
"Acap2",10.548962,12.238511,16.149963,7.795588,9.014808,9.599546,11.751027,9.242496,10.241793,10.072923,9.391398,8.096584
"Acap3",1.747187,2.500663,2.863124,2.332251,1.900828,1.937855,2.431142,1.91688,1.908871,2.298075,2.044923,2.624742
"Acat1",148.249054,156.620285,180.371689,100.948486,75.13562,87.304626,67.354996,84.005005,81.538971,86.347946,88.676071,107.892548
"Acat2",1.1348,4.032887,2.001935,2.517895,4.204604,6.735599,4.868033,6.87318,6.856943,4.021868,3.806794,1.296404
"Acbd3",7.211583,10.690024,12.959573,7.142063,8.346918,8.162426,8.342622,9.500044,7.614105,8.187281,7.869229,7.583528
"Acbd4",7.351571,12.28381,9.154735,11.267696,10.312691,11.140735,11.568089,11.924535,12.520156,12.535081,11.737104,11.765018
"Acbd5",32.910046,27.620678,23.740242,22.807968,36.37883,35.002098,28.044914,28.723362,25.51309,25.859245,27.652994,27.688526
"Acbd6",9.495229,9.392972,9.162951,7.342428,9.031569,8.916645,5.273664,5.630956,5.994595,7.080834,7.996899,6.947708
"Acbd7",0,0.063865,0,0,0,0,0,0,0,0,0,0
"Accs",1.535318,2.601896,2.59041,1.534759,2.783516,2.605252,2.050827,2.345886,1.940423,2.025668,2.276417,2.435057
"Accsl",0,0,0.007087,0,0,0,0,0,0,0.025281,0.016207,0
"Acd",6.721832,8.684024,9.544959,7.398962,8.07271,7.691535,7.771506,6.854458,6.437283,8.048888,7.147529,7.440231
"Ace",0.54044,1.685346,3.638158,0.365055,0.338099,0.285162,0.852937,0.326516,0.346283,0.215952,0.177659,0.248797
"Ace2",0.255088,0.315525,0.287613,0.230969,0.219364,0.241479,0.24026,0.212224,0.127477,0.369575,0.375328,0.26746
"Ace3",0,0.006976,0,0,0.010831,0.02785,0,0,0,0,0,0
"Acer1",0,0,0,0,0,0,0,0,0,0,0.014898,0
"Acer2",6.181826,5.422575,8.426826,5.459282,6.759863,6.361746,4.630702,4.958899,6.780826,5.518865,3.625905,3.519804
"Ache",0.839927,0.539013,0.465566,0.69491,0.632212,0.594005,0.58885,0.532031,0.528152,0.71458,0.633616,0.983088
"Acin1",15.630813,17.695051,18.561455,12.168054,17.689831,15.080667,14.857568,15.060092,13.677231,15.2775,14.967084,16.470819
"Ackr2",4.526186,2.579287,1.859753,1.185317,3.145933,4.469819,1.320702,1.592256,1.586214,1.675852,2.912596,2.927333
"Ackr3",0.854411,2.742018,7.291791,1.107972,0.894537,1.317572,1.518787,1.085028,1.686463,0.943739,1.041938,1.382787
"Acly",67.1047386690548,92.4943760838918,88.9346349856714,40.3261066445574,117.141222013635,146.92407456367,235.010300821123,276.396229326554,317.629972930437,190.70616274948,180.398255146753,23.0114086787613
"Acmsd",2.221202,3.899201,1.565037,9.206056,5.668558,6.266511,18.727821,16.646128,17.914351,11.831076,5.863664,10.108335
"Acnat2",86.423416,1.183207,2.503639,160.204437,197.509491,159.659653,93.483238,41.885956,88.221809,112.256699,173.327316,294.263092
"Aco1",71.696037,90.671318,72.220978,57.447208,60.633629,63.2556,56.992161,56.476944,53.874359,48.555641,47.641693,48.298901
"Aco2",64.969025,43.16708,48.242809,31.511084,44.596344,46.69606,29.984285,30.3001,31.951408,31.782267,46.773418,36.259438
"Acot1",3.332681,37.346428,27.162441,1.269308,0.890612,1.687231,0.689305,0.739563,1.016623,0,0.525067,0.726296
"Acot11",0.033964,0.434713,0.488473,0.046262,0.112589,0.051191,0.105709,0.065223,0.108945,0.073156,0.075947,0.046345
"Acot12",213.867538,83.002274,68.549431,83.933693,106.54747,100.253304,69.098991,51.864658,56.441624,75.269539,104.189323,71.595551
"Acot13",15.302597,15.01377,11.43412,10.011796,15.815761,17.43305,14.422151,16.980616,14.893517,9.922184,13.633702,16.98118
"Acot2",58.676071,82.876457,85.569641,17.790421,16.728533,21.547911,11.780924,14.547562,11.457131,11.109171,11.455475,15.47488
"Acot3",14.52941,14.189955,16.852493,5.552218,2.513671,9.132955,0.983939,3.191727,2.632952,1.72501,5.662447,1.477205
"Acot4",37.984367,30.971127,34.75452,10.722829,11.036797,20.411732,6.749928,7.992864,5.941879,7.964451,11.36165,8.026656
"Acot5",8.257998,13.437481,9.093129,3.157951,1.866179,5.534339,4.604921,5.248875,2.794698,3.0728,2.754648,1.389385
"Acot6",0,0.086287,0.040085,0,0,0,0,0,0,0,0.013628,0
"Acot7",19.1111482805539,18.4307309909693,15.6838865526791,12.7970605045154,14.0206345791692,12.6831156676701,10.4157255809753,10.7764267019868,10.2627089536424,9.85956160626129,12.1906978374473,12.4158988741722
"Acot8",6.082968,7.929347,8.237181,5.076961,5.827375,5.087209,5.712584,6.833934,6.940018,5.115739,5.714392,5.365191
"Acot9",2.895742,6.516978,10.215312,1.464325,2.349501,2.708343,3.369807,3.791111,3.272724,1.962273,2.475902,3.274814
"Acox1",374.233276,319.550476,359.296844,197.859085,189.636475,203.671906,153.514404,143.069107,160.813644,158.914291,159.481888,182.367432
"Acox2",125.246666,83.947762,77.678696,159.668671,152.572586,118.055611,120.404938,117.465324,117.097382,127.045448,137.034653,172.924438
"Acox3",77.389641,82.301811,77.380524,77.69706,73.39624,70.977364,79.909737,75.451233,74.00705,92.075226,74.334259,66.810997
"Acoxl",0,0.039874,0.010003,0,0,0.023987,0,0,0,0.010209,0.017894,0
"Acp1",17.1152034491634,20.5708176061776,19.6030133590734,11.4898127927928,15.2421371428571,15.9249781981982,10.9601491634492,13.5212388159588,13.8534148262548,14.4891164993565,16.4663086229086,8.65252447876448
"Acp2",45.388847,46.828442,45.268806,43.168652,35.800037,43.384571,49.651562,47.572582,50.075909,39.899441,42.978603,41.414139
"Acp5",8.85729048387097,13.7838309509677,12.9929689832258,6.7908372283871,13.5461746412903,7.4959281883871,8.25092247483871,6.30279648129032,7.77825622193548,7.37611524387097,4.66748595870968,5.48589044516129
"Acp6",11.974173,16.621355,21.345686,10.523212,11.473103,12.045234,15.033328,11.566805,12.388078,11.595723,10.002563,12.488218
"Acpp",2.32704255897734,3.7339164787914,5.26039226844858,4.74500095990703,0.522550804183614,0.528403164439279,7.22367256595003,9.26958172922719,9.30443173038931,3.16264624636839,1.34041172806508,1.57059783381755
"Acpt",0.171376,0.081587,0.179021,0.134065,0.074077,0.056735,0.077929,0.110348,0.083943,0.220235,0.128828,0.231378
"Acr",0,0.04974,0.020959,0,0,0.070542,0.026407,0,0,0.035177,0,0
"Acrbp",0.87714,0.391824,0.636718,0.264192,0.55229,0.575134,0.516079,0.523492,0.546359,0.695462,0.527963,0.444778
"Acrv1",0,0,0,0,0,0,0,0,0,0.046116,0,0.040099
"Acsbg1",0.762798,0.122591,0.339683,0.673693,1.071762,0.567161,0.526853,0.388011,0.575585,0.931975,0.717042,0.486767
"Acsbg2",0,0,0.012104,0,0,0,0,0,0,0,0,0
"Acsf2",12.978018,10.222411,4.919968,9.760683,5.486122,5.02932,6.551762,6.227472,20.062359,7.890758,5.77142,4.794762
"Acsl1",1015.226868,566.240417,428.816986,607.886902,658.861084,762.666992,541.766602,579.136292,548.349487,557.078247,636.577515,591.98175
"Acsl3",2.126857,9.99233,6.910314,3.817621,3.22583,4.977857,5.985754,8.552461,4.279143,3.983498,3.827127,4.393748
"Acsl4",126.664055,69.478577,32.844845,87.570145,126.047043,119.997536,69.456627,107.640526,89.215721,102.80497,106.983932,94.819046
"Acsl5",87.618233,121.51931,116.520676,65.777412,124.906296,143.976593,162.139832,173.848526,153.741028,109.952301,94.008392,66.582466
"Acsl6",0.015474,0,0.033564,0,0,0,0,0,0,0,0,0
"Acsm1",210.332443,169.962341,157.113068,157.119781,191.415054,173.241028,136.811905,142.022934,142.627625,152.347626,178.625656,173.022797
"Acsm2a",32.507427,9.273401,46.142563,3.742876,4.359552,18.371006,54.37114,63.545898,55.904678,34.631546,6.79362,1.88252
"Acsm3",37.434158,10.50786,13.516315,36.671871,77.693184,21.161921,37.585991,10.095432,31.768753,17.61097,30.613922,17.085682
"Acsm4",0.137137,0.099662,0.040046,0.015487,0.181143,0.065386,0.067109,0.021235,0.074533,0.093734,0.097338,0.21259
"Acsm5",207.632202,27.678631,190.384705,12.069226,27.396917,79.713654,108.115875,119.648605,141.811111,103.735924,19.442884,7.768014
"Acss1",0.597284,1.056022,1.236695,0.564459,0.782215,0.450081,0.631144,0.655383,0.78397,0.736802,0.604231,0.808654
"Acss2",16.023136,25.029638,17.549419,12.486158,24.055305,39.984478,42.654964,48.347599,43.826054,28.722965,25.376078,8.117347
"Acss3",41.779789,37.160099,22.804277,27.733828,29.395193,34.494869,27.024218,30.192713,30.374838,41.158619,34.406773,29.954771
"Acta1",0,0.045586,0.27023,0.022029,0,0,0.028001,0,0,0,0,0
"Acta2",3.455274,11.993816,37.2771,3.900124,2.449231,1.426962,4.041474,4.186841,2.413391,2.335222,2.442857,3.058744
"Actb",443.824738,793.24646,1148.533203,497.537506,454.065216,452.59668,473.916168,558.52002,623.984192,454.581299,454.264252,554.057312
"Actbl2",0,0,0,0,0,0,0.014604,0,0,0,0,0.000563
"Actc1",0,0,0.042481,0,0,0,0,0,0,0,0,0
"Actg1",33.5705985093151,97.3087584912097,203.049286628706,52.3634173319339,41.5201662500656,39.8715636069273,43.8357183786408,65.6238275305694,61.9033272978221,36.4860336651797,31.0821568950407,51.4891921293624
"Actg2",0.602801,1.74027,12.073619,1.047901,0.378284,0.350737,0.788378,0.709803,0.222194,0.338935,0.484878,0.765735
"Actl11",0,0,0,0,0,0,0,0,0,0,0,0
"Actl6a",6.507351,8.731004,10.887248,6.261098,6.905571,5.743839,7.244629,6.606681,5.943446,6.456041,6.273496,7.482755
"Actl6b",0.038445,0.013473,0.018065,0.018837,0,0.032073,0.026217,0,0.008687,0.045644,0,0
"Actl7a",0.272199,0.217941,0.299486,0.159249,0.381106,0.263623,0.140493,0.365276,0.170626,0.247104,0.212123,0.215614
"Actl7b",0.114215,0.098028,0.177831,0.143072,0.292548,0.260925,0.158376,0.230643,0.07882,0.07752,0.254441,0.157893
"Actl9",0,0,0.022951,0,0,0,0,0,0,0,0,0
"Actl9b",0,0,0,0,0,0,0,0,0,0,0,0
"Actn1",7.92861,11.289075,14.175232,10.220647,11.768761,9.630169,8.345147,8.52746,10.549053,10.829534,10.667487,9.69062
"Actn2",0.336309,0.246335,0.331956,0.219967,0.247159,0.298501,0.224025,0.12757,0.170303,0.399417,0.281459,0.345394
"Actn3",0.017096,0.072142,0.04101,0.036528,0.082579,0.075354,0.036826,0.05213,0.057235,0.185656,0.10433,0.086655
"Actn4",45.330856,70.467979,75.487312,56.398933,47.708656,48.499714,55.853931,53.586872,52.012486,52.969833,46.433571,53.368591
"Actr10",21.834438,19.989786,21.753986,18.433964,20.128248,18.62793,19.85499,18.999224,18.462822,15.463694,17.732147,19.802977
"Actr1a",13.607375,14.853438,17.642851,11.935758,11.822327,12.30156,12.505612,11.456493,10.6818,12.861283,13.040251,11.742255
"Actr1b",17.520638,27.943907,31.607403,20.242132,19.434458,18.811674,18.484985,17.954659,17.138468,18.068533,18.472176,18.828587
"Actr2",47.738388,61.286636,65.087387,43.703461,50.530697,46.976727,54.662193,54.077145,49.909306,48.083809,44.918358,52.272507
"Actr3",29.086658,36.689816,40.363823,24.588373,25.885496,25.692223,26.601566,27.021149,26.129423,24.178453,24.854122,27.197239
