"","FPKM.L_32ko1","FPKM.L_32ko4","FPKM.L_32ko5","FPKM.L_32wt1","FPKM.L_32wt4","FPKM.L_32wt5","FPKM.L_48ko1","FPKM.L_48ko2","FPKM.L_48ko3","FPKM.L_48wt1","FPKM.L_48wt3","FPKM.L_48wt4"
"Cpa3",0.153120330816253,0.50238312837109,0.469041695433297,0.282703256023013,0.0666771898597627,0.0753955501618123,0.723698209277238,0.226420399137001,0.238268308162531,0.640842826321467,0.0644506436533621,0.582793696512046
"Cpa4",0,0,0.0152062879884226,0,0,0,0,0,0.0188847742402315,0,0,0
"Cpa5",0,0,0,0,0,0,0,0,0,0,0,0
"Cpa6",0,0.0613070177414813,0.0937484711348916,0,0,0,0.0113392095184455,0,0,0,0,0
"Cpamd8",830.85875180609,580.389012331731,481.388492410256,698.891200295673,811.988145972756,799.689775326923,564.535385038462,595.805565017628,586.432085921474,696.542185342147,796.363108613782,884.61922727484
"Cpb1",1.12630912891986,0.510485920557491,270.804180091986,0.589853502439024,2.34250730592335,1.76379100766551,0.261969549825784,0.298208512891986,1.05946416167247,0.50829170174216,0.658828331707317,0.32555406271777
"Cpb2",124.964902550297,94.0842333756287,86.9446175754458,93.5932524234111,114.507752440558,102.900708025834,148.752181362597,141.690409227252,141.440238269319,109.412838416781,103.006665748743,146.243941450617
"Cpd",45.6279405624103,36.9451970444763,60.4375619655667,31.5942826571019,50.9724916269727,49.4096934318508,36.1347059311334,33.6471759426112,40.1120629928264,34.9068189124821,39.8918610645624,54.6499650731707
"Cpe",0.120069777820268,0.390172603824092,1.33454656634799,0.145206556405354,0,0.0676644401529637,0.212901382026769,0.152560639388145,0.14950130248566,0.145016247418738,0.130400037476099,0.150910228680688
"Cpeb1",0,0.153377604240283,0.189011830388693,0,0.0130251024734982,0.0370027120141343,0.0196189681978799,0.0236662120141343,0,0.0811213657243816,0.0544529858657244,0.0233973197879859
"Cpeb4",24.7571581059886,17.585167388308,18.4680877091255,17.0086907390684,18.7414678612167,18.6300117276616,20.0216131154943,19.3901337214829,18.6891794415399,14.7789849857414,15.5950539543726,17.9137923954373
"Cpg1",0,0,0,0,0,0,0,0,0,0,0,0
"Cplx1",0.0881358622222222,0,0.0351422133333333,0,0,0.237188111111111,0.0447400311111111,0.05533968,0.0432074133333333,0.19069028,0.0802498888888889,0
"Cplx2",0.131098850235849,0.224890153301887,0.209368071933962,0.135916981132075,0.182347376179245,0.20746804245283,0.143859109669811,0.0343915683962264,0.125071079009434,0.0822451945754717,0.135421344339623,0.121590212264151
"Cplx3",0,0.0551628841761827,0,0,0,0,0,0,0,0,0,0
"Cplx4",0,0,0,0,0,0,0,0,0,0,0,0
"Cpm",0.995597548460661,1.47928349486887,1.27553925313569,0.861789794754846,1.59820473204105,0.760389965792474,1.09853854047891,1.24619811858609,1.01073263968073,0.927065507411631,0.928336345496009,1.19061371151653
"Cpn1",47.6361102320377,78.9153058598351,57.880507343934,62.9108853427562,77.1295231319199,65.0689034381626,47.1359299646643,56.6562391024735,50.5840181590106,54.7739460883392,57.6904834464075,58.7116192744405
"Cpn2",43.0114166648045,54.2253159068901,56.6218695232775,48.3965483035382,37.448915698324,40.8663947132216,51.2134217411546,43.0009546238361,39.1857119944134,42.4170718696462,35.677079575419,47.1745189944134
"Cpne1",3.81817918669131,4.56626882439926,7.17574736783734,3.01195458410351,3.57688652495379,4.01973087060998,3.80899360813309,3.31930221626617,3.27354802957486,2.98635229020333,3.59030755452865,3.50757084288355
"Cpne2",0.837401134831461,1.11467173970037,2.16042170037453,0.737028411985019,0.785665730337079,0.628638960674157,1.02718879775281,1.11614277340824,0.58217577340824,0.664957891385768,0.390921129213483,0.854301812734082
"Cpne3",10.2869903665626,9.74824234590439,10.0523345015614,6.95494619697334,9.43219618400192,8.66358290559693,10.3477266773961,8.21785824933942,8.42984983569541,8.00715811434062,7.33628492241172,9.6570264746577
"Cpne4",0.231838831593598,2.10421833402923,0.456639865924379,0.289372437949432,0.585377092090002,0.69714557875203,0.820612182324287,0.516402236836001,0.152236786592438,0.616165523776386,0.850470674553468,0.356098249594062
"Cpne5",0.175377282038595,0.116949473527956,0.40134108807521,0.062698279564572,0.0184236056407719,0.294267878772885,0.520878014844137,0.413196871350816,0.252260692726373,0.230285471548738,0.202346095992083,0.0398186229589312
"Cpne6",0,0,0,0,0,0,0,0,0,0,0,0
"Cpne7",0.317736130177515,1.33604734556213,0.796560178698225,0.13175993964497,0.43325684852071,0.527764221301775,0.704617547928994,0.275573970414201,0.419423995266272,0.485071966863905,0.619069429585799,0.331582072189349
"Cpne8",19.6289091679428,26.4295571618173,25.8267663399694,16.6291013680449,18.7809777641654,16.9684971924451,20.7176176927004,17.465731597754,15.8151166207249,15.3369026952527,13.4124663093415,23.7231174885145
"Cpne9",0.0153033977479114,0.0335079371594624,0.0218350581184163,0.0161003755902652,0.00515545041772612,0,0.00477688594260806,0,0,0,0,0
"Cpox",29.7660296280753,36.8301014655089,46.5302325561987,27.7188308330921,28.2123801205982,24.3273698938736,25.2425079971056,26.8385361746261,26.0170319440425,28.956810975398,26.4716487916064,32.069795273999
"Cpped1",28.4968337817773,35.4276597755905,25.1475058700787,25.8232583993251,28.2912989797525,29.0423102699663,21.3036543644544,24.717162496063,20.6065923745782,21.5566734583802,28.5696907542182,31.9551212784027
"Cpq",47.4377140053298,14.7614716713302,16.2608599005108,35.2430560022207,45.1972973879636,44.9463423419942,32.8941130761714,25.5093292600489,33.4478738019098,44.465874464135,53.2424492778148,45.1447360279813
"Cps1",811.301130539095,452.686350128258,402.721941314815,1037.57488847119,1658.40351494307,1213.66189501577,587.428935545267,533.50845077572,611.233875179012,799.526247781207,1184.19682027503,1272.93386687723
"Cpsf1",7.36534927309894,10.0404946471791,9.06632205233034,8.72225938552739,9.39112284627964,7.59193177187244,8.16814636631235,8.42672558708095,7.27505281766149,7.34414359893704,7.98602184014718,8.05948483319706
"Cpsf2",29.3240106618898,28.3439434823108,38.5422343215405,17.7044021298701,20.2716965642633,23.0425665508285,18.4677951150918,16.2428837205553,16.8377031616659,18.8471474787282,22.8246918119122,24.0513525965069
"Cpsf3",11.7961720662021,12.6227788710801,12.5358697108014,9.85398780487805,10.4553872787456,11.2493449337979,9.83672067944251,11.4994231498258,10.4698000766551,10.0972114111498,10.4829113101045,10.2856048083624
"Cpsf3l",4.67426241485507,5.60044538345411,7.34240124214976,4.66681722584541,5.60921292149758,5.01028828864734,4.66266941727053,4.84350368055556,4.31205645652174,5.61670421074879,5.60226512983092,5.23430149396135
"Cpsf4",2.96259878571429,3.60632512165179,3.45932601227679,2.89369366071429,3.231583734375,3.27328175892857,3.71927873772321,3.14374088169643,3.22042606473214,3.22661966183036,3.06836377232143,3.21476683258929
"Cpsf6",16.6344975106858,16.2872873645933,17.4132875636364,10.5206690909091,13.8131567055821,12.9324873084529,13.5751928242424,12.3946060759171,11.8783385926635,12.5445738972887,13.9723869090909,14.8069776127592
"Cpsf7",8.00736730938078,7.65168750693161,9.18578903650647,5.49374632971349,7.34574757971349,6.76996078904806,6.84750857786506,6.79742028881701,6.1340222724122,6.57012337222736,6.92256821395564,7.98140142560074
"Cpt1a",354.752640545776,358.061738471545,313.838956569813,126.84595569035,237.707490576175,275.781195721456,100.381046521032,68.1338865153765,62.9057757256981,122.86002220714,270.604487007423,183.187539947685
"Cpt1b",0.65145312852435,0.57056196008788,0.916052160746979,0.228970827901867,0.272405456243134,0.333774349322592,0.30349337971439,0.385043370560234,0.400277084950568,0.199945350054925,0.352613976931527,0.283608544855364
"Cpt1c",0.383078654616725,0.92216806315331,0.491333781794425,0.44651731054007,0.256710431620209,0.193690465592335,0.308688641114983,0.33067818684669,0.252446217770035,0.404455628484321,0.41901699695122,0.352517860627178
"Cpt2",109.89817266295,68.6125456746072,64.8469439189052,68.1647895995945,59.7456974029397,70.3733100212874,40.7123403426254,38.6399705098834,39.0733070532184,54.4864283669539,68.4486010339584,46.7152864551445
"Cptp",4.81984489414695,5.08328707783313,4.73379088978829,3.32820038231631,3.87553343275218,3.14983184557908,3.5555474769614,3.70017722229141,3.51695972478207,5.58804952054795,4.29900852117061,4.66831087733499
"Cpvl",0,0,0,0.0253391111111111,0,0.0120616231516688,0,0.0206059231094212,0,0,0,0.0209899518377693
"Cpxm1",0.185803409948542,0.356070421955403,0.515288050600343,0.409907830188679,0.214953102915952,0.373175346483705,0.309721070325901,0.180799417667238,0.164468606346484,0.0966836269296741,0.13877738593482,0.262577305317324
"Cpxm2",0.110620986940299,1.03941340578358,1.43036711473881,0.337623892723881,0.586007997201493,0.197075753731343,0.720521107276119,0.46663222108209,0.235800114738806,0.246444215485075,0.268595496268657,0.491376002798508
"Cpz",1.35764243744031,6.56996138299904,3.0070357669532,2.92634396179561,1.73851574403056,1.45784935243553,2.65116555491882,1.81376666284623,2.15731041069723,1.45442448137536,1.00484181088825,1.73222811079274
"Cr1l",18.6539598483582,18.7257103110448,19.4409097791045,10.9912975952239,18.5681830137313,20.354300521791,19.270578961791,18.5268956023881,14.5040666435821,21.3960763325373,20.5680155462687,20.7027893247761
"Cr2",0.23964701986755,0.17403582781457,0.767922052980132,0.0405460927152318,0.0989647682119205,0.0901615894039735,0.212265761589404,0.305156158940397,0.227103377483444,0.0438827814569536,0.154889801324503,0.292151059602649
"Crabp1",0,0,0,0,0,0,0,0,0,0,0,0.0758041515544041
"Crabp2",0,0.0340869943145925,0.166127036007581,0.030017291219204,0.0341043070120025,0,0.0127180050536955,0.0317314921036008,0.0428884283006949,0.0117389842072015,0.0220397953253316,0.08367372962729
"Cracr2b",2.33048142118537,3.94703183858764,2.88429586759142,2.69197833543506,3.91749182093317,2.96855019419924,4.16704488398487,2.49561447162673,4.54248337704918,3.80044563934426,4.11950897099622,4.3470118221942
"Cradd",0.550131985714286,0.970220976190476,0.706676866666667,0.315744714285714,0.884333266666667,0.54701779047619,0.552124942857143,0.551340076190476,0.55145190952381,0.903045742857143,0.778731809523809,0.392343866666667
"Crat",20.8953565392136,17.3481607234412,16.3570835389963,9.35170129480773,6.10189992396263,12.7256426395829,3.60830973930046,8.10449993482511,6.30870202042146,4.12039261785792,6.73068481642407,6.31642644362372
"Crb1",0,0,0.0226433663032191,0,0.0409418447559709,0.0470182349428868,0.0204016144859813,0,0.0101631658878505,0,0,0.00855115991692627
"Crb2",0,0.0622305740402194,0.085740449725777,0.162886080438757,0.236176190127971,0,0.210173429616088,0,0.0349496819012797,0.0334673308957952,0.0913353564899452,0.0303124936014625
"Crb3",2.47789255028799,5.46967378732831,5.24221485245902,3.31846068852459,3.13487953921134,3.26236907399203,3.74431703234382,3.62693524324324,4.27076369517058,2.61096163048294,3.64444990695614,5.45715071067789
"Crbn",35.167339703125,30.5761464559659,26.0320760987216,21.5942209950284,25.5498507365057,31.2157478757102,31.3139658473011,26.8571186015625,24.7111748636364,25.9203193330966,32.1925944673295,29.6530046022727
"Crcp",16.0756374280639,18.2854384085258,19.087829598579,13.7100273676732,14.816459026643,13.121051964476,12.4858238863233,11.3566679076377,10.5445420106572,9.58703073534636,13.4535675452931,17.9651896838366
"Creb1",7.41500323697479,7.13029704789916,9.07079137563025,6.17967570252101,7.65780806890756,7.42063495882353,8.20638112941176,8.76412946554622,7.34248977142857,7.08348188655462,7.24495227310924,8.82227032689076
"Creb3",4.32640309613929,6.87519572293717,8.79115157456472,4.22560261922786,4.56043042392127,4.63810427327782,5.10499235049205,5.718184666919,5.01201335352006,4.66469865632097,4.34494853898562,5.15725145722937
