,HO_up,HO_down,NAFLD_up,NAFLD_down,NASH_up,NASH_down,diff_w4_up,diff_w4_down,diff_w8_up,diff_w8_down,diff_w16_up,diff_w16_down,diff_w32_up,diff_w32_down,diff_w48_up,diff_w48_down,HF12_up,HF12_down,HF18_up,HF18_down,STZ12_up,STZ12_down,STZ18_up,STZ18_down,MCD4_up,MCD4_down,MCD8_up,MCD8_down,Pten_up,Pten_down,HF30_up,HF30_down,WTD_up,WTD_down,macaca_ko_up,macaca_ko_down
HO_up,Dok6;Grid1;Hydin;Ncam2;Trhde,,Grid1;Hydin;Ncam2;Trhde,,Dok6;Grid1;Hydin;Ncam2;Trhde,,,,,,,Ncam2;Trhde,,Ncam2;Trhde,,Ncam2,,,,,,,,,,,,,,,,,,,,
HO_down,,Cox7b;Fam171a1;Slc16a7,,Slc16a7,,Cox7b;Fam171a1;Slc16a7,,,,,,,,Cox7b,,,,,,,,Cox7b,,,,,,,,,,,,,,Slc16a7
NAFLD_up,Grid1;Hydin;Ncam2;Trhde,,Alpk2;Capn12;Ccdc82;Cdhr2;Cxcr4;Cyp7a1;Eno3;Fgf21;Fndc5;Golm1;Grid1;Grm8;H2afy2;Hydin;Igsf9;Inhbe;Ip6k3;Kat2a;Mamdc4;Me1;Mep1b;Ncam2;Npnt;Olfm2;Oxt;Plin1;Prkce;Rgs1;Sgcb;Srd5a2;Stab2;Tmem154;Tmem45b;Tmem63a;Tmprss9;Trhde;Ugt2a1;Vamp1,,Alpk2;Capn12;Ccdc82;Cdhr2;Cxcr4;Cyp7a1;Eno3;Fgf21;Fndc5;Golm1;Grid1;Grm8;H2afy2;Hydin;Igsf9;Inhbe;Ip6k3;Kat2a;Mamdc4;Me1;Mep1b;Ncam2;Npnt;Olfm2;Oxt;Plin1;Prkce;Rgs1;Sgcb;Srd5a2;Stab2;Tmem154;Tmem45b;Tmem63a;Tmprss9;Trhde;Ugt2a1;Vamp1,,Inhbe;Sgcb,,Fgf21;H2afy2;Inhbe,,Cxcr4;Fgf21;H2afy2;Inhbe;Rgs1;Sgcb,Ncam2;Tmem63a;Trhde,Fgf21;H2afy2;Igsf9;Inhbe;Sgcb;Tmem154;Vamp1,Ncam2;Trhde,H2afy2,Ncam2,Inhbe,,Inhbe,,Inhbe,,Inhbe,Inhbe,Cyp7a1;Fgf21;Golm1,Me1,Cyp7a1;Golm1;Rgs1,,Fgf21;Inhbe,Tmem63a,Tmem45b,,Fgf21,,,
NAFLD_down,,Slc16a7,,Bambi;Cxcl13;Cyp1a1;Hsd17b11;Igf1;Igfbp2;Nampt;P4ha1;Shbg;Slc16a4;Slc16a7;Slc51a,,Bambi;Cxcl13;Cyp1a1;Hsd17b11;Igf1;Igfbp2;Nampt;P4ha1;Shbg;Slc16a4;Slc16a7;Slc51a,Cyp1a1,Igf1;Igfbp2,Cyp1a1,Igf1,,Hsd17b11;Igf1;Igfbp2;Slc16a4,,Hsd17b11;Igf1;Slc16a4,,,,,,,,,,,Igfbp2,Igf1,Igfbp2,Igf1,,Igfbp2,,,,,,P4ha1;Slc16a7
NASH_up,Dok6;Grid1;Hydin;Ncam2;Trhde,,Alpk2;Capn12;Ccdc82;Cdhr2;Cxcr4;Cyp7a1;Eno3;Fgf21;Fndc5;Golm1;Grid1;Grm8;H2afy2;Hydin;Igsf9;Inhbe;Ip6k3;Kat2a;Mamdc4;Me1;Mep1b;Ncam2;Npnt;Olfm2;Oxt;Plin1;Prkce;Rgs1;Sgcb;Srd5a2;Stab2;Tmem154;Tmem45b;Tmem63a;Tmprss9;Trhde;Ugt2a1;Vamp1,,Acsl4;Adssl1;Aebp1;Alpk2;Arrdc4;Atf3;Cacna1h;Camk1d;Capn12;Ccdc82;Cd83;Cdc45;Cdc6;Cdhr2;Chrna4;Col1a1;Cxcr4;Cyp7a1;Cytip;Dok6;Dpysl2;Dtl;Eno3;Epha3;Fabp4;Fasn;Fat1;Fgf21;Fmo1;Fndc5;Galnt18;Gem;Gins1;Gins2;Golm1;Gpnmb;Gpr183;Grid1;Grm8;H2afy2;Hbegf;Hmcn1;Hsd17b7;Hydin;Ido2;Igsf9;Inhbe;Ip6k3;Itgax;Kat2a;Kcnj3;Kntc1;Lcp1;Lpl;Lrrc31;Mamdc4;Mcm2;Mcm5;Me1;Mep1b;Ncam2;Npnt;Olfm2;Oxt;Pcsk5;Pla2g7;Plaur;Plin1;Prdm1;Prkaa2;Prkce;Ptger4;Rgs1;Rgs2;Scube1;Sgcb;Slc29a4;Spp1;Sqle;Srd5a2;Stab2;Stmn2;Stxbp1;Sulf2;Thy1;Tmem154;Tmem45b;Tmem63a;Tmprss9;Trhde;Ugt2a1;Vamp1;Vcan;Wnt11;Zdhhc2,,Inhbe;Sgcb,Acsl4,Fasn;Fgf21;H2afy2;Inhbe;Stxbp1;Zdhhc2,Fmo1;Slc29a4,Aebp1;Arrdc4;Atf3;Col1a1;Cxcr4;Dpysl2;Fabp4;Fasn;Fat1;Fgf21;Galnt18;Gem;Gins2;Gpnmb;Gpr183;H2afy2;Hbegf;Inhbe;Kntc1;Lcp1;Lpl;Mcm2;Mcm5;Pla2g7;Plaur;Ptger4;Rgs1;Rgs2;Sgcb;Spp1;Stxbp1;Thy1;Vcan;Zdhhc2,Acsl4;Fmo1;Ncam2;Slc29a4;Tmem63a;Trhde,Aebp1;Atf3;Cd83;Cdc6;Dpysl2;Fabp4;Fat1;Fgf21;Gem;Gpnmb;Gpr183;H2afy2;Hmcn1;Igsf9;Inhbe;Lcp1;Lpl;Mcm2;Pla2g7;Plaur;Ptger4;Scube1;Sgcb;Spp1;Stxbp1;Thy1;Tmem154;Vamp1;Vcan;Zdhhc2,Acsl4;Epha3;Ncam2;Prkaa2;Slc29a4;Trhde,Fabp4;Fasn;H2afy2;Stxbp1,Fmo1;Ncam2,Inhbe,Fasn,Hsd17b7;Inhbe,,Inhbe,,Inhbe,Inhbe,Atf3;Cyp7a1;Cytip;Fgf21;Golm1;Gpnmb;Lpl,Me1,Atf3;Cd83;Cyp7a1;Cytip;Golm1;Gpnmb;Hsd17b7;Lpl;Mcm2;Mcm5;Rgs1;Spp1,,Fgf21;Inhbe,Tmem63a,Col1a1;Gpnmb;Lpl;Spp1;Tmem45b,,Fgf21,Sqle,Fasn;Kcnj3,Fabp4;Gem;Rgs2
NASH_down,,Cox7b;Fam171a1;Slc16a7,,Bambi;Cxcl13;Cyp1a1;Hsd17b11;Igf1;Igfbp2;Nampt;P4ha1;Shbg;Slc16a4;Slc16a7;Slc51a,,Abcb11;Ackr2;Adtrp;Aldh6a1;Alpl;Amdhd1;Apof;B3gat1;Bambi;Cmya5;Cnga1;Cox7b;Cxcl13;Cyp1a1;Fam171a1;Fgl1;Gpr88;Hal;Hsd17b11;Igf1;Igfbp2;Lrg1;Nampt;P4ha1;Ppm1k;Ramp1;Shbg;Slc16a4;Slc16a7;Slc51a;Snai2,Cyp1a1,Fgl1;Igf1;Igfbp2,Cyp1a1,Igf1,Alpl;Ramp1,Ackr2;Amdhd1;Apof;Hal;Hsd17b11;Igf1;Igfbp2;Slc16a4,,Abcb11;Amdhd1;Cox7b;Hal;Hsd17b11;Igf1;Lrg1;Slc16a4,,Amdhd1,,Abcb11;Hal,,,,Cox7b,,,Alpl;Igfbp2,Abcb11;Igf1;Ppm1k,Alpl;Igfbp2;Ramp1,Abcb11;Hal;Igf1;Lrg1;Ppm1k,Hal,Igfbp2,,Hal,,Hal,Abcb11;Snai2,Hal;P4ha1;Slc16a7
diff_w4_up,,,Inhbe;Sgcb,Cyp1a1,Inhbe;Sgcb,Cyp1a1,Abcd1;Adam15;Add1;Adra1b;Afmid;Ahcy;Ahdc1;Akr1c13;Amotl2;Angptl3;Apoa2;Aqp11;Arhgef19;Asb5;Atp1a3;Bcar1;Bche;Bco2;Bhlhe40;C2cd2;Cadm1;Cd14;Cd99l2;Cers2;Ces2c;Ces4a;Chpt1;Chst13;Chst9;Col27a1;Cpeb4;Csrnp2;Ctnnbip1;Cyp1a1;Cyp2c7;Cyp2d2;Cyp2d4;Cyp3a9;Dcbld2;Def8;Dhdds;Dmgdh;Dpt;Dusp1;Entpd5;Entpd8;Ephb6;Esr1;Ethe1;Etnk2;Evc2;Extl1;Fam8a1;Fgfr3;G0s2;Gcat;Gchfr;Gck;Gda;Gfod2;Ghr;Gja5;Gnat3;Gnmt;Gpam;Gpd1;Gpr137b;Gpt;Gstm2;Gypc;Herc3;Hist1h2bh;Hist1h4b;Homer2;Hrk;Hsd17b6;Hsf4;Il36b;Il4r;Inhbe;Itga5;Iyd;Josd2;Jph4;Kank1;Kank2;Kcnn2;Kdsr;Khk;Kifc3;Lag3;Lamb3;Leap2;Limk2;Lingo4;LOC100361444;LOC367975;LOC502176;LOC688335;LOC691083;Lonrf3;Lrp5;Lrrc20;Lrtm2;Ltbp4;Mab21l3;Manea;Mast3;Mbp;Mettl7b;Mgat4b;Mgll;Mgst3;Micu3;Mid1ip1;Mir22;Mocos;Mxd4;Mycl;Nabp1;Nav2;Ntf3;Obp1f;Olr59;Oplah;Ormdl3;Otub2;P2rx5;P2ry1;Paqr7;Pdgfa;Per2;Perp;Pgm1;Pnliprp2;Ppp1r10;Ppp1r3b;Prss32;Prtg;Ptms;Ptprn;Ptprs;Qdpr;Rab40b;Rcan1;Reep6;RGD1309534;RGD1309676;Rhob;Rhobtb1;Ripk4;Rnf181;Sardh;Scd1;Sgcb;Shroom3;Slc10a2;Slc13a4;Slc16a13;Slc22a4;Slc25a10;Slc2a5;Slc35d1;Slc39a4;Slc41a2;Slco2a1;Spink1;Spink3;Spry4;Sri;St8sia3;Stk40;Stx2;Sult1a1;Sult1b1;Tas1r1;Tcea3;Tecr;Thnsl2;Thrsp;Tjp3;Tmem110;Tmem25;Trpv6;Tsc22d1;Tsku;Ttc21b;Ttc36;Ttll3;Ugt2b17;Vangl1;Vwce;Wdr6;Wfdc21,,Amotl2;Asb5;Bco2;Cd14;Ces2c;Ces4a;Chpt1;Cyp1a1;Dhdds;Dpt;Entpd5;Ethe1;Evc2;G0s2;Gck;Gda;Gja5;Gnat3;Gpam;Gpr137b;Herc3;Hist1h2bh;Hist1h4b;Hsd17b6;Il36b;Inhbe;Iyd;Kank1;Kank2;Kcnn2;Kifc3;Lamb3;Leap2;LOC100361444;LOC691083;Lonrf3;Lrtm2;Mbp;Mid1ip1;Mocos;Mycl;Otub2;P2rx5;Perp;Ppp1r3b;Reep6;RGD1309676;Rhob;Scd1;Slc39a4;Sri;Stx2;Tcea3;Tjp3;Tsc22d1,,Adam15;Afmid;Amotl2;Arhgef19;Asb5;Atp1a3;Cd14;Ces2c;Ces4a;Dcbld2;Dhdds;Dusp1;Evc2;G0s2;Gck;Gda;Gfod2;Gja5;Gnat3;Gpr137b;Gstm2;Gypc;Hrk;Inhbe;Itga5;Jph4;Kcnn2;Kifc3;Lamb3;Leap2;Limk2;LOC100361444;LOC502176;LOC691083;Lonrf3;Ltbp4;Mbp;Mycl;Nav2;P2rx5;Pdgfa;Perp;Pnliprp2;Reep6;Rhob;Scd1;Sgcb;Slc10a2;Spink3;Sri;Stk40;Tjp3;Tsc22d1;Ttc21b;Vangl1;Wfdc21,Adra1b;Akr1c13;Cyp2c7;Cyp2d2;Cyp2d4;Cyp3a9;Etnk2;Extl1;Gcat;Gpt;Slc25a10;Slco2a1;Ugt2b17;Vwce,Atp1a3;Cadm1;Ces2c;Chst9;Csrnp2;Dcbld2;Dhdds;Evc2;Gpam;Gpr137b;Inhbe;Jph4;Kank2;Kifc3;Lamb3;Limk2;LOC100361444;LOC367975;Ltbp4;Mycl;Nav2;Otub2;P2rx5;Pdgfa;Pnliprp2;Prss32;Ptprn;Rhob;Sgcb;Slc10a2;Sri;Stk40;Tsc22d1;Wfdc21,Afmid;Ahcy;Akr1c13;Angptl3;Bcar1;Bco2;Ctnnbip1;Cyp2d2;Cyp2d4;Cyp3a9;Dpt;Dusp1;Gcat;Gchfr;Gnmt;Gpt;Gstm2;Iyd;Khk;Mettl7b;Ppp1r10;Qdpr;Slco2a1;Spink1;Spry4;Tsku;Ttc36;Ugt2b17,Chst9;Cyp2c7;Gpam;Itga5;Jph4;Kank2;Kcnn2;LOC100361444;LOC691083;Lrp5;Mbp;Mid1ip1;Mycl;Otub2;P2rx5;Perp;Prss32;Reep6;Slc39a4;Stx2;Tjp3;Wfdc21,Cyp2d2;Paqr7;Pdgfa;Rhobtb1,G0s2;Inhbe;Mgll;Paqr7,Ppp1r3b;Qdpr;Thrsp,Inhbe,Dusp1;Etnk2,Inhbe;Paqr7,Gnmt,Entpd5;Inhbe;Paqr7,Inhbe;Paqr7,Bhlhe40;Cd14;Gstm2;Mgst3;Pdgfa;Per2;Spink3;Sult1a1,Afmid;Ahcy;Bco2;Chpt1;Dusp1;Ethe1;Gchfr;Gck;Ghr;Gnmt;Gpd1;Hist1h2bh;Kank1;Mgll;Mocos;Paqr7;Ppp1r3b;Ptms;Qdpr;Sardh;Scd1;Slc41a2;Wfdc21,Bhlhe40;Cadm1;Cd14;Mgst3;Pdgfa;Per2;Ripk4;Spink3,Afmid;Ahcy;Bco2;Chpt1;Entpd8;Ethe1;Gchfr;Gck;Ghr;Gnmt;Gpd1;Hist1h2bh;Hsd17b6;Iyd;Josd2;Khk;Mgll;Mocos;Ppp1r3b;Ptms;Qdpr;Sardh;Scd1;Slc41a2;Tcea3;Tecr;Thrsp;Tmem25;Wfdc21,Chpt1;Gck;Inhbe;Khk;Mgll;Ormdl3;Ppp1r3b,Hsd17b6,Dpt;Entpd5;Mgst3;Paqr7;Pdgfa,Dusp1;Etnk2;Josd2;Tmem25;Ttc36,Mgll;Paqr7;Slc25a10,Gnmt;Wfdc21,Ahdc1;Bhlhe40;Col27a1;Ephb6;Etnk2;Gck;Gpam;Hsf4;Mbp;Ppp1r3b;Rhobtb1;Sardh;Shroom3;St8sia3;Tcea3;Tmem25;Trpv6;Tsku,Dpt;Gpr137b;Rhob
diff_w4_down,,,,Igf1;Igfbp2,Acsl4,Fgl1;Igf1;Igfbp2,,Abcc5;Abcg2;Abcg8;Abhd5;Ablim3;Acsl4;Adck5;Ak6;Amigo1;Aox3;Apoa5;Arhgef3;Armcx3;Asl;Atp8b1;Cav2;Ccdc152;Ccnd1;Chmp4c;Cks1b;Ctr9;Dab1;Dap;Egfr;Exosc2;Fabp7;Fastkd1;Fgl1;Fmo3;Fn1;Glyatl1;Got1;Gpatch4;Gys2;Hemk1;Ifitm3;Igf1;Igfals;Igfbp2;Il6st;Irs2;Klkb1;Lck;Lect2;Lepr;LOC299282;Lpin1;Lysmd2;Mug1;Ndufaf4;Nol8;Nop56;Nt5c3b;Nup98;Pla2g2d;Plcxd2;Plekhb1;Pnpla7;Ppargc1a;Prelid2;Prps1;Ptpn9;Qrsl1;Qsox1;Rab30;Rarres1;RGD1309362;RGD1562284;Rhpn2;Rpl23;Sat2;Slc1a3;Slc25a15;Slc30a3;Socs2;Sult1c3;Tlr2;Tmem144;Tnfrsf9;Tpst1;Uap1l1;Wsb1;Xirp2;Xrcc2;Zfp202;Zfp593;Zfp955a,,Abcg8;Ablim3;Amigo1;Aox3;Apoa5;Arhgef3;Armcx3;Asl;Atp8b1;Cav2;Dab1;Egfr;Fabp7;Fn1;Got1;Igf1;Igfals;Klkb1;Lect2;LOC299282;Nup98;Plcxd2;Plekhb1;Pnpla7;Prelid2;Qsox1;Sat2;Slc1a3;Slc30a3;Socs2;Sult1c3;Tmem144;Tpst1;Uap1l1;Wsb1,Lysmd2;Ndufaf4;Nop56;Nt5c3b;Tnfrsf9;Xirp2;Zfp955a,Abcg8;Acsl4;Adck5;Amigo1;Aox3;Apoa5;Asl;Ccdc152;Dab1;Egfr;Fabp7;Fmo3;Fn1;Glyatl1;Got1;Gys2;Igf1;Igfals;Igfbp2;Klkb1;Lect2;Lepr;LOC299282;Mug1;Nup98;Plcxd2;Plekhb1;Pnpla7;Ppargc1a;Prelid2;Rarres1;Sat2;Slc1a3;Slc25a15;Slc30a3;Socs2;Sult1c3;Tmem144;Tpst1,Abcg2;Lck;Lepr;Nop56;Pla2g2d;Rab30;RGD1562284;Tnfrsf9;Xirp2;Zfp202,Abcg8;Acsl4;Amigo1;Aox3;Apoa5;Asl;Ccdc152;Cks1b;Dab1;Egfr;Fabp7;Fmo3;Glyatl1;Got1;Igf1;Igfals;Il6st;Irs2;Klkb1;LOC299282;Lpin1;Mug1;Pnpla7;Ppargc1a;Rarres1;Slc25a15;Sult1c3;Tpst1,Tnfrsf9,Abcg8;Ablim3;Aox3;Apoa5;Ccnd1;Dab1;Egfr;Fmo3;Got1;LOC299282;Plcxd2;Prelid2;Sat2;Tmem144;Tpst1,,,,,,,,,Apoa5;Ccnd1;Fmo3;Igfbp2;Ndufaf4;Tlr2;Uap1l1,Adck5;Aox3;Asl;Egfr;Igf1;Igfals;Klkb1;Plekhb1;Qsox1,Apoa5;Ccnd1;Fmo3;Igfbp2;Ndufaf4;Socs2;Tlr2;Uap1l1,Adck5;Aox3;Asl;Dap;Egfr;Ifitm3;Igf1;Igfals;Klkb1;Plekhb1;Pnpla7;Qsox1,Pnpla7,Igfbp2;Wsb1,Uap1l1,Wsb1,Uap1l1,Egfr;Fmo3,Abcg8;Chmp4c;Dab1;Igfals;Sat2,Fastkd1;Got1;Lepr;Ppargc1a;Rab30;Socs2
diff_w8_up,,,Fgf21;H2afy2;Inhbe,Cyp1a1,Fasn;Fgf21;H2afy2;Inhbe;Stxbp1;Zdhhc2,Cyp1a1,Amotl2;Asb5;Bco2;Cd14;Ces2c;Ces4a;Chpt1;Cyp1a1;Dhdds;Dpt;Entpd5;Ethe1;Evc2;G0s2;Gck;Gda;Gja5;Gnat3;Gpam;Gpr137b;Herc3;Hist1h2bh;Hist1h4b;Hsd17b6;Il36b;Inhbe;Iyd;Kank1;Kank2;Kcnn2;Kifc3;Lamb3;Leap2;LOC100361444;LOC691083;Lonrf3;Lrtm2;Mbp;Mid1ip1;Mocos;Mycl;Otub2;P2rx5;Perp;Ppp1r3b;Reep6;RGD1309676;Rhob;Scd1;Slc39a4;Sri;Stx2;Tcea3;Tjp3;Tsc22d1,,Acaa1b;Acsl3;Acvr1c;Adamdec1;Adh1;Adh7;Agap3;Ak4;Akr1d1;Akr7a3;Aldh1a1;Aldh1l1;Amer1;Amotl2;Angptl4;Anxa5;Anxa8;Apitd1;Ar;Arl4d;Arpp19;Arrdc3;Arse;Asah2;Asb5;Bag4;Bco2;Bst2;Btg1;Cacna2d4;Car12;Car2;Ccdc112;Ccng1;Cd14;Cd1d1;Cd36;Cd81;Cdkn1a;Cdkn2b;Ces2a;Ces2c;Ces4a;Chpt1;Chrna2;Cidec;Ckap2;Clcn6;Coro2a;Cry1;Cryl1;Cryz;Csmd1;Cubn;Cxcl9;Cyp1a1;Cyp26b1;Cyp2b2;Cyp2c22;Cyp2c6v1;Dact2;Dapp1;Dbi;Derl3;Dhdds;Dpt;Efna1;Ehhadh;Elovl6;Entpd5;Ephx1;Ethe1;Evc2;Fam49a;Fasn;Fgf21;G0s2;Gale;Galr3;Gapdh;Gbe1;Gck;Gda;Gdf15;Gdnf;Gja5;Gnat3;Gng10;Gpam;Gpr137b;Gpx1;Gsta1;Gsta3;Gstk1;Gstm1;Gstt1;H2afy2;Hcn3;Herc3;Hfe2;Hibch;Hist1h2bh;Hist1h4b;Hnf4g;Hs6st2;Hsd17b6;Hspa4l;Ifi27l2b;Ikbke;Il36b;Inhba;Inhbe;Iyd;Jade2;Jakmip2;Jund;Kank1;Kank2;Kcnn2;Kifc3;Krt23;Lamb3;Leap2;Lhx8;Lilrb4;Lin37;Lnx2;LOC100361444;LOC100363193;LOC498836;LOC691083;Lonrf3;Lpar6;Lrrc19;Lrtm2;Mbp;Mcf2l;Med12l;Megf9;Mgmt;Mical2;Micalcl;Mid1ip1;Mif;Mk1;Mocos;Mok;Msl3l2;Mybl1;Mybl2;Mybph;Mycl;Nme1;Nrg1;Nuak1;Nudt7;Nup62;Olr57;Otub2;P2rx5;Pak1;Paqr3;Parp16;Pax8;Pbk;Perp;Pex11a;Pgam1;Pgd;Pgk1;Pgpep1;Pir;Plbd1;Plin2;Plin5;Plxna2;Pnpla5;Pnrc1;Ppp1r3b;Ppp2r1b;Prkca;Prkci;Psat1;Ptk2b;Ptprt;Ralyl;Reep6;RGD1305464;RGD1306151;RGD1309676;RGD1311756;RGD1560010;RGD1561849;RGD1562136;RGD1565355;RGD1565616;Rgs16;Rgs7;Rhob;Rnf11l1;Rp1;Rpa1;Rrm2b;Rtn4;Scd1;Scly;Sdr16c6;Sesn3;Sh3bgrl2;Slc17a3;Slc25a47;Slc39a4;Slc45a3;Sntb1;Snx12;Spsb4;Sri;Stk24;Stx2;Stxbp1;Sult2a2;Sult2a6;Sult2b1;Svil;Tcea3;Tcf7l1;Tex36;Tf;Tgm2;Thbs4;Tjp3;Tk1;Tkfc;Tkt;Tmcc3;Tmem252;Tmem97;Tmie;Tp53i3;Trpm2;Tsc22d1;Tyms;Unc5c;Unc5cl;Usp29;Ykt6;Ypel2;Zdhhc2,,Acaa1b;Acsl3;Adamdec1;Aldh1a1;Amer1;Amotl2;Angptl4;Anxa5;Anxa8;Arl4d;Arse;Asah2;Asb5;Btg1;Car2;Ccdc112;Ccng1;Cd14;Cd36;Cdkn2b;Ces2c;Ces4a;Chrna2;Cidec;Ckap2;Clcn6;Coro2a;Csmd1;Cubn;Cyp26b1;Cyp2b2;Cyp2c22;Dact2;Dhdds;Elovl6;Evc2;Fam49a;Fasn;Fgf21;G0s2;Gale;Galr3;Gapdh;Gck;Gda;Gdf15;Gja5;Gnat3;Gpr137b;Gsta3;H2afy2;Hcn3;Hs6st2;Hspa4l;Ifi27l2b;Ikbke;Inhbe;Jund;Kcnn2;Kifc3;Krt23;Lamb3;Leap2;Lilrb4;Lnx2;LOC100361444;LOC100363193;LOC498836;LOC691083;Lonrf3;Mbp;Med12l;Megf9;Mical2;Micalcl;Mybl1;Mybph;Mycl;Nme1;Nrg1;Nuak1;Nudt7;P2rx5;Pak1;Paqr3;Parp16;Pax8;Pbk;Perp;Pgam1;Pgd;Plin2;Plin5;Pnpla5;Pnrc1;Ppp2r1b;Prkca;Prkci;Psat1;Ptk2b;Ptprt;Ralyl;Reep6;RGD1305464;RGD1306151;RGD1560010;RGD1561849;RGD1562136;RGD1565355;Rhob;Rnf11l1;Rp1;Rtn4;Scd1;Sdr16c6;Sesn3;Sh3bgrl2;Slc25a47;Sntb1;Snx12;Spsb4;Sri;Stxbp1;Sult2a2;Sult2a6;Svil;Tex36;Tgm2;Thbs4;Tjp3;Tk1;Tkt;Tmcc3;Tmem252;Tp53i3;Tsc22d1;Tyms;Unc5c;Ypel2;Zdhhc2,Lpar6,Aldh1a1;Anxa5;Anxa8;Car12;Car2;Ccng1;Cd36;Cdkn2b;Ces2a;Ces2c;Coro2a;Cubn;Cxcl9;Dhdds;Elovl6;Evc2;Fgf21;Gpam;Gpr137b;Gsta3;H2afy2;Hs6st2;Ikbke;Inhbe;Kank2;Kifc3;Krt23;Lamb3;Lilrb4;LOC100361444;LOC498836;Msl3l2;Mybl1;Mybl2;Mybph;Mycl;Nrg1;Nuak1;Nudt7;Otub2;P2rx5;Pak1;Pex11a;Plin2;Ppp2r1b;Prkca;Psat1;Ptk2b;Ralyl;RGD1311756;RGD1561849;RGD1565355;Rhob;Rnf11l1;Rp1;Rtn4;Sesn3;Sh3bgrl2;Snx12;Spsb4;Sri;Stxbp1;Sult2a2;Sult2a6;Tex36;Tgm2;Tsc22d1;Unc5cl;Zdhhc2,Akr7a3;Bco2;Cd81;Cry1;Cryl1;Dpt;Gstm1;Iyd;Jakmip2;Megf9;Slc45a3,Agap3;Anxa5;Arl4d;Bst2;Btg1;Cd36;Ces2a;Efna1;Elovl6;Fasn;Gale;Gapdh;Gpam;Gsta3;H2afy2;Hcn3;Hfe2;Hspa4l;Ikbke;Kank2;Kcnn2;Lnx2;LOC100361444;LOC691083;Mbp;Med12l;Mical2;Mid1ip1;Mycl;Nme1;Nrg1;Nuak1;Otub2;P2rx5;Pak1;Perp;Pgd;Plbd1;Plxna2;Ppp2r1b;Psat1;Ptk2b;Reep6;RGD1305464;RGD1565355;Rnf11l1;Rp1;Rpa1;Slc39a4;Sntb1;Snx12;Spsb4;Stx2;Stxbp1;Sult2a6;Svil;Tjp3;Tmcc3;Tmem252;Tmem97;Tmie;Ypel2,,Acaa1b;Ephx1;G0s2;Inhbe;Pex11a,Aldh1l1;Arl4d;Elovl6;Fasn;Ppp1r3b,Aldh1a1;Ephx1;Inhbe;Pex11a;Plin2,,Aldh1a1;Ephx1;Inhbe;Pex11a,,Aldh1a1;Cidec;Cxcl9;Entpd5;Ephx1;Inhbe;Pex11a,Aldh1a1;Ephx1;Inhbe;Pex11a,Adh7;Cd14;Cidec;Fgf21;Gsta1;Krt23;Mif;Pex11a;Pgd;Psat1;Slc25a47;Tgm2;Tmem97,Adh1;Aldh1l1;Bco2;Bst2;Chpt1;Cryz;Ehhadh;Ethe1;Gck;Gstt1;Hist1h2bh;Inhba;Kank1;Mocos;Nudt7;Ppp1r3b;Scd1;Slc45a3;Spsb4;Tmie,Adh7;Aldh1a1;Car2;Cd14;Cd1d1;Cidec;Fam49a;Gsta1;Krt23;Nme1;Pex11a;Pgd;Psat1;Tmem97,Aldh1l1;Angptl4;Arl4d;Bco2;Bst2;Chpt1;Efna1;Elovl6;Ethe1;Gale;Gck;Gstt1;Hist1h2bh;Hsd17b6;Inhba;Iyd;Mocos;Nudt7;Ppp1r3b;Scd1;Scly;Slc45a3;Spsb4;Tcea3;Tmie,Anxa5;Chpt1;Cidec;Fgf21;Gale;Gck;Gng10;Inhbe;Pex11a;Ppp1r3b;Slc45a3,Ak4;Hsd17b6,Aldh1a1;Anxa5;Cidec;Dpt;Entpd5;Ephx1;Gsta1,Inhba;Scly;Slc45a3;Tmie,Anxa5;Cdkn1a;Cidec;Ehhadh;Ephx1;Fgf21;Gapdh;Krt23;Pex11a;Plin2;Rgs16,,Acsl3;Acvr1c;Cryl1;Fasn;Gbe1;Gck;Gpam;Hfe2;Mbp;Ppp1r3b;Slc45a3;Tcea3,Angptl4;Dpt;Fam49a;Gpr137b;Rhob;Sh3bgrl2
