,SYMBOL,ENTREZID
1,Rtn1,116644
2,Mras,25482
3,Thy1,24832
4,Fads2,83512
5,Tspan3,300733
6,Ankrd52,362811
7,H2afy2,361844
8,P4ha2,360526
9,Sqle,29230
10,Ros1,25346
11,Ksr1,360573
12,Mrc2,498011
13,Galnt18,293181
14,Cachd1,298267
15,Gna12,81663
16,Car12,363085
17,Rasal2,304893
18,Thsd7a,500032
19,Hpgd,79242
20,Ugt2a1,63867
21,Grid1,79219
22,Efna1,94268
23,Cd14,60350
24,Pc,25104
25,Itih3,50693
26,Tfpi,29436
27,Slc16a1,25027
28,Plscr4,300900
29,Alg14,362031
30,P4ha1,64475
31,Rbms1,362138
32,Slc51a,303879
33,Slc13a4,503568
34,Fggy,298250
35,Gtf2b,81673
36,Gpr137b,289287
37,Ergic2,297728
38,Tnik,294917
39,Ctnnal1,298019
40,Rchy1,289508
41,Tm7sf3,297725
42,Fuca2,292485
44,Ska2,287598
45,B3galt2,686081
46,Zfp644,305127
47,Stk24,361092
48,Bambi,83837
49,Cit,83620
50,Chpt1,362866
51,Cenpn,361416
52,Scoc,364981
53,Gtpbp8,360714
56,Ppp1cb,25594
57,Shank3,59312
58,Shc2,314612
59,Mknk1,500526
60,Dgat2,252900
61,Csad,60356
63,Flt4,114110
66,Thbs3,681309
67,Clstn3,171393
68,Arhgef15,287418
69,Zbtb48,362668
70,Acap3,313772
71,Slc6a13,171163
73,Ist1,307833
74,Abcb11,83569
75,Cdc37l1,293886
76,Sar1b,287276
77,Tmem9b,293415
