NAME	W4_WT3	W4_WT2	W4_WT1	W4_KO3	W4_KO2	W4_KO1
A1BG	2.601556376	2.764191128	3.416163993	2.586776728	4.728636487	1.091344821
A1CF	12.07347177	12.18368445	12.38794728	12.79293224	12.75875524	12.95448044
A1I3	17.90957793	17.91648584	17.95012086	17.84388547	17.85579711	17.58525418
A2M	12.92433376	13.46297559	14.07534603	12.33117847	12.11080189	12.82175513
A3GALT2	5.063685277	4.200144122	3.242697599	4.145011625	3.961525733	4.416370997
A4GALT	0	1.730082539	0	0	0	0
AA926063	4.719569641	5.600153573	2.545350488	5.10365147	4.914463692	3.621437249
AAAS	7.368496832	7.244462962	7.442450925	7.08075631	7.152117897	6.970161326
AACS	6.041953752	6.253945962	5.694705927	6.763707984	6.207399581	5.565589566
AADAC	10.80287687	11.05400604	11.29303672	11.51730094	10.84173231	11.61181685
AADAT	11.81632957	11.83591105	11.97592613	12.26837727	12.38005947	12.48669238
AAED1	8.645548703	8.524810735	8.97410066	8.387313683	8.802739423	8.688544497
AAGAB	7.871553396	7.788943129	7.630289692	7.762609513	8.104684831	7.768841448
AAK1	9.044991517	8.912513962	8.832019517	8.929456473	9.111598883	9.006604993
AAMDC	7.761264547	7.796482194	7.966541313	7.929945828	7.718172199	8.015724133
AAMP	11.16262641	11.20821977	11.33753983	11.21598892	11.48056921	11.23651518
AANAT	2.337861867	1.730082539	0	0.875458979	2.693119985	1.705514055
AAR2	8.585891787	8.573892341	8.595408829	8.588385436	8.670260107	8.331481634
AARD	1.009979211	1.110185477	2.545350488	1.808910114	1.900548975	1.705514055
AARS	12.11528238	12.10162095	12.39573894	12.25390531	12.46621472	12.13865675
AARS2	8.491509439	8.608567615	8.617788656	8.537446313	8.711610248	8.475927302
AARSD1	8.323608105	8.450299578	8.174082844	8.372857634	8.724098557	8.351597311
AASDHPPT	9.925256276	9.793491954	9.761753597	9.855743925	9.545466107	9.931943324
AASS	12.80288528	12.86155021	12.36563962	12.38709502	12.29498519	12.51623156
AATF	8.204697329	8.261651972	8.317709188	7.800908822	8.165468899	7.983859001
AATK	5.691927838	5.852447496	5.311066918	5.697943103	5.726218034	5.84640006
ABAT	11.54687138	11.44668604	11.17575206	12.18187812	11.71016623	12.08409604
ABCA1	12.68121957	12.60536669	12.70231456	12.79038502	12.59969789	12.44429431
ABCA13	2.601556376	3.187631247	2.210427682	1.416398383	2.883286281	2.134936143
ABCA17	4.973448833	4.662969592	5.172802327	4.956302941	4.194756734	3.621437249
ABCA2	10.18352232	10.13715857	10.34683208	10.47993354	10.46860382	10.52141648
ABCA4	6.28641985	6.49541563	6.077149329	6.828706122	6.276858912	6.40384195
ABCA5	7.51163322	7.711302978	7.316762162	7.790069516	8.056120592	7.660132554
ABCA7	6.839894012	6.653219458	6.697619012	6.561849483	6.68723741	6.930591177
ABCA8A	11.82159269	11.56727428	11.83498926	11.23159558	11.56325888	11.69535337
ABCB10	9.28430035	9.088645791	8.866071295	9.497695742	9.713024549	9.519066528
ABCB11	14.17676191	14.44623371	14.60936056	14.32123721	14.55007538	14.65101071
ABCB1A	9.553192944	9.325934785	9.96045885	9.522465116	9.655507058	9.503418544
ABCB1B	8.008496785	8.250716738	8.7654206	8.030074462	7.974848399	8.248091063
ABCB4	13.19933037	12.78805627	13.0305732	12.2400336	12.32193724	12.3906218
ABCB6	10.14915525	10.31434523	10.61169034	10.53371925	10.60483349	10.53137084
ABCB7	9.804502318	9.73584281	9.864524532	10.22718153	10.08993377	10.14718847
ABCB8	8.499614801	8.629823926	8.695597866	8.553558842	8.416936259	8.419872289
ABCB9	4.719569641	4.595424873	5.437231716	5.068201058	4.914463692	5.029466898
ABCC1	7.877785718	7.410876674	7.520544834	7.566949929	7.524721998	7.627506576
ABCC10	8.149102337	8.325577914	8.149715181	8.070946976	8.416936259	8.159583046
ABCC12	0	1.110185477	0	2.774447952	1.496906242	0
ABCC2	13.21495233	13.25743237	13.31246491	12.6475722	12.91907819	12.17332841
ABCC3	10.76134532	11.2292623	10.97281585	11.01072108	10.56373554	10.66296187
ABCC4	8.008496785	8.223010433	8.674401758	8.578970345	8.784968278	8.046900635
ABCC5	9.321354759	9.679875782	9.312705538	8.32859951	8.466089754	8.165276754
ABCC6	13.04520012	13.13659416	13.16259127	13.20690053	13.56170587	13.50239752
ABCC8	5.604440782	4.905367734	6.35804656	6.168728076	5.890344161	6.730062248
ABCC9	9.353014594	9.272875186	9.400519062	10.22517108	9.509846484	9.575745453
ABCD1	9.487467519	9.312851708	9.207441262	10.24117676	10.07903721	10.12252355
ABCD2	8.865336977	10.09498308	10.13197329	8.786806712	8.956184947	8.457483241
ABCD3	13.35806721	13.05113547	13.27052784	13.38008751	13.64236039	13.40905272
ABCD4	7.075023775	7.319641021	7.13008768	7.40588614	7.036715751	7.813035104
ABCE1	10.97698197	11.0904953	11.20782443	10.76511119	10.6828761	10.74509508
ABCF1	10.28783093	10.40467329	10.15357955	10.1957003	10.30262752	10.25257344
ABCF2	9.972611183	9.943635905	10.00358799	9.818891412	9.977077336	9.739270664
ABCF3	10.14915525	10.19819642	10.11948001	9.952487476	10.33555551	10.03349447
ABCG1	9.397070695	9.389627564	8.581812373	8.966031851	9.005615189	8.680615062
ABCG2	8.390517597	8.381788013	8.949607694	7.502010669	7.066443178	7.16461964
ABCG3	10.91090366	10.79832226	11.42008339	11.10557291	11.85488876	11.51814735
ABCG3L1	4.973448833	5.529528178	4.78692284	4.83499049	5.117437928	4.9259456
ABCG3L2	3.603205314	5.250942161	5.515601105	4.748050112	4.870202341	6.151878865
ABCG3L3	6.558836263	6.952168163	7.380974874	7.302896876	6.699937555	7.470806864
ABCG3L4	0	5.565273005	0	4.956302941	0	6.105249313
ABCG4	1.009979211	2.764191128	1.143638206	2.11715197	3.201736911	1.091344821
ABCG5	10.22077169	9.234537101	10.29361156	9.118950019	8.527939801	8.69249293
ABCG8	7.914624633	6.79545175	8.757379403	6.151893282	4.957407444	5.632884761
ABHD1	10.48442164	10.12672972	10.5136534	11.08021538	10.53478589	10.44507069
ABHD10	7.462719835	7.277162961	7.621456489	7.071834134	7.224223738	7.385574828
ABHD11	7.179623064	7.586397779	7.56729046	7.560585973	7.686615583	7.433546163
ABHD12	8.985634647	8.837757821	8.97410066	9.482627388	9.205881524	9.229502788
ABHD12B	2.01494305	1.110185477	1.773468794	1.808910114	3.201736911	3.621437249
ABHD13	10.45450382	10.16071659	10.15204693	10.19672662	10.10672207	9.842379375
ABHD14A	7.641841414	7.595069775	7.520544834	7.659186671	7.932428336	7.791107491
ABHD14B	12.2339012	12.43801685	12.52953407	12.49678204	12.30981931	12.42869709
ABHD15	9.910133331	9.799132167	9.972665544	10.07028125	10.37073029	10.33444976
ABHD16A	9.28430035	9.192297573	8.938982064	9.318832045	9.373802317	9.412986443
ABHD16B	1.009979211	0	1.143638206	0.875458979	0.934466779	2.465426648
ABHD17A	10.14270015	10.13567334	10.18838775	10.45097986	10.53123703	10.31793091
ABHD17B	8.566731512	8.194761605	8.402652182	8.343503586	8.491879334	8.573358644
ABHD17C	9.96091738	10.0116092	10.21505497	10.06803964	10.1327152	9.911762723
ABHD2	12.90691743	12.33565653	12.38240262	11.67401202	11.84491723	11.60607194
ABHD3	2.824420115	2.991391037	3.570993956	2.586776728	2.474025995	1.705514055
ABHD4	10.10998417	9.821475067	10.00867791	10.07140075	9.679751957	9.729695868
ABHD5	9.485428334	9.681912443	9.908758314	9.006393029	9.080370367	8.990659375
ABHD6	10.58020962	10.57872189	10.48958439	10.43975393	10.41183835	10.66396767
ABHD8	5.106771611	4.662969592	5.553245107	5.577040002	5.423392275	5.530727017
ABI1	10.23297745	10.38730411	10.30330967	10.43715088	9.996510527	10.16292632
ABI2	8.101966018	8.094354778	7.819819652	7.964100034	8.051173031	8.311081511
ABI3	8.781395586	8.401696975	7.472233709	8.259557533	8.284078162	8.046900635
ABL1	9.809401194	9.845295669	9.834263449	9.978977403	10.08025201	10.05205259
ABL2	8.314447708	8.069678277	8.074040898	7.82765606	8.513623592	8.295589856
ABLIM2	5.019272444	5.206360096	5.172802327	5.172041378	4.957407444	5.216579792
ABLIM3	10.72464627	10.61648068	10.07972625	9.138309621	8.600854211	8.503158672
ABO	5.148608393	4.45003747	4.78692284	4.655532605	4.456624486	4.9259456
ABO2	1.598252835	0	1.143638206	1.416398383	0.934466779	1.091344821
ABR	8.558995579	8.464566711	8.267635091	8.279069625	8.15628258	8.101374832
ABRA	1.009979211	2.162275131	0	2.11715197	2.474025995	1.091344821
ABRACL	8.547313342	8.431054571	8.344795028	8.298321339	8.179139626	7.917936252
ABT1	7.295886828	7.695260659	7.872886272	7.629091589	7.953794273	7.791107491
ABTB1	8.950586728	9.151726048	9.353284502	9.318832045	9.349826691	9.541130415
ABTB2	10.48951776	10.40343955	10.23690719	10.21608923	10.52322005	10.41432065
AC1576	8.483358283	8.057179921	7.576460539	7.874585895	7.692982368	7.461581519
ACAA1A	12.64216739	12.7625417	12.94443679	13.06489731	12.9587529	12.92814099
ACAA1B	10.90481307	10.67184065	11.83403378	11.72256294	11.23054971	11.57057733
ACAA2	14.20870943	14.18408065	14.3972372	14.80052195	14.4052822	14.51695169
ACACA	10.46385523	10.60579291	10.77094239	11.01828759	11.42905727	11.75462313
ACACB	10.0980224	9.600271682	9.595799251	10.58635496	10.55851499	10.18971195
ACAD10	10.49358173	10.72416668	10.66209235	10.4569886	10.39631594	10.65185161
ACAD11	13.30456742	13.3192535	13.22587893	13.75509733	13.62394377	13.55104992
ACAD9	10.23540626	10.3326097	10.35618008	10.72725769	10.51156074	10.79461017
ACADL	13.65900288	13.43245346	13.47727704	13.93352977	13.44018305	13.4123483
ACADM	13.88494515	13.75628971	13.84136514	14.24478019	13.97606108	13.98509526
ACADS	11.65741422	11.7448386	11.7217719	12.0392656	11.87812391	11.91740252
