NAME	W16_WT3	W16_WT2	W16_WT1	W16_KO3	W16_KO2	W16_KO1
A1BG	5.335739542	4.471351122	4.309044931	0	1.111140522	1.969127164
A1CF	12.5869999	12.58722395	12.63760153	12.35375348	12.62871265	11.33591392
A1I3	19.06866326	18.47433272	18.92869666	15.87693827	17.67162776	16.08996243
A2M	7.856976563	8.00537419	9.754883677	14.55993159	10.04541676	11.58258241
A3GALT2	4.709428179	4.077831513	5.084865515	7.44462445	5.795135349	7.410138214
A4GALT	0	2.436434845	0	0	0	1.557552786
AA926063	3.979045805	4.995085103	5.528986053	5.389620273	5.910932631	4.048613644
AAAS	7.371996427	7.390704789	7.189141716	7.42078438	7.392863019	7.727064196
AACS	5.602585586	5.378505481	5.771971652	6.355640801	5.457004868	6.753481019
AADAC	10.45990148	10.38506831	10.62759271	10.33478326	10.6393992	9.907097288
AADAT	12.25130864	12.39989388	12.29534607	11.45651471	11.91167019	10.54273788
AAED1	8.973292267	8.748011511	8.948780555	8.862364748	8.854073837	9.23021848
AAGAB	7.801458506	7.949807757	7.633961975	8.176692785	8.06521474	8.418238314
AAK1	9.054198435	9.044162102	8.904134193	9.005475539	9.065646032	8.81986467
AAMDC	7.955643257	7.763133918	7.849441366	7.088907917	7.441818448	6.402112773
AAMP	11.53367245	11.48479034	11.47994554	11.24822504	11.32928201	11.26761196
AANAT	0	0.912730213	1.527180285	1.537707601	2.495862459	1.969127164
AAR2	8.834976453	8.665746721	8.516293397	8.329620465	8.475774099	8.438585292
AARD	1.401101906	1.867032381	0.956881746	3.634589598	0	0.97949169
AARS	12.73266788	12.71903277	12.73202786	12.30547735	12.7238216	12.73718146
AARS2	8.486815017	8.568478615	8.30072174	8.068335425	8.393550295	7.981216633
AARSD1	8.534416745	8.48919596	8.531050193	8.355002003	8.332552618	8.418238314
AASDHPPT	9.693626764	9.791574242	9.829900431	9.452185765	9.494778683	9.460582629
AASS	12.14798525	11.73315275	11.88256339	10.68094738	11.7190786	11.42681732
AATF	8.486815017	8.506805783	8.41650941	8.010943659	8.512903755	8.85055957
AATK	6.204618655	5.888789993	6.161549876	6.304446256	6.381484282	5.714351035
ABAT	11.89551311	11.70634895	11.7599084	11.66367863	11.82851435	10.38917056
ABCA1	12.86496736	12.96865502	13.1454648	12.87489157	12.70414149	12.1242319
ABCA13	2.098306512	2.436434845	0.956881746	3.741103698	3.65553904	1.969127164
ABCA17	3.979045805	3.831783288	4.616342735	4.254111499	4.850195558	3.284800613
ABCA2	10.31068653	10.14529459	10.02886029	10.69426683	10.87865272	11.48079296
ABCA4	6.297843004	6.070289782	6.305826745	7.232768698	6.703966577	7.098536191
ABCA5	7.600617598	7.56892467	7.505359714	7.994886835	8.185077993	8.486278216
ABCA7	6.705771022	6.281450143	6.585745135	7.078787307	6.319963231	6.559032473
ABCA8A	12.62460014	12.54842614	12.84429209	11.71277089	11.93451338	11.98591256
ABCB10	8.767765817	8.939125734	9.094984723	9.045000236	9.01478142	9.064672206
ABCB11	13.86497645	13.96856503	14.257498	13.77382325	14.06430611	14.09784158
ABCB1A	9.615297445	9.738901032	10.1886322	9.937024015	9.768652131	11.68278749
ABCB1B	10.43788232	9.609590029	8.606139998	13.20436515	12.84570121	15.32518161
ABCB4	12.36533046	12.58370196	11.9011419	11.93170861	12.05897977	12.50992222
ABCB6	10.29443999	10.24099239	10.21970706	9.794336059	9.848888657	9.456597441
ABCB7	10.05135418	10.1731331	10.47569093	9.543327558	9.759025939	9.355354599
ABCB8	8.683900133	8.739099228	8.97599881	8.736042728	8.644203292	8.816758953
ABCB9	3.875315	3.534965263	3.092356064	4.631779526	3.782597136	2.55061821
ABCC1	7.717711475	7.595502588	7.372379461	8.748865321	7.95486415	8.401751559
ABCC10	8.338675501	8.119656645	8.160659443	7.636233945	7.988205485	8.225610243
ABCC12	0.629483215	0	2.512365744	3.257761394	1.731325344	0.97949169
ABCC2	15.07263264	14.95647561	14.88721087	12.7000242	13.62078058	13.37059964
ABCC3	7.100196343	7.405801168	7.444304358	9.894381811	8.828529828	10.1632943
ABCC4	8.362848772	8.696764743	8.447953687	8.670162434	8.252489653	8.442620477
ABCC5	7.999475835	7.939470741	8.33896216	8.923021361	7.934483111	8.497959105
ABCC6	13.38029687	13.31845608	13.27507235	12.50690892	12.95281354	11.63465748
ABCC8	7.178553567	6.313823235	5.979870976	6.452882466	7.235163094	6.003716612
ABCC9	9.553626873	9.568255536	9.51246417	10.65222853	9.881194697	10.82598881
ABCD1	10.17460076	9.780034155	10.08494073	10.16100609	10.38408026	9.405830906
ABCD2	2.271746929	4.351720656	5.796607353	3.634589598	2.992946235	4.352999375
ABCD3	13.06396112	13.18317125	12.9067995	13.3387173	13.32086851	12.30354638
ABCD4	7.538302488	7.204692465	6.498337576	6.601667807	7.235163094	7.108729866
ABCE1	11.18858935	11.34835864	11.12557724	11.31603047	11.36905891	11.69298617
ABCF1	10.17186687	10.11576116	10.08993249	10.1645992	10.43090663	10.81435742
ABCF2	10.0778828	9.992433356	9.952810448	9.967512894	10.15076285	10.26135974
ABCF3	9.948884626	10.12946713	10.20482862	9.742386859	9.912793129	9.756396253
ABCG1	8.821084712	8.74207611	9.516177374	9.847463186	8.798771896	9.131187779
ABCG2	7.776480976	7.328688183	8.650738662	7.138472641	8.461600362	6.889768456
ABCG3	11.1780694	10.98922159	10.97182176	10.96679223	11.68644116	11.39072265
ABCG3L1	4.332376827	4.527640964	4.670662222	4.975137147	4.373145633	4.914235237
ABCG3L2	4.445356463	5.034469927	3.825331539	4.686123128	5.378710084	4.282709691
ABCG3L3	6.385407259	6.376468392	5.844651526	7.755395505	7.107471268	7.168424149
ABCG3L4	0	4.221265925	0	4.93081231	0	0
ABCG4	1.672671075	0.912730213	1.527180285	3.634589598	2.495862459	2.963916844
ABCG5	10.27227667	10.42266184	9.802794399	6.038110289	6.459632657	4.352999375
ABCG8	8.311608556	8.848113132	7.855316435	3.257761394	4.290027418	3.133261758
ABHD1	10.29569624	10.64251636	9.840305642	9.56886101	9.652832993	9.098313297
ABHD10	7.17309559	7.010977866	7.640781223	7.355214967	7.507679761	7.482477346
ABHD11	7.648601488	7.263885478	8.179514614	7.615380444	7.828021478	7.740237838
ABHD12	9.316780458	9.121639844	9.122040849	9.588610718	9.01478142	9.032906854
ABHD12B	1.401101906	0.912730213	2.732629329	0.964704723	1.111140522	0
ABHD13	10.26524014	10.17753783	10.33456556	9.96888356	10.06898144	9.652225211
ABHD14A	7.74371819	7.555449816	7.745720908	6.468470762	6.319963231	5.740809143
ABHD14B	12.59709737	12.50636921	12.52738923	11.76103883	12.17174292	11.27328734
ABHD15	9.177893767	8.918221782	9.650632963	9.216353869	9.363724583	7.602753361
ABHD16A	9.18469043	9.142067468	8.967887115	9.145393258	9.282735495	9.059426314
ABHD16B	0.629483215	2.436434845	1.934829529	0.964704723	1.111140522	1.557552786
ABHD17A	10.66968584	10.57900624	10.50214473	10.33371975	10.29362885	10.06070144
ABHD17B	8.672340448	8.705941581	9.104882122	9.113525494	9.147611456	9.348919052
ABHD17C	10.2919242	10.40304743	10.44485188	10.37462619	10.78500164	10.60257002
ABHD2	13.56900631	13.87513328	13.77759434	11.88310256	12.2296951	13.06525533
