NAME	W48_WT1	W48_WT2	W48_WT3	W48_KO1	W48_KO2	W48_KO3
CDK19	8.894408015	8.741578443	8.791816051	9.14316397	8.953168472	8.603129483
CDK2	8.026975397	8.059249491	8.101940141	7.998165263	7.760526064	7.742052744
CDK20	7.638317642	7.647874448	7.509971178	7.631653539	7.692462019	7.366366717
CDK2AP1	9.542598954	9.484849134	9.626048802	9.651102196	9.578287369	9.43158044
CDK2AP2	10.46139246	10.1249777	10.17884465	10.35401648	10.31525242	10.47732292
CDK4	9.561967373	9.636859069	9.592224532	9.621992469	9.606301719	9.767032989
CDK5	7.554849926	7.835894026	7.594407722	7.712783657	7.59143246	7.467412072
CDK5R1	2.45413821	3.365385341	2.69892415	2.151062972	1.584275972	1.763086406
CDK5R2	0	0	0	0	0	0
CDK5RAP1	8.322783547	8.202857756	8.212938596	8.139857515	8.086436713	8.153383987
CDK5RAP2	8.093556503	8.172157381	8.195021822	8.496715922	8.242147468	8.258636451
CDK5RAP3	9.736897011	9.731142912	9.315812553	9.137297819	9.720070494	9.201596287
CDK6	7.332304092	7.602542657	7.053504615	7.527862382	7.265763315	7.615667471
CDK8	9.179962567	9.345046838	8.906354825	9.350055137	9.032395052	9.247781681
CDK9	9.509728973	9.684771065	9.597349005	9.53988507	9.496823346	9.44155012
CDKL1	3.608766926	3.212853641	4.271319905	3.767550324	3.699489053	3.032577782
CDKL2	5.158615371	5.176133828	4.049978903	5.779196781	6.284385512	5.611311028
CDKL3	4.403223806	4.953515418	4.463175915	5.585999237	4.953199629	5.462583347
CDKN1A	11.13994007	9.983322628	11.18504591	9.697685839	11.85966939	10.45657903
CDKN1B	9.422943786	9.431839324	9.552320239	9.357643338	9.181366211	9.007204988
CDKN1C	7.897436567	6.662431998	7.480690585	6.78112875	8.510725561	6.596478945
CDKN2A	0	0	1.50134152	0	0	1.135611989
CDKN2AIP	9.017987217	8.996477263	9.01502045	9.166392924	9.102259766	9.01055748
CDKN2AIPNL	8.516126807	8.731085233	8.815462848	8.7598483	8.664308539	8.603129483
CDKN2B	5.288313647	4.904551263	6.443933901	7.09135712	6.806334205	6.485212514
CDKN2C	5.586119111	4.569705204	4.921099931	5.551125996	5.583954049	5.206077542
CDKN3	3.851955935	3.212853641	3.344159831	2.978762783	2.999098864	2.533182012
CDNF	0	3.365385341	0.937743025	1.102445199	2.321104221	0
CDO1	15.1545268	15.32039717	15.53940369	14.7442589	14.6246219	14.56774979
CDON	9.856752948	9.587301093	9.657463576	9.409671757	9.261066608	9.284248228
CDR2	5.016095032	4.853866736	5.00575896	5.809023031	5.458425118	6.614216785
CDS1	7.466254995	7.369837761	7.587557053	7.230104988	7.39129364	7.268949269
CDS2	9.746333913	9.713483536	9.67857041	9.794046226	9.687221642	9.560684369
CDT1	4.5483925	4.367761675	3.880973266	4.946111347	4.320949692	3.941614295
CDV3	10.67411088	10.60468058	10.57838991	10.4983014	10.31071921	10.52029061
CDX2	1.084039913	1.61727814	0.937743025	0	0	1.763086406
CDX4	1.695961945	0	1.905577195	1.102445199	0.999485134	0
CDYL	8.480380739	8.583353588	8.538341556	8.652895415	8.587687396	8.539571424
CDYL2	5.552085996	5.954306226	6.159785562	6.052881764	5.831878173	6.364642223
CEACAM1	11.92329626	12.28211537	12.17048032	12.40842352	12.76404909	12.86176139
CEACAM10	7.032495955	7.257339001	7.121480788	6.622206489	7.699414756	7.302158039
CEACAM16	2.124292613	2.625245201	3.344159831	2.151062972	3.584018439	2.533182012
CEACAM20	6.043474098	6.09188162	5.60310759	6.535658675	6.246911154	6.465804292
CEACAM6	0	0	0	0	0	0
CEBPA	13.08248221	13.15884707	13.21031258	12.98454328	12.79541549	12.54520831
CEBPB	11.62692229	12.07782699	11.38645094	11.70483546	11.66874129	11.95080019
CEBPD	6.889914494	6.918165459	7.092739416	7.041975246	7.530357114	7.999921189
CEBPE	2.948560724	1.61727814	1.905577195	3.64060134	2.806472182	2.804381396
CEBPG	10.27314344	10.24292241	10.28428654	10.34259035	10.33324417	10.12504333
CEBPZ	10.2587084	10.44263348	10.28851703	10.0636305	10.26926624	10.09377553
CECR2	8.174080802	7.966873322	8.721589473	7.991677488	8.639217603	7.858252512
CECR5	8.585066799	8.360939867	8.324269195	8.16313934	8.307312364	8.473083749
CEL	4.241796525	2.848772191	3.344159831	1.720000904	1.584275972	2.533182012
CELA1	6.876225658	7.025109614	6.694034262	6.951268255	6.699419709	6.666158166
CELA2A	3.959727023	4.853866736	3.344159831	3.64060134	4.320949692	3.402850338
CELA3B	2.722426914	1.61727814	0	0	1.584275972	0
CELF1	10.67806106	10.59410406	10.8334706	10.56755307	10.84524456	10.66240126
CELF2	8.551008556	8.543929698	8.853080957	8.59415106	8.526449882	8.458428807
CELF3	3.608766926	4.631191756	4.127594139	3.501394252	2.584104289	3.697237206
CELF4	0	1.024304337	1.50134152	2.151062972	0.999485134	1.135611989
CELF5	1.084039913	1.024304337	0.937743025	2.151062972	0.999485134	2.198919146
CELSR2	5.832844728	6.295509575	6.317150499	5.146308679	5.356547217	5.538862885
CELSR3	2.124292613	2.625245201	2.69892415	1.720000904	2.321104221	2.198919146
CEND1	5.860917496	7.081267057	5.233472749	2.978762783	4.905895022	4.893887285
CENPA	5.517230605	5.473367792	5.962096827	6.750714022	5.671415628	4.772761057
CENPC	8.239695775	8.272049111	8.476646308	8.585560284	8.382677461	8.165465143
CENPF	4.403223806	4.80133653	4.463175915	5.478743949	5.24692471	5.296742182
CENPI	2.124292613	2.848772191	0	2.151062972	3.458495362	1.763086406
CENPJ	8.736694169	8.945952067	8.797764186	8.673309035	9.156318824	8.676722441
CENPK	4.060004052	4.746821127	3.967949458	3.884226386	2.584104289	4.416231504
CENPL	6.776584749	6.61756248	6.706734989	7.219038919	6.685480614	6.811624159
CENPM	6.248641138	6.647630007	6.317150499	6.638910006	7.227795643	6.162490611
CENPN	3.851955935	4.746821127	4.201246083	4.274629115	4.642867485	4.494934861
CENPQ	1.695961945	2.625245201	1.50134152	1.720000904	2.321104221	1.135611989
CENPT	2.948560724	2.036304669	1.50134152	2.751874004	0.999485134	3.557539612
CENPU	5.065182905	4.215494737	3.344159831	4.51073906	5.356547217	4.416231504
CENPW	1.695961945	1.61727814	1.905577195	0	0.999485134	3.557539612
CEP104	9.496368381	9.307871927	9.125561448	9.497009817	8.595162503	9.13557612
CEP112	6.637448693	5.691113693	6.428682035	6.424444249	6.338832807	6.385450083
CEP120	9.005466268	8.966971286	8.841610277	8.922171838	8.709778977	8.891961396
CEP131	7.7993005	7.75533828	7.755884783	7.444804889	7.490828904	7.49639537
CEP162	7.890643977	8.156558679	7.594407722	7.720651276	7.425240829	6.811624159
CEP19	8.039311846	8.156558679	8.25245586	8.636353966	8.466578545	8.241619015
CEP290	8.302455895	8.319515596	7.774101464	8.180357413	8.026880028	7.701142291
CEP295	7.806535954	7.984650423	7.798037995	7.869613351	7.793390591	7.894995083
CEP295NL	4.153761831	2.625245201	4.201246083	4.436248153	3.806398596	4.049850882
CEP41	5.444887012	5.332392083	4.338147217	4.357700639	4.699449428	5.25212196
CEP44	8.039311846	7.848893291	8.13989647	8.174640858	8.462497376	8.42866462
CEP55	2.948560724	2.848772191	2.479656385	2.482521063	3.584018439	3.229560562
CEP57	7.95717224	8.414384547	7.923028582	7.782093764	7.793390591	7.773965839
CEP57L1	6.519118858	6.295509575	6.103270213	6.002141458	6.227802512	6.162490611
CEP63	8.806922442	8.819586982	8.788832762	8.905011882	8.737064757	8.754761528
CEP70	6.409345384	6.789229844	6.744179779	6.882797981	6.964762611	6.666158166
CEP76	7.466254995	6.918165459	6.26657901	7.614865303	7.320904618	7.334619558
CEP78	6.331229745	6.197285231	5.49010163	6.481122859	6.302763874	6.300355011
CEP83	8.69441638	9.059341379	8.797764186	9.014668783	8.981965695	8.910025335
CEP85	8.471304098	8.776014641	8.651058129	8.559476692	8.343269162	8.473083749
CEP85L	9.31799961	9.907689758	9.568066669	9.557563436	9.595161171	10.10322723
CEP89	8.075700614	8.276866656	7.928460581	7.897645187	7.793390591	7.887721048
CEP95	8.520533427	8.745059288	8.144571559	8.067669123	8.421037854	8.319370637
CEP97	6.46527594	6.314376707	6.14119202	6.149303413	6.065074652	6.322103937
CEPT1	11.61202991	11.47550163	11.49979774	11.5511717	11.81114768	11.57970823
CER1	0	0	0.937743025	0	0	0
CERCAM	4.241796525	4.29363612	3.880973266	4.713587359	4.320949692	4.893887285
CERK	9.093873274	8.633045039	9.172097108	9.352588974	9.062367091	9.346590791
CERS2	12.55788663	12.65691527	12.38544106	12.60320297	12.62308028	12.66811612
