NAME	W8_WT3	W8_WT2	W8_WT1	W8_KO3	W8_KO2	W8_KO1
A1BG	1.809093911	4.25129429	1.138966977	1.497964507	2.290477402	2.647704749
A1CF	12.45003342	12.58410256	12.40393424	12.82837754	13.27048488	13.03210799
A1I3	18.77675939	19.23551466	19.01401341	18.19119888	18.84548225	18.91684029
A2M	15.68739483	9.141141218	9.427684009	8.500798013	7.999649265	9.326924009
A3GALT2	3.616945302	3.987328793	4.338832605	3.684690347	3.664089019	4.84047069
A4GALT	0	0	0	0	0	0
AA926063	5.486195429	4.726527996	5.011587436	3.684690347	4.76935987	5.026807548
AAAS	7.355565949	7.314277654	7.182572477	7.399584848	7.120729112	7.427669719
AACS	6.660621402	6.234586308	5.845614017	6.714149903	5.843898592	5.474119066
AADAC	10.13942295	10.97699597	10.7763141	10.71693351	11.40508995	11.21688491
AADAT	11.99537174	12.39149105	12.09695692	11.87065349	13.08954374	12.50076248
AAED1	8.527948207	8.806917053	8.901731009	8.941852172	9.04811463	9.032650418
AAGAB	8.04408392	8.062964279	7.978805697	8.207731586	7.78730286	7.734604418
AAK1	8.967491888	8.980658078	8.815815759	8.955171184	8.867552179	9.089546469
AAMDC	7.930201972	7.886541153	7.80356975	7.554627454	8.365837675	7.987555954
AAMP	11.50787258	11.38117748	11.43114576	11.45152133	11.60984694	11.45133905
AANAT	0	0	0	1.901748905	0	1.212054868
AAR2	8.599549147	8.605424459	8.682859015	8.500798013	8.586388342	8.634153209
AARD	2.249849432	0	2.538272731	1.497964507	0.980423808	0
AARS	12.65382172	12.34574199	12.62870983	12.64534466	12.38763648	12.22573233
AARS2	8.40010142	8.35720852	8.314648749	8.452777152	8.492067795	8.535218269
AARSD1	8.362176155	8.265636873	8.459644622	8.655669782	8.705505318	8.585533649
AASDHPPT	9.890032855	9.840806603	9.781084539	9.531182443	10.07955534	9.767061046
AASS	12.8382867	11.81985395	11.7096087	11.05238814	13.30376789	13.07566514
AATF	8.557016381	8.394091343	8.242032849	8.302482574	7.920740751	7.829519027
AATK	6.250329512	6.129144135	6.239138948	6.43876937	5.868134854	5.974613392
ABAT	12.12275234	11.97283341	11.83644093	11.73746959	12.48439207	11.99623403
ABCA1	12.73846555	13.0015109	12.80046459	12.41074997	12.54883097	12.6908751
ABCA13	2.249849432	2.391146079	2.203733136	2.216882765	2.552186365	3.527744688
ABCA17	3.461644513	3.887393897	3.830312189	4.397038469	3.286497416	4.463804187
ABCA2	10.47131084	10.4631635	10.37923939	10.08431568	10.31925996	10.50118144
ABCA4	5.564624951	6.172250101	6.016102648	6.098121694	5.938492477	6.391466054
ABCA5	7.617131434	7.72945437	7.682148895	7.738411043	8.105377781	7.862541738
ABCA7	6.342253976	6.370347035	6.602567085	6.527038518	6.300921641	6.785078624
ABCA8A	12.51288871	12.48420954	12.49478494	11.41246406	12.45419056	12.88643466
ABCB10	9.127843114	9.071692979	9.036650297	9.129774099	9.259849779	8.969634061
ABCB11	14.39236766	14.22620183	14.29835024	14.43879675	14.45668483	14.6080074
ABCB1A	9.041348364	9.467433505	9.216510636	8.047840892	9.145522335	8.90769958
ABCB1B	8.431833685	6.743400245	9.872735421	10.31670112	10.97531557	11.61894377
ABCB4	11.47207496	11.98648339	12.44277191	11.67283279	11.07823941	11.42601907
ABCB6	10.10703054	10.25336128	10.21383785	10.13435239	10.23090601	10.30792951
ABCB7	9.880482326	10.06607265	10.06634408	9.757863726	10.53330479	10.02033953
ABCB8	8.334462999	8.605424459	8.517585805	8.260183707	8.444505732	8.265779001
ABCB9	4.110817465	3.399569409	4.500814172	5.156410658	4.284503298	4.772596947
ABCC1	7.798462664	7.425350217	7.577072117	7.688246278	7.189663425	7.324788284
ABCC10	8.023404574	8.270604116	8.128860486	8.845008516	8.175032002	7.980052042
ABCC12	1.809093911	1.642872325	0	1.901748905	2.773631296	3.153812194
ABCC2	14.34480375	14.48321855	14.64460931	13.29058172	13.3894655	13.41035307
ABCC3	6.844763148	7.183438202	6.738720358	8.198801121	7.460644997	7.382847824
ABCC4	8.552212176	8.883489619	8.488906072	8.97883986	8.440470532	8.51459027
ABCC5	8.211879147	8.057226589	8.224743247	8.445245372	7.484357467	8.150178082
ABCC6	13.40181184	13.38077176	13.45597799	13.03895779	13.17429433	13.35558824
ABCC8	6.428670474	7.553149461	6.548003823	6.799327981	8.831028438	8.47242778
ABCC9	10.76916854	9.868919174	10.67067875	9.801285767	9.882460463	10.07771359
ABCD1	10.42869699	10.16675617	9.943139567	10.09036424	10.72878557	10.59504758
ABCD2	5.639009734	5.66923758	5.581564524	6.31199149	5.546373194	4.905294178
ABCD3	12.79522395	13.25937154	13.02119471	13.49465601	13.17520522	13.11001789
ABCD4	6.936104759	7.304623746	7.361975864	6.676047082	7.824935984	7.513340507
ABCE1	11.20149179	11.18598293	11.32224005	11.30577525	11.33943005	11.19841184
ABCF1	10.08889975	10.11798172	10.0647255	10.28329656	10.30933713	10.27458001
ABCF2	10.04853254	10.14528195	10.16783778	10.03373707	10.141765	9.970089635
ABCF3	10.08557863	9.973148187	10.13273516	9.899631485	9.971844306	9.914093815
ABCG1	8.426593207	8.33366856	8.948120267	8.989235905	8.037541934	8.600292329
ABCG2	7.688922719	7.118801192	7.577072117	7.277660501	8.084842874	7.405432831
ABCG3	11.15788366	11.60168707	11.51295062	11.10531813	11.63919066	11.17724037
ABCG3L1	4.002281993	4.168558342	4.956791742	4.333181323	3.664089019	3.824435616
ABCG3L2	4.835238678	3.987328793	3.702915463	3.876103838	4.132721909	5.474119066
ABCG3L3	6.44948935	6.370347035	6.261919373	6.714149903	6.436760733	6.900874469
ABCG3L4	0	1.043648829	1.767428345	0	0	1.212054868
ABCG4	1.809093911	2.391146079	1.138966977	1.901748905	1.558801434	2.30743469
ABCG5	8.827387376	9.807015999	10.25558159	6.498211396	6.903417714	6.321935724
ABCG8	7.492268429	7.765088466	8.545706502	3.57853252	2.965565347	2.647704749
ABHD1	9.373662454	10.29539859	10.05660523	10.65134867	9.532383484	9.216308974
ABHD10	7.287820627	7.162212682	6.935760414	7.768900725	7.048334998	7.288796866
ABHD11	7.512195658	7.786053961	7.707264368	7.596028317	7.069392356	7.093997356
ABHD12	9.091880015	9.001722236	9.082161697	9.520470587	9.411846529	9.193779456
ABHD12B	2.249849432	0	2.538272731	1.901748905	1.97053519	2.30743469
ABHD13	10.54812087	10.48041641	10.3674711	10.11668069	10.25981806	10.27150965
ABHD14A	7.492268429	7.663007329	7.577072117	6.923779036	7.633199561	7.300894046
ABHD14B	12.48669005	12.70438797	12.62733984	12.23243487	12.74624079	12.54116082
ABHD15	9.882397496	9.700619082	9.525063588	9.665270672	9.999535303	9.812131529
ABHD16A	8.949335344	9.245741097	9.301427558	9.166881531	9.167660266	9.157649389
ABHD16B	0	1.043648829	1.138966977	1.497964507	0.980423808	2.30743469
ABHD17A	10.41949357	10.58580397	10.50272516	10.5800629	10.55958706	10.47339216
ABHD17B	8.66331526	8.569598263	8.591389542	8.452777152	8.774448325	8.575609978
ABHD17C	10.11356747	10.00925724	10.28923748	10.35940267	10.4802418	10.35510182
ABHD2	12.38499003	13.40398539	13.62557998	11.47066047	11.25061313	10.59258934
ABHD3	3.461644513	2.881392258	3.408421432	3.684690347	3.134937086	3.527744688
ABHD4	9.661534953	10.00180868	9.989943238	9.85485395	9.956384618	9.820559009
ABHD5	9.024103362	9.037131764	8.969037756	9.207517395	9.00231331	8.973418087
ABHD6	8.831358478	9.857409676	9.482054203	9.774488369	9.94361139	9.954858328
ABHD8	5.445321586	5.891878797	5.544882417	5.000697215	6.131058292	5.516232871
ABI1	10.15376558	10.33268762	10.10622952	10.17931071	10.30268378	10.21509575
