NAME	W32_WT1	W32_WT2	W32_WT3	W32_KO2	W32_KO3
SCNN1G	0	0	1.003843787	1.362480358	1.921282022
SCO1	8.399165977	8.121218819	8.126590889	7.828217025	8.163541368
SCOC	8.705953589	8.908918557	9.007662404	8.985695407	8.538189385
SCP2	14.78704264	14.92955019	15.0456101	14.73096762	14.61510824
SCP2D1	0	1.011682414	0	0.836436669	0
SCPEP1	9.887867035	11.12523616	11.3171507	10.99582225	10.82964794
SCRIB	10.01353468	9.513086842	9.651523978	9.849481837	10.00985143
SCRN1	5.053347754	2.340574818	2.005761846	6.225923221	4.74336699
SCRN2	9.222360462	8.986120732	8.92055081	8.507648224	8.31328629
SCRN3	8.558713203	8.734022327	8.865641852	8.802369874	8.684655162
SCRT2	2.366123762	1.600518125	3.176751336	3.012695412	1.921282022
SCT	0	1.011682414	1.003843787	0	0.762900456
SCTR	4.807922358	4.976722451	5.329414018	7.326283582	7.838484656
SCUBE1	2.854656215	1.600518125	2.591363134	6.369919571	5.245481665
SCUBE3	6.076573041	8.737461542	9.043836387	7.961510168	7.49824982
SCX	3.509550417	3.606308513	4.399630119	3.676325519	4.147760049
SCYL1	10.17652127	10.26642592	10.18009823	10.25951251	10.21155716
SCYL2	10.08565174	10.25926604	10.36742109	10.11061624	10.07468393
SCYL3	9.186796933	9.115985849	9.065654716	8.766382426	8.737433657
SDAD1	8.224773722	8.062102202	8.19252639	8.015069657	8.632408081
SDC1	12.00484929	11.59785695	11.52090885	13.04709886	12.78571419
SDC2	13.87740416	14.09255157	13.99004663	13.28131756	13.02669086
SDC3	10.72211456	10.86482276	10.62972432	10.41038035	9.899439014
SDC4	14.20223818	13.7495939	13.7783407	13.25442843	13.60914376
SDCBP	10.59318885	10.75287814	10.93841077	11.00467564	11.5811393
SDCBP2	2.366123762	1.011682414	2.005761846	2.050514694	5.163697403
SDCCAG3	10.5746357	10.16280188	10.23046585	10.3944691	10.59954063
SDCCAG8	8.126297838	8.600639385	8.982076727	8.307542372	8.232020072
SDE2	9.150334531	9.453690084	9.217117791	9.298079673	9.414826738
SDF2	9.892605148	9.645293512	9.688906445	9.191617689	9.345426545
SDF2L1	8.884640281	8.798005343	8.755852402	8.495137589	8.38421211
SDF4	11.85349287	11.83102195	11.90589882	11.51544748	11.47034253
SDHA	12.99313868	12.70889232	12.80452708	12.34351483	12.03969644
SDHAF2	10.11026791	10.11600699	10.15232884	10.07428153	9.899439014
SDHAF3	7.349312993	7.72359972	7.834192115	6.864040585	6.80486536
SDHB	11.51444867	11.60963418	11.80736157	11.19702605	11.12352387
SDHC	11.37750668	11.42254037	11.43760433	11.11098892	11.13116449
SDHD	11.66650492	11.84184677	11.86914998	11.34858139	11.28614834
SDK2	7.020388454	6.652394414	6.865592345	8.104265263	7.595026524
SDPR	9.266833462	8.702694783	9.16753531	8.852271538	9.059156828
SDR16C6	3.218948757	7.593005095	8.607570467	8.919355317	8.943433768
SDR39U1	9.934562156	9.987588748	9.964771698	10.2788005	9.697505346
SDR42E1	11.32121522	9.692127613	10.07106528	10.69514371	9.946050612
SDS	10.7467471	13.41195886	12.76444104	7.381705973	5.245481665
SDSL	8.214718746	8.596857586	8.596372107	7.216253599	7.126011033
SEBOX	4.696730815	4.269983026	4.177176911	4.311446725	4.256962825
SEC11A	10.01063176	9.851382077	9.885720135	9.862933376	10.10421369
SEC11C	9.442972918	9.308636212	9.485424887	9.195489281	9.066676414
SEC13	9.937622077	10.19567849	10.1395275	9.938802776	10.14029569
SEC14L1	8.312247594	8.402580031	8.412796236	8.318235048	8.559665052
SEC14L2	11.95059734	11.69214888	11.68319106	11.35983805	11.20030594
SEC14L4	12.07496139	11.66892222	11.93285891	11.6936824	11.21729683
SEC14L5	0	2.340574818	1.003843787	2.864943753	1.259301073
SEC16A	12.75676776	12.5426576	12.43367858	12.60144162	12.60531156
SEC16B	11.9460462	12.03134379	12.31942417	12.25329975	12.0286696
SEC22A	9.269264441	8.94208653	9.010477449	9.172102337	9.076021114
SEC22B	10.23116271	10.05804794	10.2195592	10.50934554	10.64357272
SEC23A	11.19584209	11.39558324	11.63794207	11.37741239	11.32507339
SEC23B	10.49482824	10.33500114	10.34082677	9.99652856	10.41671466
SEC23IP	9.741471224	9.958412458	9.95311343	9.995418601	10.15447954
SEC24A	12.57441758	12.5443767	12.56154533	12.675385	12.87902439
SEC24B	9.905164564	9.860873692	9.933965485	9.922543913	10.02537032
SEC24C	12.07287554	11.66802137	11.74618965	11.73150561	11.80219811
SEC24D	12.04335259	11.6068164	11.88955404	11.95778439	12.03131413
SEC31A	11.77953413	11.83222873	11.78205045	11.72012802	11.75352571
SEC31B	5.263029408	6.893438392	6.365135983	6.643710838	5.97782909
SEC61A1	12.8256924	12.87267296	12.9213138	12.51093517	12.62087817
SEC61A2	8.340265364	8.663458068	8.704626435	8.53845825	8.527330469
SEC61B	10.53477868	10.80215633	10.83104037	10.08788433	10.14829126
SEC61G	10.36219442	10.7443565	10.61129878	10.25209634	10.27297767
SEC62	11.48703653	11.78813595	11.92802824	11.44483112	11.34993844
SEC63	12.32122618	12.19287786	12.14049666	12.17922919	11.93394601
SECISBP2	8.849330472	9.342906983	9.338582348	9.122126805	9.18367664
SECISBP2L	11.45642915	11.47653339	11.71934205	12.18410871	11.91688607
SECTM1A	7.961701811	7.577737046	7.728740259	7.374893496	7.470173828
SECTM1B	7.131451776	6.965597804	7.255554497	7.361171269	7.14033533
SEL1L	12.75460057	12.46153888	12.44672766	12.46656699	12.57036288
SELE	0	1.011682414	1.590085277	1.747130845	4.780423032
SELENBP1	12.92134202	13.19694563	13.27826393	12.14284914	11.50569474
SELI	11.07599018	11.02114483	11.33241748	10.41038035	10.41450638
SELK	10.04224704	10.5614444	10.93396942	10.00758144	9.890992513
SELL	5.182775575	4.269983026	2.813938014	4.708203713	5.753933469
SELM	6.008361316	5.546331024	5.399812462	6.666205454	6.682955444
SELO	10.42677212	10.77396458	10.58887294	10.10445207	9.759136197
SELP	7.796250861	7.577737046	7.636995308	7.642163532	7.894487745
SELPLG	6.683847297	6.868560292	6.814963914	6.985289711	7.168564186
SELT	11.46228411	11.51110298	11.54731829	11.21382535	11.07867108
SELV	0	0	1.003843787	0	0
SEMA3A	4.911153966	5.514611009	6.029927368	5.680341155	5.696928764
SEMA3B	2.854656215	2.827324377	3.006719921	6.710169049	6.379101906
SEMA3C	6.394219418	6.432390319	8.236470527	8.940271958	9.844725388
SEMA3D	8.307524605	8.147309558	8.157397518	7.536239968	7.919619891
SEMA3E	4.139319119	5.022549423	3.70752796	6.902444866	6.199229977
SEMA3F	5.984888057	6.000184447	6.095027594	7.326283582	7.620795609
SEMA3G	4.300118853	3.828976088	3.70752796	5.184024143	5.993694386
SEMA4A	7.120722383	7.659779602	7.450576849	8.869337179	9.342332075
SEMA4B	8.691525168	8.716702185	8.687138783	8.609823752	8.704071474
SEMA4C	6.162777872	6.709547378	6.82778856	6.814551382	6.702394493
SEMA4D	6.463791738	7.959814702	7.274414179	7.354260899	7.651122973
SEMA4F	3.218948757	3.828976088	3.466412722	2.514452048	3.330512982
SEMA4G	12.50469112	12.47833718	12.33494781	12.06404262	11.51945959
SEMA5A	7.131451776	6.514867569	6.665813029	8.152862783	7.481469875
SEMA5B	2.366123762	3.02038256	4.094689721	2.700315487	3.427147819
SEMA6B	7.56253414	8.045550013	7.665850936	7.381705973	7.656116127
SEMA6C	6.394219418	7.067490216	6.996301754	5.978770214	5.322877367
SEMA6D	8.390259395	8.740892578	9.197488807	8.799828902	8.353802282
SEMA7A	3.509550417	3.828976088	2.813938014	5.053589585	6.777632746
SENP2	9.012029618	8.78476903	8.762547137	8.909960794	8.963712767
SENP3	9.312335837	9.2735315	9.131784949	9.126189176	9.2998938
SENP6	11.28563469	11.3603264	11.33241748	11.10328157	11.13385154
SENP7	8.862270614	9.430504754	9.29998678	8.76116729	8.338353568
SENP8	4.051657297	4.777303262	4.530906366	5.274651092	5.245481665
42248	11.61630631	11.72932835	11.61592973	11.3761337	11.32898691
SEPHS1	10.63431688	10.61851355	10.42973654	10.15999486	10.27541337
SEPHS2	12.27116444	12.54241184	12.43917358	11.38802432	12.42271425
